,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
22585,Shot Chart Detail,21500013,84,1938,Manu Ginobili,1610612759,San Antonio Spurs,1,4,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-114,213,1,1,20151028,OKC,SAS,22585
22586,Shot Chart Detail,21500013,115,1938,Manu Ginobili,1610612759,San Antonio Spurs,1,1,15,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-1,1,0,20151028,OKC,SAS,22586
22587,Shot Chart Detail,21500013,142,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,11,17,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,24,52,1,1,20151028,OKC,SAS,22587
22588,Shot Chart Detail,21500013,157,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,9,7,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,6,129,1,0,20151028,OKC,SAS,22588
22589,Shot Chart Detail,21500013,162,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,7,48,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-94,56,1,1,20151028,OKC,SAS,22589
22590,Shot Chart Detail,21500013,249,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,0,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,156,61,1,1,20151028,OKC,SAS,22590
22591,Shot Chart Detail,21500013,369,1938,Manu Ginobili,1610612759,San Antonio Spurs,3,1,45,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-56,129,1,1,20151028,OKC,SAS,22591
22592,Shot Chart Detail,21500013,371,1938,Manu Ginobili,1610612759,San Antonio Spurs,3,1,9,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-37,120,1,0,20151028,OKC,SAS,22592
22593,Shot Chart Detail,21500028,79,1938,Manu Ginobili,1610612759,San Antonio Spurs,1,3,19,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,23,1,0,20151030,SAS,BKN,22593
22594,Shot Chart Detail,21500028,98,1938,Manu Ginobili,1610612759,San Antonio Spurs,1,0,28,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-43,26,1,1,20151030,SAS,BKN,22594
22595,Shot Chart Detail,21500028,114,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,11,21,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,21,1,0,20151030,SAS,BKN,22595
22596,Shot Chart Detail,21500028,182,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,4,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-150,213,1,0,20151030,SAS,BKN,22596
22597,Shot Chart Detail,21500028,229,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,0,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-145,205,1,0,20151030,SAS,BKN,22597
22598,Shot Chart Detail,21500028,239,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,15,242,1,1,20151030,SAS,BKN,22598
22599,Shot Chart Detail,21500028,300,1938,Manu Ginobili,1610612759,San Antonio Spurs,3,4,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-186,180,1,1,20151030,SAS,BKN,22599
22600,Shot Chart Detail,21500028,303,1938,Manu Ginobili,1610612759,San Antonio Spurs,3,4,6,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-161,198,1,0,20151030,SAS,BKN,22600
22601,Shot Chart Detail,21500028,333,1938,Manu Ginobili,1610612759,San Antonio Spurs,3,0,29,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,0,1,0,20151030,SAS,BKN,22601
22602,Shot Chart Detail,21500028,337,1938,Manu Ginobili,1610612759,San Antonio Spurs,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,169,178,1,0,20151030,SAS,BKN,22602
22603,Shot Chart Detail,21500028,415,1938,Manu Ginobili,1610612759,San Antonio Spurs,4,6,25,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,7,1,1,20151030,SAS,BKN,22603
22604,Shot Chart Detail,21500028,437,1938,Manu Ginobili,1610612759,San Antonio Spurs,4,5,3,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,8,1,1,20151030,SAS,BKN,22604
22605,Shot Chart Detail,21500040,106,1938,Manu Ginobili,1610612759,San Antonio Spurs,1,1,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,-1,1,1,20151101,BOS,SAS,22605
22606,Shot Chart Detail,21500040,117,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,11,42,Missed Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-30,46,1,0,20151101,BOS,SAS,22606
22607,Shot Chart Detail,21500040,129,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,10,46,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,2,1,0,20151101,BOS,SAS,22607
22608,Shot Chart Detail,21500040,225,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,3,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,109,219,1,1,20151101,BOS,SAS,22608
22609,Shot Chart Detail,21500040,227,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,3,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-225,121,1,0,20151101,BOS,SAS,22609
22610,Shot Chart Detail,21500040,272,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,1,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,182,165,1,1,20151101,BOS,SAS,22610
22611,Shot Chart Detail,21500040,293,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-215,164,1,0,20151101,BOS,SAS,22611
22612,Shot Chart Detail,21500040,430,1938,Manu Ginobili,1610612759,San Antonio Spurs,3,0,48,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,7,1,1,20151101,BOS,SAS,22612
22613,Shot Chart Detail,21500048,124,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,11,13,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-48,8,1,0,20151102,NYK,SAS,22613
