,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
203938,Shot Chart Detail,21500011,7,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,11,6,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,32,36,1,0,20151028,MEM,CLE,203938
203939,Shot Chart Detail,21500011,27,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,8,27,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,71,56,1,0,20151028,MEM,CLE,203939
203940,Shot Chart Detail,21500011,50,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,5,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,117,165,1,1,20151028,MEM,CLE,203940
203941,Shot Chart Detail,21500011,70,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,3,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-97,70,1,0,20151028,MEM,CLE,203941
203942,Shot Chart Detail,21500011,194,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,5,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,6,198,1,0,20151028,MEM,CLE,203942
203943,Shot Chart Detail,21500011,206,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,4,23,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-70,70,1,1,20151028,MEM,CLE,203943
203944,Shot Chart Detail,21500011,208,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,3,39,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,1,20151028,MEM,CLE,203944
203945,Shot Chart Detail,21500011,235,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,0,33,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,63,110,1,1,20151028,MEM,CLE,203945
203946,Shot Chart Detail,21500011,247,201188,Marc Gasol,1610612763,Memphis Grizzlies,3,11,15,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,27,111,1,0,20151028,MEM,CLE,203946
203947,Shot Chart Detail,21500011,254,201188,Marc Gasol,1610612763,Memphis Grizzlies,3,9,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,2,1,1,20151028,MEM,CLE,203947
203948,Shot Chart Detail,21500011,270,201188,Marc Gasol,1610612763,Memphis Grizzlies,3,7,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-142,106,1,0,20151028,MEM,CLE,203948
203949,Shot Chart Detail,21500011,275,201188,Marc Gasol,1610612763,Memphis Grizzlies,3,6,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,1,188,1,1,20151028,MEM,CLE,203949
203950,Shot Chart Detail,21500018,24,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,9,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,99,120,1,0,20151029,IND,MEM,203950
203951,Shot Chart Detail,21500018,39,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,8,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,186,100,1,0,20151029,IND,MEM,203951
203952,Shot Chart Detail,21500018,50,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,7,25,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151029,IND,MEM,203952
203953,Shot Chart Detail,21500018,57,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,6,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-20,200,1,0,20151029,IND,MEM,203953
203954,Shot Chart Detail,21500018,95,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,3,15,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-6,56,1,0,20151029,IND,MEM,203954
203955,Shot Chart Detail,21500018,226,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,2,54,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151029,IND,MEM,203955
203956,Shot Chart Detail,21500018,232,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,1,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,81,164,1,1,20151029,IND,MEM,203956
203957,Shot Chart Detail,21500018,252,201188,Marc Gasol,1610612763,Memphis Grizzlies,3,11,21,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-14,203,1,0,20151029,IND,MEM,203957
