,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
173850,Shot Chart Detail,21500004,38,101162,Marcin Gortat,1610612764,Washington Wizards,1,7,37,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-5,1,1,20151028,ORL,WAS,173850
173851,Shot Chart Detail,21500004,198,101162,Marcin Gortat,1610612764,Washington Wizards,2,7,10,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,24,23,1,1,20151028,ORL,WAS,173851
173852,Shot Chart Detail,21500004,200,101162,Marcin Gortat,1610612764,Washington Wizards,2,6,46,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20151028,ORL,WAS,173852
173853,Shot Chart Detail,21500004,313,101162,Marcin Gortat,1610612764,Washington Wizards,3,10,21,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,43,100,1,1,20151028,ORL,WAS,173853
173854,Shot Chart Detail,21500004,380,101162,Marcin Gortat,1610612764,Washington Wizards,3,3,47,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,-1,1,0,20151028,ORL,WAS,173854
173855,Shot Chart Detail,21500004,532,101162,Marcin Gortat,1610612764,Washington Wizards,4,2,32,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-6,1,0,20151028,ORL,WAS,173855
173856,Shot Chart Detail,21500027,3,101162,Marcin Gortat,1610612764,Washington Wizards,1,11,42,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,11,1,1,20151030,MIL,WAS,173856
173857,Shot Chart Detail,21500027,6,101162,Marcin Gortat,1610612764,Washington Wizards,1,11,2,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,19,41,1,0,20151030,MIL,WAS,173857
173858,Shot Chart Detail,21500027,34,101162,Marcin Gortat,1610612764,Washington Wizards,1,9,16,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-132,-5,1,0,20151030,MIL,WAS,173858
173859,Shot Chart Detail,21500027,46,101162,Marcin Gortat,1610612764,Washington Wizards,1,7,40,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,18,1,0,20151030,MIL,WAS,173859
173860,Shot Chart Detail,21500027,286,101162,Marcin Gortat,1610612764,Washington Wizards,2,0,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,26,1,1,20151030,MIL,WAS,173860
173861,Shot Chart Detail,21500027,302,101162,Marcin Gortat,1610612764,Washington Wizards,3,10,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-110,116,1,1,20151030,MIL,WAS,173861
173862,Shot Chart Detail,21500034,2,101162,Marcin Gortat,1610612764,Washington Wizards,1,11,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,128,33,1,0,20151031,WAS,NYK,173862
173863,Shot Chart Detail,21500034,8,101162,Marcin Gortat,1610612764,Washington Wizards,1,10,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-129,56,1,1,20151031,WAS,NYK,173863
173864,Shot Chart Detail,21500034,14,101162,Marcin Gortat,1610612764,Washington Wizards,1,9,28,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,10,70,1,0,20151031,WAS,NYK,173864
173865,Shot Chart Detail,21500034,17,101162,Marcin Gortat,1610612764,Washington Wizards,1,9,17,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-1,1,0,20151031,WAS,NYK,173865
173866,Shot Chart Detail,21500034,28,101162,Marcin Gortat,1610612764,Washington Wizards,1,8,29,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,-16,1,0,20151031,WAS,NYK,173866
173867,Shot Chart Detail,21500034,40,101162,Marcin Gortat,1610612764,Washington Wizards,1,7,48,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,4,1,0,20151031,WAS,NYK,173867
