,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
202094,Shot Chart Detail,21500001,5,202694,Marcus Morris,1610612765,Detroit Pistons,1,11,21,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,117,67,1,1,20151027,ATL,DET
202095,Shot Chart Detail,21500001,43,202694,Marcus Morris,1610612765,Detroit Pistons,1,7,30,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,ATL,DET
202096,Shot Chart Detail,21500001,55,202694,Marcus Morris,1610612765,Detroit Pistons,1,6,30,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,156,120,1,1,20151027,ATL,DET
202097,Shot Chart Detail,21500001,63,202694,Marcus Morris,1610612765,Detroit Pistons,1,5,19,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,2,1,0,20151027,ATL,DET
202098,Shot Chart Detail,21500001,65,202694,Marcus Morris,1610612765,Detroit Pistons,1,5,16,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,2,1,0,20151027,ATL,DET
202099,Shot Chart Detail,21500001,90,202694,Marcus Morris,1610612765,Detroit Pistons,1,2,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-202,139,1,0,20151027,ATL,DET
202100,Shot Chart Detail,21500001,106,202694,Marcus Morris,1610612765,Detroit Pistons,1,1,22,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,135,170,1,0,20151027,ATL,DET
202101,Shot Chart Detail,21500001,197,202694,Marcus Morris,1610612765,Detroit Pistons,2,4,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-163,195,1,1,20151027,ATL,DET
202102,Shot Chart Detail,21500001,225,202694,Marcus Morris,1610612765,Detroit Pistons,2,1,52,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-184,51,1,0,20151027,ATL,DET
202103,Shot Chart Detail,21500001,247,202694,Marcus Morris,1610612765,Detroit Pistons,3,11,15,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-6,1,0,20151027,ATL,DET
202104,Shot Chart Detail,21500001,252,202694,Marcus Morris,1610612765,Detroit Pistons,3,10,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-143,210,1,0,20151027,ATL,DET
202105,Shot Chart Detail,21500001,283,202694,Marcus Morris,1610612765,Detroit Pistons,3,7,25,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,153,105,1,0,20151027,ATL,DET
202106,Shot Chart Detail,21500001,342,202694,Marcus Morris,1610612765,Detroit Pistons,3,1,29,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,35,193,1,1,20151027,ATL,DET
202108,Shot Chart Detail,21500001,411,202694,Marcus Morris,1610612765,Detroit Pistons,4,7,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,148,115,1,0,20151027,ATL,DET
202109,Shot Chart Detail,21500001,422,202694,Marcus Morris,1610612765,Detroit Pistons,4,6,39,Missed Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-150,31,1,0,20151027,ATL,DET
202110,Shot Chart Detail,21500001,470,202694,Marcus Morris,1610612765,Detroit Pistons,4,3,15,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,189,-6,1,1,20151027,ATL,DET
202111,Shot Chart Detail,21500001,478,202694,Marcus Morris,1610612765,Detroit Pistons,4,2,9,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,174,90,1,0,20151027,ATL,DET
202112,Shot Chart Detail,21500001,493,202694,Marcus Morris,1610612765,Detroit Pistons,4,1,32,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,119,121,1,0,20151027,ATL,DET
202113,Shot Chart Detail,21500007,9,202694,Marcus Morris,1610612765,Detroit Pistons,1,10,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,156,61,1,0,20151028,DET,UTA
202114,Shot Chart Detail,21500007,16,202694,Marcus Morris,1610612765,Detroit Pistons,1,9,12,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-43,3,1,0,20151028,DET,UTA
202115,Shot Chart Detail,21500007,53,202694,Marcus Morris,1610612765,Detroit Pistons,1,3,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-114,8,1,1,20151028,DET,UTA
202116,Shot Chart Detail,21500007,62,202694,Marcus Morris,1610612765,Detroit Pistons,1,3,18,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-1,1,0,20151028,DET,UTA
202117,Shot Chart Detail,21500007,82,202694,Marcus Morris,1610612765,Detroit Pistons,1,1,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,32,257,1,1,20151028,DET,UTA
202118,Shot Chart Detail,21500007,206,202694,Marcus Morris,1610612765,Detroit Pistons,2,1,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-124,41,1,1,20151028,DET,UTA
202119,Shot Chart Detail,21500007,213,202694,Marcus Morris,1610612765,Detroit Pistons,2,0,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-155,65,1,1,20151028,DET,UTA
202120,Shot Chart Detail,21500007,251,202694,Marcus Morris,1610612765,Detroit Pistons,3,8,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-6,1,1,20151028,DET,UTA
202121,Shot Chart Detail,21500007,290,202694,Marcus Morris,1610612765,Detroit Pistons,3,4,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-135,38,1,0,20151028,DET,UTA
202122,Shot Chart Detail,21500007,466,202694,Marcus Morris,1610612765,Detroit Pistons,4,1,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,51,-1,1,0,20151028,DET,UTA
202123,Shot Chart Detail,21500025,2,202694,Marcus Morris,1610612765,Detroit Pistons,1,11,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,130,2,1,0,20151030,DET,CHI
202124,Shot Chart Detail,21500025,9,202694,Marcus Morris,1610612765,Detroit Pistons,1,10,43,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,2,1,1,20151030,DET,CHI
202125,Shot Chart Detail,21500025,118,202694,Marcus Morris,1610612765,Detroit Pistons,1,0,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-163,51,1,0,20151030,DET,CHI
202126,Shot Chart Detail,21500025,213,202694,Marcus Morris,1610612765,Detroit Pistons,2,4,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-150,0,1,1,20151030,DET,CHI
202127,Shot Chart Detail,21500025,236,202694,Marcus Morris,1610612765,Detroit Pistons,2,1,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,130,7,1,0,20151030,DET,CHI
202128,Shot Chart Detail,21500025,279,202694,Marcus Morris,1610612765,Detroit Pistons,3,9,57,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,61,13,1,0,20151030,DET,CHI
202129,Shot Chart Detail,21500025,283,202694,Marcus Morris,1610612765,Detroit Pistons,3,9,27,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,155,31,1,1,20151030,DET,CHI
202130,Shot Chart Detail,21500025,300,202694,Marcus Morris,1610612765,Detroit Pistons,3,7,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20151030,DET,CHI
202131,Shot Chart Detail,21500025,310,202694,Marcus Morris,1610612765,Detroit Pistons,3,6,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-5,1,1,20151030,DET,CHI
