,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
36303,Shot Chart Detail,21500005,18,203935,Marcus Smart,1610612738,Boston Celtics,1,9,53,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-40,11,1,0,20151028,BOS,PHI
36304,Shot Chart Detail,21500005,206,203935,Marcus Smart,1610612738,Boston Celtics,2,5,40,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,47,1,1,20151028,BOS,PHI
36305,Shot Chart Detail,21500005,291,203935,Marcus Smart,1610612738,Boston Celtics,2,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-178,200,1,1,20151028,BOS,PHI
36306,Shot Chart Detail,21500005,322,203935,Marcus Smart,1610612738,Boston Celtics,3,9,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-142,218,1,0,20151028,BOS,PHI
36307,Shot Chart Detail,21500005,329,203935,Marcus Smart,1610612738,Boston Celtics,3,8,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,79,154,1,0,20151028,BOS,PHI
36308,Shot Chart Detail,21500005,462,203935,Marcus Smart,1610612738,Boston Celtics,4,8,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-186,180,1,0,20151028,BOS,PHI
36309,Shot Chart Detail,21500005,494,203935,Marcus Smart,1610612738,Boston Celtics,4,5,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-117,237,1,1,20151028,BOS,PHI
36310,Shot Chart Detail,21500005,512,203935,Marcus Smart,1610612738,Boston Celtics,4,4,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-86,242,1,0,20151028,BOS,PHI
36311,Shot Chart Detail,21500024,28,203935,Marcus Smart,1610612738,Boston Celtics,1,9,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,112,2,1,0,20151030,BOS,TOR
36312,Shot Chart Detail,21500024,60,203935,Marcus Smart,1610612738,Boston Celtics,1,6,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-202,169,1,0,20151030,BOS,TOR
36313,Shot Chart Detail,21500024,166,203935,Marcus Smart,1610612738,Boston Celtics,2,11,15,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,42,156,1,0,20151030,BOS,TOR
36314,Shot Chart Detail,21500024,168,203935,Marcus Smart,1610612738,Boston Celtics,2,11,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-183,203,1,0,20151030,BOS,TOR
36315,Shot Chart Detail,21500024,223,203935,Marcus Smart,1610612738,Boston Celtics,2,6,39,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,0,1,0,20151030,BOS,TOR
36316,Shot Chart Detail,21500024,320,203935,Marcus Smart,1610612738,Boston Celtics,2,1,49,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,56,1,1,20151030,BOS,TOR
36317,Shot Chart Detail,21500024,353,203935,Marcus Smart,1610612738,Boston Celtics,3,10,21,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,73,146,1,0,20151030,BOS,TOR
36318,Shot Chart Detail,21500024,389,203935,Marcus Smart,1610612738,Boston Celtics,3,7,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,161,31,1,1,20151030,BOS,TOR
36319,Shot Chart Detail,21500024,392,203935,Marcus Smart,1610612738,Boston Celtics,3,7,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,110,237,1,0,20151030,BOS,TOR
36320,Shot Chart Detail,21500024,556,203935,Marcus Smart,1610612738,Boston Celtics,4,4,28,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-60,16,1,0,20151030,BOS,TOR
