,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
177952,Shot Chart Detail,21500006,236,203900,Markel Brown,1610612751,Brooklyn Nets,2,0,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,79,214,1,0,20151028,BKN,CHI,177952
177953,Shot Chart Detail,21500006,491,203900,Markel Brown,1610612751,Brooklyn Nets,4,5,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-132,144,1,1,20151028,BKN,CHI,177953
177954,Shot Chart Detail,21500006,498,203900,Markel Brown,1610612751,Brooklyn Nets,4,4,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,132,144,1,1,20151028,BKN,CHI,177954
177955,Shot Chart Detail,21500006,543,203900,Markel Brown,1610612751,Brooklyn Nets,4,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,-178,247,1,0,20151028,BKN,CHI,177955
177956,Shot Chart Detail,21500028,405,203900,Markel Brown,1610612751,Brooklyn Nets,4,7,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,166,188,1,0,20151030,SAS,BKN,177956
177957,Shot Chart Detail,21500028,445,203900,Markel Brown,1610612751,Brooklyn Nets,4,4,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-199,164,1,0,20151030,SAS,BKN,177957
177958,Shot Chart Detail,21500028,458,203900,Markel Brown,1610612751,Brooklyn Nets,4,3,48,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,25,180,1,0,20151030,SAS,BKN,177958
177959,Shot Chart Detail,21500028,489,203900,Markel Brown,1610612751,Brooklyn Nets,4,0,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,164,174,1,0,20151030,SAS,BKN,177959
177960,Shot Chart Detail,21500036,257,203900,Markel Brown,1610612751,Brooklyn Nets,2,1,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,117,218,1,0,20151031,MEM,BKN,177960
177961,Shot Chart Detail,21500036,299,203900,Markel Brown,1610612751,Brooklyn Nets,3,8,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,156,-1,1,1,20151031,MEM,BKN,177961
