,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
204820,Shot Chart Detail,21500014,8,202693,Markieff Morris,1610612756,Phoenix Suns,1,10,51,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,127,-1,1,0,20151028,PHX,DAL
204821,Shot Chart Detail,21500014,14,202693,Markieff Morris,1610612756,Phoenix Suns,1,9,51,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-163,21,1,0,20151028,PHX,DAL
204822,Shot Chart Detail,21500014,52,202693,Markieff Morris,1610612756,Phoenix Suns,1,7,5,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-27,80,1,0,20151028,PHX,DAL
204823,Shot Chart Detail,21500014,191,202693,Markieff Morris,1610612756,Phoenix Suns,2,9,57,Made Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-91,33,1,1,20151028,PHX,DAL
204824,Shot Chart Detail,21500014,324,202693,Markieff Morris,1610612756,Phoenix Suns,3,11,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,133,-15,1,0,20151028,PHX,DAL
204825,Shot Chart Detail,21500014,341,202693,Markieff Morris,1610612756,Phoenix Suns,3,10,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,11,1,0,20151028,PHX,DAL
204826,Shot Chart Detail,21500032,4,202693,Markieff Morris,1610612756,Phoenix Suns,1,11,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-202,33,1,0,20151030,PHX,POR
204827,Shot Chart Detail,21500032,40,202693,Markieff Morris,1610612756,Phoenix Suns,1,7,33,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,130,110,1,0,20151030,PHX,POR
204828,Shot Chart Detail,21500032,44,202693,Markieff Morris,1610612756,Phoenix Suns,1,7,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-101,229,1,0,20151030,PHX,POR
204829,Shot Chart Detail,21500032,56,202693,Markieff Morris,1610612756,Phoenix Suns,1,5,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-102,100,1,1,20151030,PHX,POR
204830,Shot Chart Detail,21500032,91,202693,Markieff Morris,1610612756,Phoenix Suns,1,3,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-50,237,1,1,20151030,PHX,POR
204831,Shot Chart Detail,21500032,198,202693,Markieff Morris,1610612756,Phoenix Suns,2,6,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,-6,1,1,20151030,PHX,POR
204832,Shot Chart Detail,21500032,218,202693,Markieff Morris,1610612756,Phoenix Suns,2,4,22,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,14,-78,121,1,0,20151030,PHX,POR
204833,Shot Chart Detail,21500032,257,202693,Markieff Morris,1610612756,Phoenix Suns,2,1,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-168,100,1,0,20151030,PHX,POR
204834,Shot Chart Detail,21500032,292,202693,Markieff Morris,1610612756,Phoenix Suns,3,11,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-165,11,1,0,20151030,PHX,POR
