,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
67393,Shot Chart Detail,21500015,49,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,7,5,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-66,26,1,1,20151028,POR,NOP,67393
67394,Shot Chart Detail,21500015,76,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,5,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,-6,1,0,20151028,POR,NOP,67394
67395,Shot Chart Detail,21500015,77,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,5,8,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20151028,POR,NOP,67395
67396,Shot Chart Detail,21500015,440,203486,Mason Plumlee,1610612757,Portland Trail Blazers,4,10,4,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,38,31,1,1,20151028,POR,NOP,67396
67397,Shot Chart Detail,21500032,21,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,9,1,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,18,1,1,20151030,PHX,POR,67397
67398,Shot Chart Detail,21500032,30,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,8,20,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,PHX,POR,67398
67399,Shot Chart Detail,21500032,54,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,6,1,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,16,1,0,20151030,PHX,POR,67399
67400,Shot Chart Detail,21500032,59,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,5,23,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-1,1,1,20151030,PHX,POR,67400
67401,Shot Chart Detail,21500032,79,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,4,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,13,1,0,20151030,PHX,POR,67401
67402,Shot Chart Detail,21500032,190,203486,Mason Plumlee,1610612757,Portland Trail Blazers,2,6,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-176,3,1,1,20151030,PHX,POR,67402
67403,Shot Chart Detail,21500032,209,203486,Mason Plumlee,1610612757,Portland Trail Blazers,2,5,13,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,PHX,POR,67403
67404,Shot Chart Detail,21500032,301,203486,Mason Plumlee,1610612757,Portland Trail Blazers,3,10,52,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-1,1,0,20151030,PHX,POR,67404
67405,Shot Chart Detail,21500032,338,203486,Mason Plumlee,1610612757,Portland Trail Blazers,3,7,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-9,175,1,0,20151030,PHX,POR,67405
67406,Shot Chart Detail,21500032,537,203486,Mason Plumlee,1610612757,Portland Trail Blazers,4,4,21,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,PHX,POR,67406
67407,Shot Chart Detail,21500032,539,203486,Mason Plumlee,1610612757,Portland Trail Blazers,4,4,5,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,8,1,0,20151030,PHX,POR,67407
67408,Shot Chart Detail,21500032,540,203486,Mason Plumlee,1610612757,Portland Trail Blazers,4,4,5,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,3,1,1,20151030,PHX,POR,67408
67409,Shot Chart Detail,21500032,552,203486,Mason Plumlee,1610612757,Portland Trail Blazers,4,3,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-45,159,1,0,20151030,PHX,POR,67409
67410,Shot Chart Detail,21500037,42,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,7,12,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151031,POR,PHX,67410
67411,Shot Chart Detail,21500037,189,203486,Mason Plumlee,1610612757,Portland Trail Blazers,2,4,35,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,45,57,1,1,20151031,POR,PHX,67411
67412,Shot Chart Detail,21500037,255,203486,Mason Plumlee,1610612757,Portland Trail Blazers,3,10,46,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-6,1,1,20151031,POR,PHX,67412
67413,Shot Chart Detail,21500037,274,203486,Mason Plumlee,1610612757,Portland Trail Blazers,3,9,6,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,86,21,1,1,20151031,POR,PHX,67413
67414,Shot Chart Detail,21500050,13,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,10,24,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,21,1,0,20151102,MIN,POR,67414
67415,Shot Chart Detail,21500050,51,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,7,6,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-35,46,1,1,20151102,MIN,POR,67415
67416,Shot Chart Detail,21500050,211,203486,Mason Plumlee,1610612757,Portland Trail Blazers,2,4,36,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,-16,1,1,20151102,MIN,POR,67416
67417,Shot Chart Detail,21500050,226,203486,Mason Plumlee,1610612757,Portland Trail Blazers,2,2,54,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-22,62,1,1,20151102,MIN,POR,67417
67418,Shot Chart Detail,21500050,274,203486,Mason Plumlee,1610612757,Portland Trail Blazers,3,11,9,Made Shot,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151102,MIN,POR,67418
67419,Shot Chart Detail,21500068,8,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,10,42,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151104,UTA,POR,67419
67420,Shot Chart Detail,21500068,65,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,4,4,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,8,1,1,20151104,UTA,POR,67420
67421,Shot Chart Detail,21500068,205,203486,Mason Plumlee,1610612757,Portland Trail Blazers,2,5,14,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,0,1,0,20151104,UTA,POR,67421
67422,Shot Chart Detail,21500068,214,203486,Mason Plumlee,1610612757,Portland Trail Blazers,2,4,53,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-7,70,1,1,20151104,UTA,POR,67422
67423,Shot Chart Detail,21500068,277,203486,Mason Plumlee,1610612757,Portland Trail Blazers,3,11,1,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,2,1,0,20151104,UTA,POR,67423
67424,Shot Chart Detail,21500068,280,203486,Mason Plumlee,1610612757,Portland Trail Blazers,3,10,47,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-37,51,1,0,20151104,UTA,POR,67424
67425,Shot Chart Detail,21500068,480,203486,Mason Plumlee,1610612757,Portland Trail Blazers,4,8,38,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151104,UTA,POR,67425
67426,Shot Chart Detail,21500068,538,203486,Mason Plumlee,1610612757,Portland Trail Blazers,4,2,57,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,-6,1,0,20151104,UTA,POR,67426
67427,Shot Chart Detail,21500068,557,203486,Mason Plumlee,1610612757,Portland Trail Blazers,4,1,5,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,13,1,1,20151104,UTA,POR,67427
67428,Shot Chart Detail,21500074,29,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,9,19,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-11,1,1,20151105,POR,MEM,67428
67429,Shot Chart Detail,21500074,37,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,8,27,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151105,POR,MEM,67429
67430,Shot Chart Detail,21500074,78,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,3,59,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,11,1,0,20151105,POR,MEM,67430
67431,Shot Chart Detail,21500074,220,203486,Mason Plumlee,1610612757,Portland Trail Blazers,2,0,19,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151105,POR,MEM,67431
67432,Shot Chart Detail,21500074,262,203486,Mason Plumlee,1610612757,Portland Trail Blazers,3,8,50,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,16,1,0,20151105,POR,MEM,67432
67433,Shot Chart Detail,21500074,273,203486,Mason Plumlee,1610612757,Portland Trail Blazers,3,7,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-1,1,1,20151105,POR,MEM,67433
67434,Shot Chart Detail,21500098,7,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,11,6,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,3,1,1,20151108,POR,DET,67434
67435,Shot Chart Detail,21500098,27,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,9,5,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-38,8,1,1,20151108,POR,DET,67435
67436,Shot Chart Detail,21500098,58,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,6,12,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,2,1,0,20151108,POR,DET,67436
67437,Shot Chart Detail,21500098,214,203486,Mason Plumlee,1610612757,Portland Trail Blazers,2,1,49,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,2,1,0,20151108,POR,DET,67437
67438,Shot Chart Detail,21500098,251,203486,Mason Plumlee,1610612757,Portland Trail Blazers,2,0,0,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-66,80,1,0,20151108,POR,DET,67438
67439,Shot Chart Detail,21500098,267,203486,Mason Plumlee,1610612757,Portland Trail Blazers,3,9,48,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,11,1,1,20151108,POR,DET,67439
67440,Shot Chart Detail,21500098,274,203486,Mason Plumlee,1610612757,Portland Trail Blazers,3,9,14,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,31,1,0,20151108,POR,DET,67440
67441,Shot Chart Detail,21500098,489,203486,Mason Plumlee,1610612757,Portland Trail Blazers,4,3,25,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,12,52,1,0,20151108,POR,DET,67441
67442,Shot Chart Detail,21500102,6,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,11,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,21,1,0,20151109,DEN,POR,67442
67443,Shot Chart Detail,21500102,26,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,9,43,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,10,31,1,1,20151109,DEN,POR,67443
67444,Shot Chart Detail,21500102,45,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,7,24,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,16,1,0,20151109,DEN,POR,67444
67445,Shot Chart Detail,21500102,65,203486,Mason Plumlee,1610612757,Portland Trail Blazers,1,4,57,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,14,36,1,1,20151109,DEN,POR,67445
67446,Shot Chart Detail,21500102,184,203486,Mason Plumlee,1610612757,Portland Trail Blazers,2,7,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,2,1,1,20151109,DEN,POR,67446
