,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
77044,Shot Chart Detail,21500275,442,2588,Matt Bonner,1610612759,San Antonio Spurs,4,6,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-156,183,1,0,20151202,SAS,MIL
77045,Shot Chart Detail,21500280,452,2588,Matt Bonner,1610612759,San Antonio Spurs,4,3,51,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,25,46,1,1,20151203,MEM,SAS
77046,Shot Chart Detail,21500280,466,2588,Matt Bonner,1610612759,San Antonio Spurs,4,2,50,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,2,1,0,20151203,MEM,SAS
77047,Shot Chart Detail,21500280,477,2588,Matt Bonner,1610612759,San Antonio Spurs,4,2,21,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-70,178,1,0,20151203,MEM,SAS
77048,Shot Chart Detail,21500280,496,2588,Matt Bonner,1610612759,San Antonio Spurs,4,0,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,60,234,1,1,20151203,MEM,SAS
77049,Shot Chart Detail,21500305,18,2588,Matt Bonner,1610612759,San Antonio Spurs,1,10,2,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,3,1,1,20151207,PHI,SAS
77050,Shot Chart Detail,21500305,37,2588,Matt Bonner,1610612759,San Antonio Spurs,1,7,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-104,224,1,0,20151207,PHI,SAS
77051,Shot Chart Detail,21500305,150,2588,Matt Bonner,1610612759,San Antonio Spurs,2,8,55,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,114,67,1,1,20151207,PHI,SAS
77052,Shot Chart Detail,21500305,172,2588,Matt Bonner,1610612759,San Antonio Spurs,2,7,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-89,259,1,0,20151207,PHI,SAS
77053,Shot Chart Detail,21500305,182,2588,Matt Bonner,1610612759,San Antonio Spurs,2,5,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,0,1,1,20151207,PHI,SAS
77054,Shot Chart Detail,21500305,418,2588,Matt Bonner,1610612759,San Antonio Spurs,4,7,2,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,89,124,1,1,20151207,PHI,SAS
77055,Shot Chart Detail,21500347,482,2588,Matt Bonner,1610612759,San Antonio Spurs,4,4,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,92,223,1,1,20151212,ATL,SAS
77056,Shot Chart Detail,21500347,485,2588,Matt Bonner,1610612759,San Antonio Spurs,4,4,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,84,205,1,0,20151212,ATL,SAS
77057,Shot Chart Detail,21500364,400,2588,Matt Bonner,1610612759,San Antonio Spurs,4,11,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,125,208,1,1,20151214,SAS,UTA
77058,Shot Chart Detail,21500364,405,2588,Matt Bonner,1610612759,San Antonio Spurs,4,10,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,176,193,1,1,20151214,SAS,UTA
