,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
122430,Shot Chart Detail,21500015,137,203090,Maurice Harkless,1610612757,Portland Trail Blazers,1,1,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,36,1,0,20151028,POR,NOP
122431,Shot Chart Detail,21500015,210,203090,Maurice Harkless,1610612757,Portland Trail Blazers,2,7,42,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,19,-6,1,1,20151028,POR,NOP
122432,Shot Chart Detail,21500015,390,203090,Maurice Harkless,1610612757,Portland Trail Blazers,3,3,21,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-1,1,0,20151028,POR,NOP
122433,Shot Chart Detail,21500015,405,203090,Maurice Harkless,1610612757,Portland Trail Blazers,3,1,35,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,31,1,0,20151028,POR,NOP
122434,Shot Chart Detail,21500015,408,203090,Maurice Harkless,1610612757,Portland Trail Blazers,3,1,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,200,149,1,1,20151028,POR,NOP
122435,Shot Chart Detail,21500015,442,203090,Maurice Harkless,1610612757,Portland Trail Blazers,4,9,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-127,237,1,1,20151028,POR,NOP
122436,Shot Chart Detail,21500032,112,203090,Maurice Harkless,1610612757,Portland Trail Blazers,1,1,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,176,169,1,0,20151030,PHX,POR
122437,Shot Chart Detail,21500032,137,203090,Maurice Harkless,1610612757,Portland Trail Blazers,2,10,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,207,129,1,1,20151030,PHX,POR
122438,Shot Chart Detail,21500032,143,203090,Maurice Harkless,1610612757,Portland Trail Blazers,2,10,24,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-4,46,1,0,20151030,PHX,POR
122439,Shot Chart Detail,21500032,187,203090,Maurice Harkless,1610612757,Portland Trail Blazers,2,7,2,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,PHX,POR
122440,Shot Chart Detail,21500032,404,203090,Maurice Harkless,1610612757,Portland Trail Blazers,3,2,25,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,-1,1,1,20151030,PHX,POR
122441,Shot Chart Detail,21500032,453,203090,Maurice Harkless,1610612757,Portland Trail Blazers,4,10,13,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-10,1,1,20151030,PHX,POR
122442,Shot Chart Detail,21500037,116,203090,Maurice Harkless,1610612757,Portland Trail Blazers,2,11,21,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,74,23,1,0,20151031,POR,PHX
122443,Shot Chart Detail,21500037,133,203090,Maurice Harkless,1610612757,Portland Trail Blazers,2,9,48,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151031,POR,PHX
122444,Shot Chart Detail,21500037,258,203090,Maurice Harkless,1610612757,Portland Trail Blazers,3,10,16,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,-1,1,0,20151031,POR,PHX
122445,Shot Chart Detail,21500037,295,203090,Maurice Harkless,1610612757,Portland Trail Blazers,3,7,13,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,8,1,0,20151031,POR,PHX
122446,Shot Chart Detail,21500037,298,203090,Maurice Harkless,1610612757,Portland Trail Blazers,3,7,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-70,234,1,1,20151031,POR,PHX
