,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
6834,Shot Chart Detail,21500829,91,202362,Lance Stephenson,1610612763,Memphis Grizzlies,1,2,16,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-4,188,1,0,20160221,TOR,MEM
6835,Shot Chart Detail,21500829,101,202362,Lance Stephenson,1610612763,Memphis Grizzlies,1,1,37,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,0,1,1,20160221,TOR,MEM
6836,Shot Chart Detail,21500829,143,202362,Lance Stephenson,1610612763,Memphis Grizzlies,2,10,10,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,13,79,111,1,0,20160221,TOR,MEM
6837,Shot Chart Detail,21500829,181,202362,Lance Stephenson,1610612763,Memphis Grizzlies,2,7,43,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-1,159,1,1,20160221,TOR,MEM
6838,Shot Chart Detail,21500829,436,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,10,18,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,8,1,1,20160221,TOR,MEM
6839,Shot Chart Detail,21500829,452,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,9,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-122,134,1,0,20160221,TOR,MEM
6840,Shot Chart Detail,21500829,491,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,5,59,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,14,208,1,1,20160221,TOR,MEM
6841,Shot Chart Detail,21500829,498,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,5,26,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,8,1,1,20160221,TOR,MEM
6842,Shot Chart Detail,21500829,508,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,4,40,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,23,1,1,20160221,TOR,MEM
6843,Shot Chart Detail,21500829,547,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,1,58,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,2,1,0,20160221,TOR,MEM
6844,Shot Chart Detail,21500851,99,202362,Lance Stephenson,1610612763,Memphis Grizzlies,1,3,1,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,21,1,1,20160224,MEM,LAL
6845,Shot Chart Detail,21500851,148,202362,Lance Stephenson,1610612763,Memphis Grizzlies,2,11,0,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,30,-1,1,0,20160224,MEM,LAL
6846,Shot Chart Detail,21500851,202,202362,Lance Stephenson,1610612763,Memphis Grizzlies,2,6,41,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-58,52,1,0,20160224,MEM,LAL
6847,Shot Chart Detail,21500851,432,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,9,18,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,161,36,1,1,20160224,MEM,LAL
6848,Shot Chart Detail,21500851,448,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,8,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,7,1,1,20160224,MEM,LAL
6849,Shot Chart Detail,21500851,455,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,7,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,2,1,0,20160224,MEM,LAL
6850,Shot Chart Detail,21500851,481,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,5,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-156,100,1,0,20160224,MEM,LAL
6851,Shot Chart Detail,21500868,130,202362,Lance Stephenson,1610612763,Memphis Grizzlies,2,10,50,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,7,1,1,20160226,LAL,MEM
6852,Shot Chart Detail,21500868,132,202362,Lance Stephenson,1610612763,Memphis Grizzlies,2,10,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,13,1,0,20160226,LAL,MEM
6853,Shot Chart Detail,21500868,152,202362,Lance Stephenson,1610612763,Memphis Grizzlies,2,8,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20160226,LAL,MEM
6854,Shot Chart Detail,21500868,175,202362,Lance Stephenson,1610612763,Memphis Grizzlies,2,5,27,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,37,13,1,0,20160226,LAL,MEM
6855,Shot Chart Detail,21500868,176,202362,Lance Stephenson,1610612763,Memphis Grizzlies,2,5,26,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,3,1,0,20160226,LAL,MEM
6856,Shot Chart Detail,21500868,186,202362,Lance Stephenson,1610612763,Memphis Grizzlies,2,4,23,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-73,154,1,1,20160226,LAL,MEM
6857,Shot Chart Detail,21500868,387,202362,Lance Stephenson,1610612763,Memphis Grizzlies,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,177,208,1,0,20160226,LAL,MEM
6858,Shot Chart Detail,21500868,393,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,11,17,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-66,36,1,0,20160226,LAL,MEM
6859,Shot Chart Detail,21500868,395,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,11,9,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,23,1,1,20160226,LAL,MEM
6860,Shot Chart Detail,21500868,407,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,9,44,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,2,1,1,20160226,LAL,MEM
6861,Shot Chart Detail,21500868,412,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,9,27,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,-1,1,1,20160226,LAL,MEM
6862,Shot Chart Detail,21500868,427,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,8,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,7,1,1,20160226,LAL,MEM
6863,Shot Chart Detail,21500868,430,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,7,36,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-37,85,1,0,20160226,LAL,MEM
6864,Shot Chart Detail,21500868,448,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,5,51,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,81,151,1,0,20160226,LAL,MEM
6865,Shot Chart Detail,21500868,472,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,3,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,-55,232,1,0,20160226,LAL,MEM
6866,Shot Chart Detail,21500875,116,202362,Lance Stephenson,1610612763,Memphis Grizzlies,1,1,44,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,92,144,1,1,20160227,PHX,MEM
6867,Shot Chart Detail,21500875,134,202362,Lance Stephenson,1610612763,Memphis Grizzlies,1,0,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,3,1,0,20160227,PHX,MEM
6868,Shot Chart Detail,21500875,136,202362,Lance Stephenson,1610612763,Memphis Grizzlies,1,0,23,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,11,1,1,20160227,PHX,MEM
6869,Shot Chart Detail,21500875,223,202362,Lance Stephenson,1610612763,Memphis Grizzlies,2,6,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-97,149,1,0,20160227,PHX,MEM
6870,Shot Chart Detail,21500875,234,202362,Lance Stephenson,1610612763,Memphis Grizzlies,2,4,52,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,2,1,1,20160227,PHX,MEM
6871,Shot Chart Detail,21500875,454,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,9,58,Made Shot,Driving Bank shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,26,1,1,20160227,PHX,MEM
6872,Shot Chart Detail,21500875,456,202362,Lance Stephenson,1610612763,Memphis Grizzlies,4,9,26,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-42,3,1,0,20160227,PHX,MEM
