,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
135585,Shot Chart Detail,21500705,34,203077,Michael Kidd-Gilchrist,1610612766,Charlotte Hornets,1,7,1,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,2,1,1,20160129,POR,CHA,135585
135586,Shot Chart Detail,21500705,39,203077,Michael Kidd-Gilchrist,1610612766,Charlotte Hornets,1,6,21,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,13,1,0,20160129,POR,CHA,135586
135587,Shot Chart Detail,21500705,204,203077,Michael Kidd-Gilchrist,1610612766,Charlotte Hornets,2,1,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,13,1,1,20160129,POR,CHA,135587
135588,Shot Chart Detail,21500705,238,203077,Michael Kidd-Gilchrist,1610612766,Charlotte Hornets,3,11,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,2,1,1,20160129,POR,CHA,135588
135589,Shot Chart Detail,21500705,240,203077,Michael Kidd-Gilchrist,1610612766,Charlotte Hornets,3,10,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,2,1,1,20160129,POR,CHA,135589
135590,Shot Chart Detail,21500705,252,203077,Michael Kidd-Gilchrist,1610612766,Charlotte Hornets,3,8,38,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-17,146,1,0,20160129,POR,CHA,135590
135591,Shot Chart Detail,21500705,410,203077,Michael Kidd-Gilchrist,1610612766,Charlotte Hornets,4,7,39,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,3,1,1,20160129,POR,CHA,135591
135592,Shot Chart Detail,21500705,473,203077,Michael Kidd-Gilchrist,1610612766,Charlotte Hornets,4,2,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,16,1,0,20160129,POR,CHA,135592
135593,Shot Chart Detail,21500720,30,203077,Michael Kidd-Gilchrist,1610612766,Charlotte Hornets,1,9,5,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-6,1,1,20160131,LAL,CHA,135593
135594,Shot Chart Detail,21500720,39,203077,Michael Kidd-Gilchrist,1610612766,Charlotte Hornets,1,7,39,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,227,80,1,1,20160131,LAL,CHA,135594
