,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
100107,Shot Chart Detail,21500029,448,2034,Mike Miller,1610612743,Denver Nuggets,3,0,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,112,213,1,0,20151030,DEN,MIN
100108,Shot Chart Detail,21500059,107,2034,Mike Miller,1610612743,Denver Nuggets,1,3,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-120,228,1,1,20151103,LAL,DEN
100109,Shot Chart Detail,21500059,141,2034,Mike Miller,1610612743,Denver Nuggets,1,1,3,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,16,1,1,20151103,LAL,DEN
100110,Shot Chart Detail,21500059,174,2034,Mike Miller,1610612743,Denver Nuggets,2,9,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-165,195,1,1,20151103,LAL,DEN
100111,Shot Chart Detail,21500059,201,2034,Mike Miller,1610612743,Denver Nuggets,2,7,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,17,252,1,0,20151103,LAL,DEN
100112,Shot Chart Detail,21500073,545,2034,Mike Miller,1610612743,Denver Nuggets,4,0,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,115,224,1,0,20151105,DEN,UTA
100113,Shot Chart Detail,21500083,148,2034,Mike Miller,1610612743,Denver Nuggets,2,10,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,187,185,1,0,20151106,GSW,DEN
100114,Shot Chart Detail,21500143,527,2034,Mike Miller,1610612743,Denver Nuggets,4,1,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,63,234,1,1,20151114,PHX,DEN
100115,Shot Chart Detail,21500163,118,2034,Mike Miller,1610612743,Denver Nuggets,2,9,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,161,185,1,0,20151117,NOP,DEN
100116,Shot Chart Detail,21500212,150,2034,Mike Miller,1610612743,Denver Nuggets,2,8,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,177,198,1,1,20151124,DEN,LAC
