,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
113384,Shot Chart Detail,21500001,395,203118,Mike Scott,1610612737,Atlanta Hawks,4,8,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-32,249,1,0,20151027,ATL,DET
113385,Shot Chart Detail,21500001,407,203118,Mike Scott,1610612737,Atlanta Hawks,4,7,39,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,2,1,1,20151027,ATL,DET
113386,Shot Chart Detail,21500001,417,203118,Mike Scott,1610612737,Atlanta Hawks,4,7,1,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,2,1,1,20151027,ATL,DET
113387,Shot Chart Detail,21500001,435,203118,Mike Scott,1610612737,Atlanta Hawks,4,5,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,79,232,1,0,20151027,ATL,DET
113388,Shot Chart Detail,21500019,152,203118,Mike Scott,1610612737,Atlanta Hawks,2,8,53,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,115,170,1,0,20151029,NYK,ATL
113389,Shot Chart Detail,21500019,420,203118,Mike Scott,1610612737,Atlanta Hawks,4,10,26,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-27,33,1,1,20151029,NYK,ATL
113390,Shot Chart Detail,21500019,444,203118,Mike Scott,1610612737,Atlanta Hawks,4,8,9,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-40,46,1,0,20151029,NYK,ATL
113391,Shot Chart Detail,21500019,545,203118,Mike Scott,1610612737,Atlanta Hawks,4,0,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-169,200,1,0,20151029,NYK,ATL
113392,Shot Chart Detail,21500026,158,203118,Mike Scott,1610612737,Atlanta Hawks,2,10,25,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-53,110,1,0,20151030,ATL,CHA
113393,Shot Chart Detail,21500026,425,203118,Mike Scott,1610612737,Atlanta Hawks,4,9,57,Missed Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151030,ATL,CHA
113394,Shot Chart Detail,21500026,473,203118,Mike Scott,1610612737,Atlanta Hawks,4,5,31,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-38,115,1,0,20151030,ATL,CHA
113395,Shot Chart Detail,21500039,101,203118,Mike Scott,1610612737,Atlanta Hawks,2,11,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-125,239,1,0,20151101,CHA,ATL
113396,Shot Chart Detail,21500039,108,203118,Mike Scott,1610612737,Atlanta Hawks,2,10,41,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-30,62,1,0,20151101,CHA,ATL
113397,Shot Chart Detail,21500039,366,203118,Mike Scott,1610612737,Atlanta Hawks,4,10,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,115,232,1,0,20151101,CHA,ATL
113398,Shot Chart Detail,21500055,133,203118,Mike Scott,1610612737,Atlanta Hawks,2,11,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,115,126,1,0,20151103,MIA,ATL
113399,Shot Chart Detail,21500055,137,203118,Mike Scott,1610612737,Atlanta Hawks,2,10,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,173,190,1,1,20151103,MIA,ATL
113400,Shot Chart Detail,21500055,174,203118,Mike Scott,1610612737,Atlanta Hawks,2,7,33,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,1,20151103,MIA,ATL
113401,Shot Chart Detail,21500055,418,203118,Mike Scott,1610612737,Atlanta Hawks,4,11,12,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-117,26,1,0,20151103,MIA,ATL
113402,Shot Chart Detail,21500055,421,203118,Mike Scott,1610612737,Atlanta Hawks,4,10,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-22,249,1,0,20151103,MIA,ATL
113403,Shot Chart Detail,21500062,95,203118,Mike Scott,1610612737,Atlanta Hawks,1,1,36,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-6,75,1,0,20151104,ATL,BKN
113404,Shot Chart Detail,21500062,398,203118,Mike Scott,1610612737,Atlanta Hawks,4,11,14,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151104,ATL,BKN
113405,Shot Chart Detail,21500062,512,203118,Mike Scott,1610612737,Atlanta Hawks,4,0,52,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-5,1,0,20151104,ATL,BKN
113406,Shot Chart Detail,21500081,132,203118,Mike Scott,1610612737,Atlanta Hawks,2,11,2,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,7,1,1,20151106,NOP,ATL
113407,Shot Chart Detail,21500081,143,203118,Mike Scott,1610612737,Atlanta Hawks,2,9,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,9,252,1,0,20151106,NOP,ATL
113408,Shot Chart Detail,21500081,149,203118,Mike Scott,1610612737,Atlanta Hawks,2,8,52,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,52,1,1,20151106,NOP,ATL
113409,Shot Chart Detail,21500081,169,203118,Mike Scott,1610612737,Atlanta Hawks,2,7,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-169,188,1,0,20151106,NOP,ATL
113410,Shot Chart Detail,21500081,373,203118,Mike Scott,1610612737,Atlanta Hawks,3,0,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,96,228,1,1,20151106,NOP,ATL
113411,Shot Chart Detail,21500086,169,203118,Mike Scott,1610612737,Atlanta Hawks,2,7,55,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,2,1,1,20151107,ATL,WAS
113412,Shot Chart Detail,21500086,410,203118,Mike Scott,1610612737,Atlanta Hawks,4,9,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,16,1,1,20151107,ATL,WAS
113413,Shot Chart Detail,21500086,424,203118,Mike Scott,1610612737,Atlanta Hawks,4,8,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,3,1,1,20151107,ATL,WAS
113414,Shot Chart Detail,21500101,109,203118,Mike Scott,1610612737,Atlanta Hawks,2,11,20,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-35,115,1,1,20151109,ATL,MIN
113415,Shot Chart Detail,21500101,121,203118,Mike Scott,1610612737,Atlanta Hawks,2,10,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-125,219,1,1,20151109,ATL,MIN
113416,Shot Chart Detail,21500101,128,203118,Mike Scott,1610612737,Atlanta Hawks,2,9,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,158,105,1,0,20151109,ATL,MIN
113417,Shot Chart Detail,21500101,147,203118,Mike Scott,1610612737,Atlanta Hawks,2,7,23,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151109,ATL,MIN
113418,Shot Chart Detail,21500129,144,203118,Mike Scott,1610612737,Atlanta Hawks,2,9,58,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,7,1,1,20151113,BOS,ATL
113419,Shot Chart Detail,21500129,162,203118,Mike Scott,1610612737,Atlanta Hawks,2,7,37,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151113,BOS,ATL
113420,Shot Chart Detail,21500129,418,203118,Mike Scott,1610612737,Atlanta Hawks,4,11,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-173,0,1,0,20151113,BOS,ATL
113421,Shot Chart Detail,21500129,428,203118,Mike Scott,1610612737,Atlanta Hawks,4,10,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-158,188,1,0,20151113,BOS,ATL
113422,Shot Chart Detail,21500159,89,203118,Mike Scott,1610612737,Atlanta Hawks,1,0,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-173,180,1,0,20151117,BKN,ATL
113423,Shot Chart Detail,21500159,94,203118,Mike Scott,1610612737,Atlanta Hawks,1,0,27,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151117,BKN,ATL
