,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
181714,Shot Chart Detail,21500012,598,203101,Miles Plumlee,1610612749,Milwaukee Bucks,4,1,41,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-1,1,0,20151028,MIL,NYK
181715,Shot Chart Detail,21500027,121,203101,Miles Plumlee,1610612749,Milwaukee Bucks,1,2,2,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,21,1,1,20151030,MIL,WAS
181716,Shot Chart Detail,21500027,162,203101,Miles Plumlee,1610612749,Milwaukee Bucks,2,10,45,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,11,1,0,20151030,MIL,WAS
181717,Shot Chart Detail,21500027,182,203101,Miles Plumlee,1610612749,Milwaukee Bucks,2,8,40,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-79,28,1,1,20151030,MIL,WAS
181718,Shot Chart Detail,21500042,159,203101,Miles Plumlee,1610612749,Milwaukee Bucks,2,8,13,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,18,1,1,20151101,TOR,MIL
181719,Shot Chart Detail,21500042,164,203101,Miles Plumlee,1610612749,Milwaukee Bucks,2,7,12,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,43,26,1,1,20151101,TOR,MIL
181720,Shot Chart Detail,21500042,366,203101,Miles Plumlee,1610612749,Milwaukee Bucks,3,1,40,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,2,1,0,20151101,TOR,MIL
181721,Shot Chart Detail,21500042,368,203101,Miles Plumlee,1610612749,Milwaukee Bucks,3,1,36,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,2,1,0,20151101,TOR,MIL
181722,Shot Chart Detail,21500042,371,203101,Miles Plumlee,1610612749,Milwaukee Bucks,3,1,22,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151101,TOR,MIL
181723,Shot Chart Detail,21500047,107,203101,Miles Plumlee,1610612749,Milwaukee Bucks,1,2,51,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,2,1,1,20151102,BKN,MIL
181724,Shot Chart Detail,21500065,146,203101,Miles Plumlee,1610612749,Milwaukee Bucks,2,10,20,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151104,MIL,PHI
181725,Shot Chart Detail,21500079,146,203101,Miles Plumlee,1610612749,Milwaukee Bucks,2,9,41,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-25,33,1,1,20151106,NYK,MIL
181726,Shot Chart Detail,21500141,130,203101,Miles Plumlee,1610612749,Milwaukee Bucks,1,0,44,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-40,21,1,0,20151114,MIL,CLE
181727,Shot Chart Detail,21500158,510,203101,Miles Plumlee,1610612749,Milwaukee Bucks,4,2,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-147,8,1,0,20151117,WAS,MIL
181728,Shot Chart Detail,21500158,550,203101,Miles Plumlee,1610612749,Milwaukee Bucks,4,0,19,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,0,1,1,20151117,WAS,MIL
181729,Shot Chart Detail,21500190,433,203101,Miles Plumlee,1610612749,Milwaukee Bucks,4,8,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,13,1,0,20151121,IND,MIL
181730,Shot Chart Detail,21500190,434,203101,Miles Plumlee,1610612749,Milwaukee Bucks,4,8,26,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,0,20151121,IND,MIL
181731,Shot Chart Detail,21500190,443,203101,Miles Plumlee,1610612749,Milwaukee Bucks,4,7,54,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,2,1,1,20151121,IND,MIL
181732,Shot Chart Detail,21500190,459,203101,Miles Plumlee,1610612749,Milwaukee Bucks,4,5,20,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-1,1,0,20151121,IND,MIL
181733,Shot Chart Detail,21500190,489,203101,Miles Plumlee,1610612749,Milwaukee Bucks,4,0,38,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-81,16,1,0,20151121,IND,MIL
181734,Shot Chart Detail,21500190,493,203101,Miles Plumlee,1610612749,Milwaukee Bucks,4,0,12,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151121,IND,MIL
181735,Shot Chart Detail,21500228,475,203101,Miles Plumlee,1610612749,Milwaukee Bucks,4,2,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,21,1,1,20151127,ORL,MIL
181736,Shot Chart Detail,21500370,116,203101,Miles Plumlee,1610612749,Milwaukee Bucks,1,0,6,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,0,20151215,LAL,MIL
181737,Shot Chart Detail,21500370,140,203101,Miles Plumlee,1610612749,Milwaukee Bucks,2,9,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,2,1,1,20151215,LAL,MIL
181738,Shot Chart Detail,21500370,204,203101,Miles Plumlee,1610612749,Milwaukee Bucks,2,4,16,Made Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-94,11,1,1,20151215,LAL,MIL
181739,Shot Chart Detail,21500370,207,203101,Miles Plumlee,1610612749,Milwaukee Bucks,2,3,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,8,1,0,20151215,LAL,MIL
181740,Shot Chart Detail,21500370,375,203101,Miles Plumlee,1610612749,Milwaukee Bucks,3,1,34,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,1,20151215,LAL,MIL
181741,Shot Chart Detail,21500370,430,203101,Miles Plumlee,1610612749,Milwaukee Bucks,4,8,32,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151215,LAL,MIL
181742,Shot Chart Detail,21500370,492,203101,Miles Plumlee,1610612749,Milwaukee Bucks,4,3,34,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,11,1,1,20151215,LAL,MIL
181743,Shot Chart Detail,21500382,7,203101,Miles Plumlee,1610612749,Milwaukee Bucks,1,10,39,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,11,1,1,20151216,LAC,MIL
