,Unnamed: 0,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
854,854,Shot Chart Detail,21500017,87,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,1,3,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-81,178,1,0,20151028,LAL,MIN,854
855,855,Shot Chart Detail,21500017,93,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,1,2,56,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,30,31,1,0,20151028,LAL,MIN,855
856,856,Shot Chart Detail,21500017,106,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,1,2,7,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-71,124,1,0,20151028,LAL,MIN,856
857,857,Shot Chart Detail,21500017,311,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,3,9,13,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,LAL,MIN,857
858,858,Shot Chart Detail,21500029,90,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,1,2,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-120,26,1,1,20151030,DEN,MIN,858
859,859,Shot Chart Detail,21500029,142,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,2,9,35,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-210,43,1,0,20151030,DEN,MIN,859
860,860,Shot Chart Detail,21500029,426,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,3,2,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-130,149,1,0,20151030,DEN,MIN,860
861,861,Shot Chart Detail,21500050,92,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,1,3,56,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-29,46,1,1,20151102,MIN,POR,861
862,862,Shot Chart Detail,21500050,94,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,1,3,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-79,180,1,0,20151102,MIN,POR,862
863,863,Shot Chart Detail,21500050,113,203476,Gorgui Dieng,1610612750,Minnesota Timberwolves,1,1,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,11,1,1,20151102,MIN,POR,863
