,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
62658,Shot Chart Detail,21500097,134,203956,Mitch McGary,1610612760,Oklahoma City Thunder,1,1,28,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,11,1,0,20151108,OKC,PHX,62658
62659,Shot Chart Detail,21500097,488,203956,Mitch McGary,1610612760,Oklahoma City Thunder,4,9,55,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151108,OKC,PHX,62659
62660,Shot Chart Detail,21500097,591,203956,Mitch McGary,1610612760,Oklahoma City Thunder,4,1,9,Missed Shot,Jump Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-37,7,1,0,20151108,OKC,PHX,62660
62661,Shot Chart Detail,21500107,113,203956,Mitch McGary,1610612760,Oklahoma City Thunder,1,0,59,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,-1,1,0,20151110,WAS,OKC,62661
62662,Shot Chart Detail,21500107,118,203956,Mitch McGary,1610612760,Oklahoma City Thunder,1,0,34,Made Shot,Driving Bank shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-37,3,1,1,20151110,WAS,OKC,62662
62663,Shot Chart Detail,21500107,548,203956,Mitch McGary,1610612760,Oklahoma City Thunder,4,2,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-19,213,1,1,20151110,WAS,OKC,62663
62664,Shot Chart Detail,21500497,588,203956,Mitch McGary,1610612760,Oklahoma City Thunder,4,1,39,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,16,1,0,20160102,CHA,OKC,62664
62665,Shot Chart Detail,21500534,572,203956,Mitch McGary,1610612760,Oklahoma City Thunder,4,0,53,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-48,193,1,0,20160106,OKC,MEM,62665
62666,Shot Chart Detail,21500594,528,203956,Mitch McGary,1610612760,Oklahoma City Thunder,4,0,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-194,149,1,0,20160115,OKC,MIN,62666
62667,Shot Chart Detail,21500611,461,203956,Mitch McGary,1610612760,Oklahoma City Thunder,4,1,14,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-110,41,1,1,20160117,OKC,MIA,62667
