,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
22283,Shot Chart Detail,21500002,7,2590,Mo Williams,1610612739,Cleveland Cavaliers,1,11,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-171,129,1,1,20151027,CHI,CLE
22284,Shot Chart Detail,21500002,43,2590,Mo Williams,1610612739,Cleveland Cavaliers,1,7,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,114,228,1,0,20151027,CHI,CLE
22285,Shot Chart Detail,21500002,67,2590,Mo Williams,1610612739,Cleveland Cavaliers,1,5,4,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,-196,105,1,0,20151027,CHI,CLE
22286,Shot Chart Detail,21500002,154,2590,Mo Williams,1610612739,Cleveland Cavaliers,2,11,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-133,223,1,1,20151027,CHI,CLE
22287,Shot Chart Detail,21500002,156,2590,Mo Williams,1610612739,Cleveland Cavaliers,2,10,21,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,7,1,1,20151027,CHI,CLE
22288,Shot Chart Detail,21500002,232,2590,Mo Williams,1610612739,Cleveland Cavaliers,2,5,17,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,228,-36,1,1,20151027,CHI,CLE
22289,Shot Chart Detail,21500002,234,2590,Mo Williams,1610612739,Cleveland Cavaliers,2,4,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-178,170,1,0,20151027,CHI,CLE
22290,Shot Chart Detail,21500002,248,2590,Mo Williams,1610612739,Cleveland Cavaliers,2,3,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-153,80,1,0,20151027,CHI,CLE
22291,Shot Chart Detail,21500002,342,2590,Mo Williams,1610612739,Cleveland Cavaliers,3,6,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,4,75,1,0,20151027,CHI,CLE
22292,Shot Chart Detail,21500002,400,2590,Mo Williams,1610612739,Cleveland Cavaliers,3,0,43,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-97,164,1,1,20151027,CHI,CLE
22293,Shot Chart Detail,21500002,418,2590,Mo Williams,1610612739,Cleveland Cavaliers,4,11,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,133,228,1,1,20151027,CHI,CLE
22294,Shot Chart Detail,21500002,421,2590,Mo Williams,1610612739,Cleveland Cavaliers,4,10,55,Missed Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,13,1,0,20151027,CHI,CLE
22295,Shot Chart Detail,21500002,473,2590,Mo Williams,1610612739,Cleveland Cavaliers,4,6,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,110,129,1,1,20151027,CHI,CLE
22296,Shot Chart Detail,21500002,517,2590,Mo Williams,1610612739,Cleveland Cavaliers,4,3,19,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,3,1,0,20151027,CHI,CLE
22297,Shot Chart Detail,21500002,529,2590,Mo Williams,1610612739,Cleveland Cavaliers,4,1,51,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,-6,1,0,20151027,CHI,CLE
22298,Shot Chart Detail,21500011,23,2590,Mo Williams,1610612739,Cleveland Cavaliers,1,9,24,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,66,234,1,1,20151028,MEM,CLE
22299,Shot Chart Detail,21500011,39,2590,Mo Williams,1610612739,Cleveland Cavaliers,1,6,54,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,7,1,0,20151028,MEM,CLE
22300,Shot Chart Detail,21500011,205,2590,Mo Williams,1610612739,Cleveland Cavaliers,2,4,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-142,218,1,1,20151028,MEM,CLE
22301,Shot Chart Detail,21500011,224,2590,Mo Williams,1610612739,Cleveland Cavaliers,2,1,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-150,203,1,0,20151028,MEM,CLE
22302,Shot Chart Detail,21500011,233,2590,Mo Williams,1610612739,Cleveland Cavaliers,2,0,47,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-155,100,1,0,20151028,MEM,CLE
22303,Shot Chart Detail,21500011,245,2590,Mo Williams,1610612739,Cleveland Cavaliers,3,11,37,Missed Shot,Floating Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-96,234,1,0,20151028,MEM,CLE
22304,Shot Chart Detail,21500011,249,2590,Mo Williams,1610612739,Cleveland Cavaliers,3,10,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-155,208,1,1,20151028,MEM,CLE
22305,Shot Chart Detail,21500011,286,2590,Mo Williams,1610612739,Cleveland Cavaliers,3,5,17,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,33,41,1,0,20151028,MEM,CLE
22306,Shot Chart Detail,21500021,5,2590,Mo Williams,1610612739,Cleveland Cavaliers,1,11,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,97,232,1,0,20151030,CLE,MIA
22307,Shot Chart Detail,21500021,33,2590,Mo Williams,1610612739,Cleveland Cavaliers,1,8,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-209,169,1,0,20151030,CLE,MIA
22308,Shot Chart Detail,21500021,46,2590,Mo Williams,1610612739,Cleveland Cavaliers,1,7,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-114,242,1,0,20151030,CLE,MIA
22309,Shot Chart Detail,21500021,70,2590,Mo Williams,1610612739,Cleveland Cavaliers,1,5,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,127,120,1,1,20151030,CLE,MIA
22310,Shot Chart Detail,21500021,265,2590,Mo Williams,1610612739,Cleveland Cavaliers,2,0,39,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,33,169,1,1,20151030,CLE,MIA
22311,Shot Chart Detail,21500021,269,2590,Mo Williams,1610612739,Cleveland Cavaliers,2,0,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-122,213,1,0,20151030,CLE,MIA
22312,Shot Chart Detail,21500021,275,2590,Mo Williams,1610612739,Cleveland Cavaliers,3,11,14,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-20,52,1,0,20151030,CLE,MIA
