,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
53264,Shot Chart Detail,21500066,101,2555,Nick Collison,1610612760,Oklahoma City Thunder,1,3,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,26,1,0,20151104,OKC,TOR,53264
53265,Shot Chart Detail,21500066,116,2555,Nick Collison,1610612760,Oklahoma City Thunder,1,1,23,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,26,1,0,20151104,OKC,TOR,53265
53266,Shot Chart Detail,21500066,144,2555,Nick Collison,1610612760,Oklahoma City Thunder,2,11,9,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,16,1,0,20151104,OKC,TOR,53266
53267,Shot Chart Detail,21500066,410,2555,Nick Collison,1610612760,Oklahoma City Thunder,4,11,12,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-40,31,1,1,20151104,OKC,TOR,53267
53268,Shot Chart Detail,21500107,517,2555,Nick Collison,1610612760,Oklahoma City Thunder,4,4,23,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-22,31,1,0,20151110,WAS,OKC,53268
53269,Shot Chart Detail,21500107,554,2555,Nick Collison,1610612760,Oklahoma City Thunder,4,1,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-151,-6,1,1,20151110,WAS,OKC,53269
53270,Shot Chart Detail,21500134,118,2555,Nick Collison,1610612760,Oklahoma City Thunder,2,10,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-140,80,1,1,20151113,OKC,PHI,53270
53271,Shot Chart Detail,21500134,170,2555,Nick Collison,1610612760,Oklahoma City Thunder,2,6,50,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,11,1,1,20151113,OKC,PHI,53271
53272,Shot Chart Detail,21500134,200,2555,Nick Collison,1610612760,Oklahoma City Thunder,2,4,20,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,11,1,1,20151113,OKC,PHI,53272
53273,Shot Chart Detail,21500134,203,2555,Nick Collison,1610612760,Oklahoma City Thunder,2,3,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,102,219,1,0,20151113,OKC,PHI,53273
53274,Shot Chart Detail,21500134,241,2555,Nick Collison,1610612760,Oklahoma City Thunder,2,1,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,13,1,0,20151113,OKC,PHI,53274
53275,Shot Chart Detail,21500134,451,2555,Nick Collison,1610612760,Oklahoma City Thunder,4,10,14,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,21,1,0,20151113,OKC,PHI,53275
53276,Shot Chart Detail,21500149,136,2555,Nick Collison,1610612760,Oklahoma City Thunder,2,11,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,-1,1,1,20151115,OKC,BOS,53276
