,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
17037,Shot Chart Detail,21500008,48,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,7,10,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,37,11,1,0,20151028,MIA,CHA,17037
17038,Shot Chart Detail,21500008,50,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,7,7,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,7,1,1,20151028,MIA,CHA,17038
17039,Shot Chart Detail,21500008,206,201587,Nicolas Batum,1610612766,Charlotte Hornets,2,4,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-214,129,1,0,20151028,MIA,CHA,17039
17040,Shot Chart Detail,21500008,216,201587,Nicolas Batum,1610612766,Charlotte Hornets,2,3,57,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,21,1,0,20151028,MIA,CHA,17040
17041,Shot Chart Detail,21500008,232,201587,Nicolas Batum,1610612766,Charlotte Hornets,2,2,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-151,61,1,0,20151028,MIA,CHA,17041
17042,Shot Chart Detail,21500008,244,201587,Nicolas Batum,1610612766,Charlotte Hornets,2,0,19,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,26,1,0,20151028,MIA,CHA,17042
17043,Shot Chart Detail,21500008,255,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,11,37,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,123,51,1,0,20151028,MIA,CHA,17043
17044,Shot Chart Detail,21500008,322,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,6,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,138,165,1,0,20151028,MIA,CHA,17044
17045,Shot Chart Detail,21500008,429,201587,Nicolas Batum,1610612766,Charlotte Hornets,4,9,1,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,31,1,1,20151028,MIA,CHA,17045
17046,Shot Chart Detail,21500008,437,201587,Nicolas Batum,1610612766,Charlotte Hornets,4,8,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,166,193,1,1,20151028,MIA,CHA,17046
17047,Shot Chart Detail,21500008,458,201587,Nicolas Batum,1610612766,Charlotte Hornets,4,5,3,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,-1,1,0,20151028,MIA,CHA,17047
17048,Shot Chart Detail,21500008,531,201587,Nicolas Batum,1610612766,Charlotte Hornets,4,0,30,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,33,1,0,20151028,MIA,CHA,17048
17049,Shot Chart Detail,21500026,2,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,11,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,1,20151030,ATL,CHA,17049
17050,Shot Chart Detail,21500026,58,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,6,20,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,2,1,1,20151030,ATL,CHA,17050
17051,Shot Chart Detail,21500026,69,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,5,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-214,13,1,1,20151030,ATL,CHA,17051
17052,Shot Chart Detail,21500026,91,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,3,25,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,168,183,1,1,20151030,ATL,CHA,17052
17053,Shot Chart Detail,21500026,219,201587,Nicolas Batum,1610612766,Charlotte Hornets,2,5,1,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,125,120,1,1,20151030,ATL,CHA,17053
17054,Shot Chart Detail,21500026,301,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,9,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,153,205,1,0,20151030,ATL,CHA,17054
17055,Shot Chart Detail,21500026,308,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,8,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-14,208,1,1,20151030,ATL,CHA,17055
17056,Shot Chart Detail,21500026,321,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,6,21,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-1,1,0,20151030,ATL,CHA,17056
17057,Shot Chart Detail,21500026,342,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,4,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-168,188,1,0,20151030,ATL,CHA,17057
17058,Shot Chart Detail,21500026,459,201587,Nicolas Batum,1610612766,Charlotte Hornets,4,6,35,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,8,1,0,20151030,ATL,CHA,17058
17059,Shot Chart Detail,21500039,8,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,10,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,159,193,1,1,20151101,CHA,ATL,17059
17060,Shot Chart Detail,21500039,53,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,4,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-101,87,1,0,20151101,CHA,ATL,17060
17061,Shot Chart Detail,21500039,194,201587,Nicolas Batum,1610612766,Charlotte Hornets,2,1,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,101,249,1,0,20151101,CHA,ATL,17061
17062,Shot Chart Detail,21500039,240,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,10,24,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,84,80,1,0,20151101,CHA,ATL,17062
17063,Shot Chart Detail,21500039,243,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,10,4,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-1,100,1,1,20151101,CHA,ATL,17063
17064,Shot Chart Detail,21500039,246,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,9,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,68,244,1,1,20151101,CHA,ATL,17064
17065,Shot Chart Detail,21500039,250,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,9,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,130,223,1,1,20151101,CHA,ATL,17065
17066,Shot Chart Detail,21500039,263,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,7,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-91,239,1,1,20151101,CHA,ATL,17066
17067,Shot Chart Detail,21500039,299,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,4,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,123,228,1,0,20151101,CHA,ATL,17067
17068,Shot Chart Detail,21500039,348,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,0,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-99,262,1,0,20151101,CHA,ATL,17068
17069,Shot Chart Detail,21500039,427,201587,Nicolas Batum,1610612766,Charlotte Hornets,4,6,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-76,247,1,0,20151101,CHA,ATL,17069
17070,Shot Chart Detail,21500039,446,201587,Nicolas Batum,1610612766,Charlotte Hornets,4,4,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-179,41,1,0,20151101,CHA,ATL,17070
17071,Shot Chart Detail,21500039,460,201587,Nicolas Batum,1610612766,Charlotte Hornets,4,3,17,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,28,1,0,20151101,CHA,ATL,17071
17072,Shot Chart Detail,21500039,497,201587,Nicolas Batum,1610612766,Charlotte Hornets,4,0,19,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,16,1,0,20151101,CHA,ATL,17072
17073,Shot Chart Detail,21500053,25,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,7,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,92,208,1,0,20151103,CHA,CHI,17073
17074,Shot Chart Detail,21500053,83,201587,Nicolas Batum,1610612766,Charlotte Hornets,1,2,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-194,26,1,1,20151103,CHA,CHI,17074
17075,Shot Chart Detail,21500053,185,201587,Nicolas Batum,1610612766,Charlotte Hornets,2,4,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,159,28,1,0,20151103,CHA,CHI,17075
17076,Shot Chart Detail,21500053,199,201587,Nicolas Batum,1610612766,Charlotte Hornets,2,2,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,133,124,1,0,20151103,CHA,CHI,17076
17077,Shot Chart Detail,21500053,208,201587,Nicolas Batum,1610612766,Charlotte Hornets,2,2,11,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,40,105,1,0,20151103,CHA,CHI,17077
17078,Shot Chart Detail,21500053,254,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,10,3,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,11,1,1,20151103,CHA,CHI,17078
17079,Shot Chart Detail,21500053,271,201587,Nicolas Batum,1610612766,Charlotte Hornets,3,7,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,-187,129,1,0,20151103,CHA,CHI,17079
