,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
111742,Shot Chart Detail,21500023,65,203917,Nik Stauskas,1610612755,Philadelphia 76ers,1,6,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,91,244,1,1,20151030,PHI,UTA
111743,Shot Chart Detail,21500023,91,203917,Nik Stauskas,1610612755,Philadelphia 76ers,1,4,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,27,262,1,0,20151030,PHI,UTA
111744,Shot Chart Detail,21500023,318,203917,Nik Stauskas,1610612755,Philadelphia 76ers,3,7,56,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,-6,1,0,20151030,PHI,UTA
111745,Shot Chart Detail,21500023,331,203917,Nik Stauskas,1610612755,Philadelphia 76ers,3,6,44,Made Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,-16,1,1,20151030,PHI,UTA
111746,Shot Chart Detail,21500023,356,203917,Nik Stauskas,1610612755,Philadelphia 76ers,3,4,23,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,16,1,0,20151030,PHI,UTA
111747,Shot Chart Detail,21500023,478,203917,Nik Stauskas,1610612755,Philadelphia 76ers,4,8,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,7,1,1,20151030,PHI,UTA
111748,Shot Chart Detail,21500046,14,203917,Nik Stauskas,1610612755,Philadelphia 76ers,1,10,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,182,185,1,0,20151102,PHI,CLE
111749,Shot Chart Detail,21500046,18,203917,Nik Stauskas,1610612755,Philadelphia 76ers,1,9,54,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,13,1,1,20151102,PHI,CLE
111750,Shot Chart Detail,21500046,25,203917,Nik Stauskas,1610612755,Philadelphia 76ers,1,8,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-107,239,1,0,20151102,PHI,CLE
111751,Shot Chart Detail,21500046,91,203917,Nik Stauskas,1610612755,Philadelphia 76ers,1,4,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-55,262,1,1,20151102,PHI,CLE
