,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
162999,Shot Chart Detail,21500010,550,203999,Nikola Jokic,1610612743,Denver Nuggets,4,0,36,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-43,82,1,1,20151028,HOU,DEN
163000,Shot Chart Detail,21500029,170,203999,Nikola Jokic,1610612743,Denver Nuggets,2,7,31,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,25,56,1,1,20151030,DEN,MIN
163001,Shot Chart Detail,21500029,190,203999,Nikola Jokic,1610612743,Denver Nuggets,2,6,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,3,1,0,20151030,DEN,MIN
163002,Shot Chart Detail,21500029,472,203999,Nikola Jokic,1610612743,Denver Nuggets,4,11,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,11,1,1,20151030,DEN,MIN
163003,Shot Chart Detail,21500029,479,203999,Nikola Jokic,1610612743,Denver Nuggets,4,10,32,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,DEN,MIN
163004,Shot Chart Detail,21500029,504,203999,Nikola Jokic,1610612743,Denver Nuggets,4,7,58,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20151030,DEN,MIN
163005,Shot Chart Detail,21500029,537,203999,Nikola Jokic,1610612743,Denver Nuggets,4,5,27,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,4,51,1,0,20151030,DEN,MIN
163006,Shot Chart Detail,21500029,538,203999,Nikola Jokic,1610612743,Denver Nuggets,4,5,25,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,9,1,0,20151030,DEN,MIN
163007,Shot Chart Detail,21500029,600,203999,Nikola Jokic,1610612743,Denver Nuggets,4,1,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,13,1,1,20151030,DEN,MIN
163008,Shot Chart Detail,21500044,142,203999,Nikola Jokic,1610612743,Denver Nuggets,1,0,28,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,2,1,0,20151101,OKC,DEN
163009,Shot Chart Detail,21500044,198,203999,Nikola Jokic,1610612743,Denver Nuggets,2,8,26,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,18,1,0,20151101,OKC,DEN
163010,Shot Chart Detail,21500044,208,203999,Nikola Jokic,1610612743,Denver Nuggets,2,6,58,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,26,1,1,20151101,OKC,DEN
