,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
61608,Shot Chart Detail,21500002,2,202703,Nikola Mirotic,1610612741,Chicago Bulls,1,11,35,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,21,1,0,20151027,CHI,CLE
61609,Shot Chart Detail,21500002,13,202703,Nikola Mirotic,1610612741,Chicago Bulls,1,10,5,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,8,1,0,20151027,CHI,CLE
61610,Shot Chart Detail,21500002,14,202703,Nikola Mirotic,1610612741,Chicago Bulls,1,10,4,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,8,1,1,20151027,CHI,CLE
61611,Shot Chart Detail,21500002,51,202703,Nikola Mirotic,1610612741,Chicago Bulls,1,6,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-7,247,1,1,20151027,CHI,CLE
61612,Shot Chart Detail,21500002,53,202703,Nikola Mirotic,1610612741,Chicago Bulls,1,5,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,182,213,1,1,20151027,CHI,CLE
61613,Shot Chart Detail,21500002,69,202703,Nikola Mirotic,1610612741,Chicago Bulls,1,4,56,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,CHI,CLE
61614,Shot Chart Detail,21500002,141,202703,Nikola Mirotic,1610612741,Chicago Bulls,1,0,11,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,1,46,1,0,20151027,CHI,CLE
61615,Shot Chart Detail,21500002,300,202703,Nikola Mirotic,1610612741,Chicago Bulls,3,10,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-45,257,1,1,20151027,CHI,CLE
61616,Shot Chart Detail,21500002,483,202703,Nikola Mirotic,1610612741,Chicago Bulls,4,5,18,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-125,-6,1,1,20151027,CHI,CLE
61617,Shot Chart Detail,21500002,527,202703,Nikola Mirotic,1610612741,Chicago Bulls,4,1,58,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,-21,1,0,20151027,CHI,CLE
61618,Shot Chart Detail,21500002,550,202703,Nikola Mirotic,1610612741,Chicago Bulls,4,0,43,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,48,41,1,0,20151027,CHI,CLE
61619,Shot Chart Detail,21500006,7,202703,Nikola Mirotic,1610612741,Chicago Bulls,1,11,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,197,18,1,1,20151028,BKN,CHI
61620,Shot Chart Detail,21500006,16,202703,Nikola Mirotic,1610612741,Chicago Bulls,1,9,51,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,-26,1,1,20151028,BKN,CHI
61621,Shot Chart Detail,21500006,189,202703,Nikola Mirotic,1610612741,Chicago Bulls,2,4,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-174,228,1,0,20151028,BKN,CHI
61622,Shot Chart Detail,21500006,222,202703,Nikola Mirotic,1610612741,Chicago Bulls,2,1,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-7,198,1,0,20151028,BKN,CHI
61623,Shot Chart Detail,21500006,241,202703,Nikola Mirotic,1610612741,Chicago Bulls,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,34,153,311,1,0,20151028,BKN,CHI
61624,Shot Chart Detail,21500006,304,202703,Nikola Mirotic,1610612741,Chicago Bulls,3,6,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-181,170,1,0,20151028,BKN,CHI
61625,Shot Chart Detail,21500006,349,202703,Nikola Mirotic,1610612741,Chicago Bulls,3,4,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,69,259,1,1,20151028,BKN,CHI
61626,Shot Chart Detail,21500006,363,202703,Nikola Mirotic,1610612741,Chicago Bulls,3,2,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-142,208,1,0,20151028,BKN,CHI
61627,Shot Chart Detail,21500006,516,202703,Nikola Mirotic,1610612741,Chicago Bulls,4,2,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-112,232,1,1,20151028,BKN,CHI
61628,Shot Chart Detail,21500006,537,202703,Nikola Mirotic,1610612741,Chicago Bulls,4,0,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,195,190,1,1,20151028,BKN,CHI
61629,Shot Chart Detail,21500025,30,202703,Nikola Mirotic,1610612741,Chicago Bulls,1,9,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-6,1,1,20151030,DET,CHI
61630,Shot Chart Detail,21500025,52,202703,Nikola Mirotic,1610612741,Chicago Bulls,1,6,56,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,7,1,1,20151030,DET,CHI
61631,Shot Chart Detail,21500025,61,202703,Nikola Mirotic,1610612741,Chicago Bulls,1,5,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,0,287,1,1,20151030,DET,CHI
61632,Shot Chart Detail,21500025,69,202703,Nikola Mirotic,1610612741,Chicago Bulls,1,4,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,110,160,1,0,20151030,DET,CHI
61633,Shot Chart Detail,21500025,80,202703,Nikola Mirotic,1610612741,Chicago Bulls,1,3,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-1,1,1,20151030,DET,CHI
61634,Shot Chart Detail,21500025,277,202703,Nikola Mirotic,1610612741,Chicago Bulls,3,10,7,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,0,1,0,20151030,DET,CHI
61635,Shot Chart Detail,21500025,284,202703,Nikola Mirotic,1610612741,Chicago Bulls,3,9,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-30,277,1,0,20151030,DET,CHI
61636,Shot Chart Detail,21500025,322,202703,Nikola Mirotic,1610612741,Chicago Bulls,3,5,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-187,195,1,1,20151030,DET,CHI
61637,Shot Chart Detail,21500025,338,202703,Nikola Mirotic,1610612741,Chicago Bulls,3,3,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-1,1,1,20151030,DET,CHI
61638,Shot Chart Detail,21500025,350,202703,Nikola Mirotic,1610612741,Chicago Bulls,3,2,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,61,259,1,0,20151030,DET,CHI
61639,Shot Chart Detail,21500025,428,202703,Nikola Mirotic,1610612741,Chicago Bulls,4,7,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-225,120,1,1,20151030,DET,CHI
61640,Shot Chart Detail,21500025,523,202703,Nikola Mirotic,1610612741,Chicago Bulls,5,4,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,30,-70,298,1,0,20151030,DET,CHI
61641,Shot Chart Detail,21500025,567,202703,Nikola Mirotic,1610612741,Chicago Bulls,5,0,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-205,164,1,0,20151030,DET,CHI
61642,Shot Chart Detail,21500025,578,202703,Nikola Mirotic,1610612741,Chicago Bulls,5,0,40,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,11,1,0,20151030,DET,CHI
61643,Shot Chart Detail,21500043,2,202703,Nikola Mirotic,1610612741,Chicago Bulls,1,11,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,128,213,1,0,20151101,CHI,ORL
61644,Shot Chart Detail,21500043,38,202703,Nikola Mirotic,1610612741,Chicago Bulls,1,7,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,2,1,1,20151101,CHI,ORL
61645,Shot Chart Detail,21500043,51,202703,Nikola Mirotic,1610612741,Chicago Bulls,1,5,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,69,234,1,1,20151101,CHI,ORL
61646,Shot Chart Detail,21500043,274,202703,Nikola Mirotic,1610612741,Chicago Bulls,3,11,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-127,213,1,0,20151101,CHI,ORL
61647,Shot Chart Detail,21500043,312,202703,Nikola Mirotic,1610612741,Chicago Bulls,3,7,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-120,234,1,1,20151101,CHI,ORL
61648,Shot Chart Detail,21500043,327,202703,Nikola Mirotic,1610612741,Chicago Bulls,3,5,40,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,8,1,0,20151101,CHI,ORL
61649,Shot Chart Detail,21500043,337,202703,Nikola Mirotic,1610612741,Chicago Bulls,3,4,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-12,247,1,0,20151101,CHI,ORL
61650,Shot Chart Detail,21500043,345,202703,Nikola Mirotic,1610612741,Chicago Bulls,3,3,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,141,193,1,1,20151101,CHI,ORL
61651,Shot Chart Detail,21500043,388,202703,Nikola Mirotic,1610612741,Chicago Bulls,3,0,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-173,188,1,0,20151101,CHI,ORL
61652,Shot Chart Detail,21500043,486,202703,Nikola Mirotic,1610612741,Chicago Bulls,4,2,22,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,-21,1,0,20151101,CHI,ORL
61653,Shot Chart Detail,21500043,492,202703,Nikola Mirotic,1610612741,Chicago Bulls,4,1,55,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,11,1,0,20151101,CHI,ORL
61654,Shot Chart Detail,21500043,520,202703,Nikola Mirotic,1610612741,Chicago Bulls,4,0,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,0,20151101,CHI,ORL
