,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
156587,Shot Chart Detail,21500112,288,201600,Omer Asik,1610612740,New Orleans Pelicans,3,9,35,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,7,1,1,20151110,NOP,DAL
156588,Shot Chart Detail,21500112,296,201600,Omer Asik,1610612740,New Orleans Pelicans,3,8,35,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,53,136,1,0,20151110,NOP,DAL
156589,Shot Chart Detail,21500117,264,201600,Omer Asik,1610612740,New Orleans Pelicans,3,10,28,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,-6,1,0,20151111,ATL,NOP
156590,Shot Chart Detail,21500131,178,201600,Omer Asik,1610612740,New Orleans Pelicans,2,7,35,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-1,1,0,20151113,TOR,NOP
156591,Shot Chart Detail,21500131,230,201600,Omer Asik,1610612740,New Orleans Pelicans,2,3,27,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-14,28,1,0,20151113,TOR,NOP
156592,Shot Chart Detail,21500131,272,201600,Omer Asik,1610612740,New Orleans Pelicans,2,0,5,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,14,26,1,0,20151113,TOR,NOP
156593,Shot Chart Detail,21500225,6,201600,Omer Asik,1610612740,New Orleans Pelicans,1,11,16,Missed Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151125,PHX,NOP
156594,Shot Chart Detail,21500238,7,201600,Omer Asik,1610612740,New Orleans Pelicans,1,11,1,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151127,LAC,NOP
156595,Shot Chart Detail,21500243,7,201600,Omer Asik,1610612740,New Orleans Pelicans,1,10,55,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,14,31,1,0,20151128,UTA,NOP
156596,Shot Chart Detail,21500243,17,201600,Omer Asik,1610612740,New Orleans Pelicans,1,9,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,7,1,0,20151128,UTA,NOP
156597,Shot Chart Detail,21500243,308,201600,Omer Asik,1610612740,New Orleans Pelicans,3,11,21,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151128,UTA,NOP
156598,Shot Chart Detail,21500274,22,201600,Omer Asik,1610612740,New Orleans Pelicans,1,9,11,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,36,1,0,20151202,HOU,NOP
156599,Shot Chart Detail,21500274,29,201600,Omer Asik,1610612740,New Orleans Pelicans,1,8,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,-5,1,1,20151202,HOU,NOP
156600,Shot Chart Detail,21500274,34,201600,Omer Asik,1610612740,New Orleans Pelicans,1,8,9,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151202,HOU,NOP
156601,Shot Chart Detail,21500274,325,201600,Omer Asik,1610612740,New Orleans Pelicans,3,11,50,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151202,HOU,NOP
156602,Shot Chart Detail,21500274,519,201600,Omer Asik,1610612740,New Orleans Pelicans,4,7,37,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,16,1,0,20151202,HOU,NOP
156603,Shot Chart Detail,21500274,536,201600,Omer Asik,1610612740,New Orleans Pelicans,4,6,28,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,0,20151202,HOU,NOP
