,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
140973,Shot Chart Detail,21500004,43,203490,Otto Porter Jr.,1610612764,Washington Wizards,1,6,47,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,187,164,1,1,20151028,ORL,WAS
140974,Shot Chart Detail,21500004,55,203490,Otto Porter Jr.,1610612764,Washington Wizards,1,5,46,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,8,1,0,20151028,ORL,WAS
140975,Shot Chart Detail,21500004,187,203490,Otto Porter Jr.,1610612764,Washington Wizards,2,8,17,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,-5,1,0,20151028,ORL,WAS
140976,Shot Chart Detail,21500004,309,203490,Otto Porter Jr.,1610612764,Washington Wizards,3,10,54,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,11,1,0,20151028,ORL,WAS
140977,Shot Chart Detail,21500004,358,203490,Otto Porter Jr.,1610612764,Washington Wizards,3,6,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-202,154,1,0,20151028,ORL,WAS
140978,Shot Chart Detail,21500004,370,203490,Otto Porter Jr.,1610612764,Washington Wizards,3,5,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,81,51,1,0,20151028,ORL,WAS
140979,Shot Chart Detail,21500004,377,203490,Otto Porter Jr.,1610612764,Washington Wizards,3,4,19,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-88,46,1,1,20151028,ORL,WAS
140980,Shot Chart Detail,21500004,477,203490,Otto Porter Jr.,1610612764,Washington Wizards,4,7,39,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-27,65,1,0,20151028,ORL,WAS
140981,Shot Chart Detail,21500004,557,203490,Otto Porter Jr.,1610612764,Washington Wizards,4,0,50,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,8,1,1,20151028,ORL,WAS
140982,Shot Chart Detail,21500004,567,203490,Otto Porter Jr.,1610612764,Washington Wizards,4,0,33,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,46,1,0,20151028,ORL,WAS
140983,Shot Chart Detail,21500027,64,203490,Otto Porter Jr.,1610612764,Washington Wizards,1,6,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-209,188,1,0,20151030,MIL,WAS
140984,Shot Chart Detail,21500027,203,203490,Otto Porter Jr.,1610612764,Washington Wizards,2,6,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,7,1,1,20151030,MIL,WAS
140985,Shot Chart Detail,21500027,257,203490,Otto Porter Jr.,1610612764,Washington Wizards,2,2,49,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,184,183,1,1,20151030,MIL,WAS
140986,Shot Chart Detail,21500027,347,203490,Otto Porter Jr.,1610612764,Washington Wizards,3,5,42,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,12,61,1,0,20151030,MIL,WAS
140987,Shot Chart Detail,21500027,402,203490,Otto Porter Jr.,1610612764,Washington Wizards,3,1,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-240,121,1,0,20151030,MIL,WAS
140988,Shot Chart Detail,21500034,5,203490,Otto Porter Jr.,1610612764,Washington Wizards,1,11,1,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,2,1,1,20151031,WAS,NYK
140989,Shot Chart Detail,21500034,11,203490,Otto Porter Jr.,1610612764,Washington Wizards,1,10,6,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,2,1,1,20151031,WAS,NYK
140990,Shot Chart Detail,21500034,34,203490,Otto Porter Jr.,1610612764,Washington Wizards,1,8,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-165,218,1,0,20151031,WAS,NYK
140991,Shot Chart Detail,21500034,62,203490,Otto Porter Jr.,1610612764,Washington Wizards,1,6,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-186,178,1,0,20151031,WAS,NYK
140992,Shot Chart Detail,21500034,246,203490,Otto Porter Jr.,1610612764,Washington Wizards,2,4,27,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,-1,1,0,20151031,WAS,NYK
140993,Shot Chart Detail,21500034,289,203490,Otto Porter Jr.,1610612764,Washington Wizards,2,1,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,212,120,1,0,20151031,WAS,NYK
140994,Shot Chart Detail,21500034,308,203490,Otto Porter Jr.,1610612764,Washington Wizards,2,0,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-7,47,1,0,20151031,WAS,NYK
140995,Shot Chart Detail,21500034,317,203490,Otto Porter Jr.,1610612764,Washington Wizards,3,11,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,186,65,1,1,20151031,WAS,NYK
140996,Shot Chart Detail,21500034,375,203490,Otto Porter Jr.,1610612764,Washington Wizards,3,6,17,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,-11,1,1,20151031,WAS,NYK
140997,Shot Chart Detail,21500034,386,203490,Otto Porter Jr.,1610612764,Washington Wizards,3,5,50,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,-11,1,0,20151031,WAS,NYK
140998,Shot Chart Detail,21500034,403,203490,Otto Porter Jr.,1610612764,Washington Wizards,3,4,39,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,-6,1,1,20151031,WAS,NYK
140999,Shot Chart Detail,21500034,423,203490,Otto Porter Jr.,1610612764,Washington Wizards,3,3,11,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-55,61,1,1,20151031,WAS,NYK
141000,Shot Chart Detail,21500034,628,203490,Otto Porter Jr.,1610612764,Washington Wizards,4,0,23,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151031,WAS,NYK
141001,Shot Chart Detail,21500061,25,203490,Otto Porter Jr.,1610612764,Washington Wizards,1,9,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,176,26,1,1,20151104,WAS,SAS
141002,Shot Chart Detail,21500061,41,203490,Otto Porter Jr.,1610612764,Washington Wizards,1,7,59,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,3,1,1,20151104,WAS,SAS
141003,Shot Chart Detail,21500061,76,203490,Otto Porter Jr.,1610612764,Washington Wizards,1,3,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,48,195,1,0,20151104,WAS,SAS
141004,Shot Chart Detail,21500061,160,203490,Otto Porter Jr.,1610612764,Washington Wizards,2,6,45,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-156,129,1,1,20151104,WAS,SAS
141005,Shot Chart Detail,21500061,167,203490,Otto Porter Jr.,1610612764,Washington Wizards,2,6,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-58,247,1,1,20151104,WAS,SAS
141006,Shot Chart Detail,21500061,194,203490,Otto Porter Jr.,1610612764,Washington Wizards,2,4,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,173,26,1,0,20151104,WAS,SAS
141007,Shot Chart Detail,21500061,210,203490,Otto Porter Jr.,1610612764,Washington Wizards,2,2,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-1,1,1,20151104,WAS,SAS
141008,Shot Chart Detail,21500061,213,203490,Otto Porter Jr.,1610612764,Washington Wizards,2,2,0,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,105,80,1,1,20151104,WAS,SAS
141009,Shot Chart Detail,21500061,251,203490,Otto Porter Jr.,1610612764,Washington Wizards,3,10,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-127,178,1,1,20151104,WAS,SAS
141010,Shot Chart Detail,21500061,298,203490,Otto Porter Jr.,1610612764,Washington Wizards,3,6,41,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,2,1,1,20151104,WAS,SAS
141011,Shot Chart Detail,21500076,6,203490,Otto Porter Jr.,1610612764,Washington Wizards,1,11,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,123,223,1,0,20151106,BOS,WAS
141012,Shot Chart Detail,21500076,23,203490,Otto Porter Jr.,1610612764,Washington Wizards,1,9,49,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-165,46,1,1,20151106,BOS,WAS
141013,Shot Chart Detail,21500076,29,203490,Otto Porter Jr.,1610612764,Washington Wizards,1,8,47,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,2,1,0,20151106,BOS,WAS
141014,Shot Chart Detail,21500076,264,203490,Otto Porter Jr.,1610612764,Washington Wizards,2,0,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,177,174,1,0,20151106,BOS,WAS
141015,Shot Chart Detail,21500076,277,203490,Otto Porter Jr.,1610612764,Washington Wizards,3,11,37,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,7,1,0,20151106,BOS,WAS
141016,Shot Chart Detail,21500076,279,203490,Otto Porter Jr.,1610612764,Washington Wizards,3,11,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-178,36,1,1,20151106,BOS,WAS
141017,Shot Chart Detail,21500076,309,203490,Otto Porter Jr.,1610612764,Washington Wizards,3,9,12,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,16,1,1,20151106,BOS,WAS
