,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
188867,Shot Chart Detail,21500008,90,203798,PJ Hairston,1610612766,Charlotte Hornets,1,3,34,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,7,1,0,20151028,MIA,CHA,188867
188868,Shot Chart Detail,21500008,242,203798,PJ Hairston,1610612766,Charlotte Hornets,2,0,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,179,169,1,0,20151028,MIA,CHA,188868
188869,Shot Chart Detail,21500008,265,203798,PJ Hairston,1610612766,Charlotte Hornets,3,10,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,24,242,1,0,20151028,MIA,CHA,188869
188870,Shot Chart Detail,21500008,291,203798,PJ Hairston,1610612766,Charlotte Hornets,3,8,12,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,2,1,1,20151028,MIA,CHA,188870
188871,Shot Chart Detail,21500008,324,203798,PJ Hairston,1610612766,Charlotte Hornets,3,5,58,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-6,1,0,20151028,MIA,CHA,188871
188872,Shot Chart Detail,21500026,23,203798,PJ Hairston,1610612766,Charlotte Hornets,1,10,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-112,213,1,0,20151030,ATL,CHA,188872
188873,Shot Chart Detail,21500026,37,203798,PJ Hairston,1610612766,Charlotte Hornets,1,9,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-132,205,1,1,20151030,ATL,CHA,188873
188874,Shot Chart Detail,21500026,290,203798,PJ Hairston,1610612766,Charlotte Hornets,3,10,59,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151030,ATL,CHA,188874
188875,Shot Chart Detail,21500026,296,203798,PJ Hairston,1610612766,Charlotte Hornets,3,10,11,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,16,1,0,20151030,ATL,CHA,188875
188876,Shot Chart Detail,21500026,304,203798,PJ Hairston,1610612766,Charlotte Hornets,3,9,13,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,228,31,1,0,20151030,ATL,CHA,188876
188877,Shot Chart Detail,21500039,3,203798,PJ Hairston,1610612766,Charlotte Hornets,1,11,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,128,228,1,0,20151101,CHA,ATL,188877
188878,Shot Chart Detail,21500039,39,203798,PJ Hairston,1610612766,Charlotte Hornets,1,5,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-30,273,1,0,20151101,CHA,ATL,188878
188879,Shot Chart Detail,21500039,175,203798,PJ Hairston,1610612766,Charlotte Hornets,2,3,10,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,18,1,1,20151101,CHA,ATL,188879
188880,Shot Chart Detail,21500039,182,203798,PJ Hairston,1610612766,Charlotte Hornets,2,2,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,128,228,1,0,20151101,CHA,ATL,188880
