,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
57725,Shot Chart Detail,21500014,12,200782,PJ Tucker,1610612756,Phoenix Suns,1,10,22,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,PHX,DAL
57726,Shot Chart Detail,21500014,322,200782,PJ Tucker,1610612756,Phoenix Suns,3,11,44,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,16,1,0,20151028,PHX,DAL
57727,Shot Chart Detail,21500014,356,200782,PJ Tucker,1610612756,Phoenix Suns,3,9,51,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,25,-248,33,1,0,20151028,PHX,DAL
57728,Shot Chart Detail,21500032,12,200782,PJ Tucker,1610612756,Phoenix Suns,1,10,20,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,-16,1,0,20151030,PHX,POR
57729,Shot Chart Detail,21500032,102,200782,PJ Tucker,1610612756,Phoenix Suns,1,2,23,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,3,1,0,20151030,PHX,POR
57730,Shot Chart Detail,21500032,312,200782,PJ Tucker,1610612756,Phoenix Suns,3,9,57,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,-6,1,1,20151030,PHX,POR
57731,Shot Chart Detail,21500032,322,200782,PJ Tucker,1610612756,Phoenix Suns,3,8,46,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,8,1,0,20151030,PHX,POR
57732,Shot Chart Detail,21500032,546,200782,PJ Tucker,1610612756,Phoenix Suns,4,3,48,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,240,-21,1,0,20151030,PHX,POR
57733,Shot Chart Detail,21500032,551,200782,PJ Tucker,1610612756,Phoenix Suns,4,3,43,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,2,1,1,20151030,PHX,POR
57734,Shot Chart Detail,21500037,68,200782,PJ Tucker,1610612756,Phoenix Suns,1,4,13,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,16,1,1,20151031,POR,PHX
57735,Shot Chart Detail,21500037,176,200782,PJ Tucker,1610612756,Phoenix Suns,2,5,31,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,7,1,0,20151031,POR,PHX
57736,Shot Chart Detail,21500037,408,200782,PJ Tucker,1610612756,Phoenix Suns,4,9,43,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,18,1,0,20151031,POR,PHX
57737,Shot Chart Detail,21500037,472,200782,PJ Tucker,1610612756,Phoenix Suns,4,3,21,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,2,1,1,20151031,POR,PHX
57738,Shot Chart Detail,21500052,7,200782,PJ Tucker,1610612756,Phoenix Suns,1,10,45,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-1,77,1,0,20151102,LAC,PHX
57739,Shot Chart Detail,21500052,306,200782,PJ Tucker,1610612756,Phoenix Suns,3,7,11,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,241,0,1,1,20151102,LAC,PHX
57740,Shot Chart Detail,21500067,263,200782,PJ Tucker,1610612756,Phoenix Suns,2,0,0,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,-1,1,1,20151104,PHX,SAC
57741,Shot Chart Detail,21500067,318,200782,PJ Tucker,1610612756,Phoenix Suns,3,5,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,187,164,1,1,20151104,PHX,SAC
57742,Shot Chart Detail,21500067,332,200782,PJ Tucker,1610612756,Phoenix Suns,3,4,14,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,-29,1,1,20151104,PHX,SAC
57743,Shot Chart Detail,21500067,343,200782,PJ Tucker,1610612756,Phoenix Suns,3,3,33,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,31,1,0,20151104,PHX,SAC
