,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
80280,Shot Chart Detail,21500009,85,202335,Patrick Patterson,1610612761,Toronto Raptors,1,4,43,Missed Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,79,21,1,0,20151028,TOR,IND,80280
80281,Shot Chart Detail,21500009,101,202335,Patrick Patterson,1610612761,Toronto Raptors,1,2,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-227,105,1,1,20151028,TOR,IND,80281
80282,Shot Chart Detail,21500009,103,202335,Patrick Patterson,1610612761,Toronto Raptors,1,2,31,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-237,95,1,0,20151028,TOR,IND,80282
80283,Shot Chart Detail,21500009,391,202335,Patrick Patterson,1610612761,Toronto Raptors,3,1,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,130,208,1,1,20151028,TOR,IND,80283
80284,Shot Chart Detail,21500009,409,202335,Patrick Patterson,1610612761,Toronto Raptors,3,0,31,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-179,-1,1,1,20151028,TOR,IND,80284
80285,Shot Chart Detail,21500009,417,202335,Patrick Patterson,1610612761,Toronto Raptors,4,11,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-173,180,1,0,20151028,TOR,IND,80285
80286,Shot Chart Detail,21500009,457,202335,Patrick Patterson,1610612761,Toronto Raptors,4,8,59,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,176,170,1,0,20151028,TOR,IND,80286
80287,Shot Chart Detail,21500024,89,202335,Patrick Patterson,1610612761,Toronto Raptors,1,4,5,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,26,1,0,20151030,BOS,TOR,80287
80288,Shot Chart Detail,21500024,102,202335,Patrick Patterson,1610612761,Toronto Raptors,1,3,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-42,239,1,1,20151030,BOS,TOR,80288
80289,Shot Chart Detail,21500024,111,202335,Patrick Patterson,1610612761,Toronto Raptors,1,2,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-161,190,1,1,20151030,BOS,TOR,80289
80290,Shot Chart Detail,21500024,149,202335,Patrick Patterson,1610612761,Toronto Raptors,1,0,30,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,64,13,1,0,20151030,BOS,TOR,80290
80291,Shot Chart Detail,21500024,181,202335,Patrick Patterson,1610612761,Toronto Raptors,2,9,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,122,224,1,0,20151030,BOS,TOR,80291
80292,Shot Chart Detail,21500024,302,202335,Patrick Patterson,1610612761,Toronto Raptors,2,2,44,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,13,1,0,20151030,BOS,TOR,80292
80293,Shot Chart Detail,21500042,70,202335,Patrick Patterson,1610612761,Toronto Raptors,1,4,56,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-163,3,1,0,20151101,TOR,MIL,80293
80294,Shot Chart Detail,21500042,75,202335,Patrick Patterson,1610612761,Toronto Raptors,1,4,33,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,62,1,1,20151101,TOR,MIL,80294
80295,Shot Chart Detail,21500042,112,202335,Patrick Patterson,1610612761,Toronto Raptors,1,1,0,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-4,92,1,1,20151101,TOR,MIL,80295
80296,Shot Chart Detail,21500042,114,202335,Patrick Patterson,1610612761,Toronto Raptors,1,0,46,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,3,1,0,20151101,TOR,MIL,80296
80297,Shot Chart Detail,21500042,342,202335,Patrick Patterson,1610612761,Toronto Raptors,3,3,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-191,169,1,0,20151101,TOR,MIL,80297
80298,Shot Chart Detail,21500042,363,202335,Patrick Patterson,1610612761,Toronto Raptors,3,2,6,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,0,1,1,20151101,TOR,MIL,80298
80299,Shot Chart Detail,21500042,389,202335,Patrick Patterson,1610612761,Toronto Raptors,4,11,38,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-2,52,1,1,20151101,TOR,MIL,80299
80300,Shot Chart Detail,21500042,412,202335,Patrick Patterson,1610612761,Toronto Raptors,4,8,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,119,224,1,1,20151101,TOR,MIL,80300
80301,Shot Chart Detail,21500042,455,202335,Patrick Patterson,1610612761,Toronto Raptors,4,4,51,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,-11,1,1,20151101,TOR,MIL,80301
80302,Shot Chart Detail,21500057,122,202335,Patrick Patterson,1610612761,Toronto Raptors,1,1,34,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-110,18,1,0,20151103,DAL,TOR,80302
80303,Shot Chart Detail,21500057,152,202335,Patrick Patterson,1610612761,Toronto Raptors,2,10,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-94,232,1,0,20151103,DAL,TOR,80303
80304,Shot Chart Detail,21500057,257,202335,Patrick Patterson,1610612761,Toronto Raptors,2,1,56,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,21,1,0,20151103,DAL,TOR,80304
80305,Shot Chart Detail,21500057,285,202335,Patrick Patterson,1610612761,Toronto Raptors,2,0,8,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,3,1,0,20151103,DAL,TOR,80305
80306,Shot Chart Detail,21500057,287,202335,Patrick Patterson,1610612761,Toronto Raptors,2,0,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-110,8,1,0,20151103,DAL,TOR,80306
80307,Shot Chart Detail,21500057,405,202335,Patrick Patterson,1610612761,Toronto Raptors,3,0,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,17,239,1,0,20151103,DAL,TOR,80307
80308,Shot Chart Detail,21500066,120,202335,Patrick Patterson,1610612761,Toronto Raptors,1,1,7,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,23,1,0,20151104,OKC,TOR,80308
80309,Shot Chart Detail,21500066,365,202335,Patrick Patterson,1610612761,Toronto Raptors,3,2,21,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-91,3,1,0,20151104,OKC,TOR,80309
80310,Shot Chart Detail,21500066,378,202335,Patrick Patterson,1610612761,Toronto Raptors,3,1,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,2,1,1,20151104,OKC,TOR,80310
80311,Shot Chart Detail,21500066,411,202335,Patrick Patterson,1610612761,Toronto Raptors,4,10,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,42,244,1,1,20151104,OKC,TOR,80311
80312,Shot Chart Detail,21500066,420,202335,Patrick Patterson,1610612761,Toronto Raptors,4,9,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20151104,OKC,TOR,80312
