,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
192075,Shot Chart Detail,21500009,3,202331,Paul George,1610612754,Indiana Pacers,1,11,28,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-70,97,1,0,20151028,TOR,IND,192075
192076,Shot Chart Detail,21500009,12,202331,Paul George,1610612754,Indiana Pacers,1,10,11,Missed Shot,Step Back Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-168,31,1,0,20151028,TOR,IND,192076
192077,Shot Chart Detail,21500009,15,202331,Paul George,1610612754,Indiana Pacers,1,9,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,0,244,1,0,20151028,TOR,IND,192077
192078,Shot Chart Detail,21500009,31,202331,Paul George,1610612754,Indiana Pacers,1,8,50,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,11,1,0,20151028,TOR,IND,192078
192079,Shot Chart Detail,21500009,79,202331,Paul George,1610612754,Indiana Pacers,1,5,16,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,56,170,1,0,20151028,TOR,IND,192079
192080,Shot Chart Detail,21500009,250,202331,Paul George,1610612754,Indiana Pacers,2,2,51,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-99,61,1,0,20151028,TOR,IND,192080
192081,Shot Chart Detail,21500009,257,202331,Paul George,1610612754,Indiana Pacers,2,2,21,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,7,1,1,20151028,TOR,IND,192081
192082,Shot Chart Detail,21500009,276,202331,Paul George,1610612754,Indiana Pacers,2,0,17,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,184,21,1,0,20151028,TOR,IND,192082
192083,Shot Chart Detail,21500009,296,202331,Paul George,1610612754,Indiana Pacers,3,10,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-104,134,1,0,20151028,TOR,IND,192083
192084,Shot Chart Detail,21500009,309,202331,Paul George,1610612754,Indiana Pacers,3,9,7,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,TOR,IND,192084
192085,Shot Chart Detail,21500009,361,202331,Paul George,1610612754,Indiana Pacers,3,4,8,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,13,1,0,20151028,TOR,IND,192085
192086,Shot Chart Detail,21500009,401,202331,Paul George,1610612754,Indiana Pacers,3,1,1,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,163,120,1,0,20151028,TOR,IND,192086
192087,Shot Chart Detail,21500009,465,202331,Paul George,1610612754,Indiana Pacers,4,8,46,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,7,1,0,20151028,TOR,IND,192087
192088,Shot Chart Detail,21500009,550,202331,Paul George,1610612754,Indiana Pacers,4,2,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-120,31,1,1,20151028,TOR,IND,192088
192089,Shot Chart Detail,21500009,567,202331,Paul George,1610612754,Indiana Pacers,4,1,13,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,11,1,1,20151028,TOR,IND,192089
192090,Shot Chart Detail,21500009,598,202331,Paul George,1610612754,Indiana Pacers,4,0,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-174,183,1,0,20151028,TOR,IND,192090
192091,Shot Chart Detail,21500009,623,202331,Paul George,1610612754,Indiana Pacers,4,0,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-66,232,1,0,20151028,TOR,IND,192091
192092,Shot Chart Detail,21500018,11,202331,Paul George,1610612754,Indiana Pacers,1,10,32,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,117,95,1,0,20151029,IND,MEM,192092
