,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
191239,Shot Chart Detail,21500092,64,203112,Quincy Acy,1610612758,Sacramento Kings,1,5,33,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-22,56,1,1,20151107,SAC,GSW
191240,Shot Chart Detail,21500103,495,203112,Quincy Acy,1610612758,Sacramento Kings,4,1,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,150,198,1,1,20151109,SAC,SAS
191241,Shot Chart Detail,21500137,396,203112,Quincy Acy,1610612758,Sacramento Kings,3,1,53,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-40,16,1,0,20151113,SAC,BKN
191242,Shot Chart Detail,21500137,408,203112,Quincy Acy,1610612758,Sacramento Kings,3,0,19,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151113,SAC,BKN
191243,Shot Chart Detail,21500150,280,203112,Quincy Acy,1610612758,Sacramento Kings,3,11,32,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,61,2,1,1,20151115,SAC,TOR
191244,Shot Chart Detail,21500150,317,203112,Quincy Acy,1610612758,Sacramento Kings,3,6,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,79,213,1,0,20151115,SAC,TOR
191245,Shot Chart Detail,21500175,185,203112,Quincy Acy,1610612758,Sacramento Kings,2,6,17,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,2,1,0,20151119,MIA,SAC
191246,Shot Chart Detail,21500237,260,203112,Quincy Acy,1610612758,Sacramento Kings,3,10,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,10,242,1,0,20151127,SAC,MIN
191247,Shot Chart Detail,21500245,85,203112,Quincy Acy,1610612758,Sacramento Kings,1,2,40,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,122,21,1,1,20151128,GSW,SAC
191248,Shot Chart Detail,21500245,132,203112,Quincy Acy,1610612758,Sacramento Kings,2,11,13,Made Shot,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,18,1,1,20151128,GSW,SAC
191249,Shot Chart Detail,21500245,376,203112,Quincy Acy,1610612758,Sacramento Kings,3,1,40,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,23,1,0,20151128,GSW,SAC
