,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
95122,Shot Chart Detail,21500016,5,200765,Rajon Rondo,1610612758,Sacramento Kings,1,10,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,42,242,1,0,20151028,SAC,LAC
95123,Shot Chart Detail,21500016,25,200765,Rajon Rondo,1610612758,Sacramento Kings,1,8,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-73,200,1,0,20151028,SAC,LAC
95124,Shot Chart Detail,21500016,70,200765,Rajon Rondo,1610612758,Sacramento Kings,1,4,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,181,101,1,0,20151028,SAC,LAC
95125,Shot Chart Detail,21500016,225,200765,Rajon Rondo,1610612758,Sacramento Kings,2,5,24,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-68,21,1,0,20151028,SAC,LAC
95126,Shot Chart Detail,21500016,284,200765,Rajon Rondo,1610612758,Sacramento Kings,2,0,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,16,1,1,20151028,SAC,LAC
95127,Shot Chart Detail,21500016,310,200765,Rajon Rondo,1610612758,Sacramento Kings,3,11,21,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,10,1,0,20151028,SAC,LAC
95128,Shot Chart Detail,21500016,352,200765,Rajon Rondo,1610612758,Sacramento Kings,3,6,40,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,16,1,0,20151028,SAC,LAC
95129,Shot Chart Detail,21500016,561,200765,Rajon Rondo,1610612758,Sacramento Kings,4,0,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,8,1,1,20151028,SAC,LAC
95130,Shot Chart Detail,21500031,6,200765,Rajon Rondo,1610612758,Sacramento Kings,1,10,56,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,11,1,0,20151030,SAC,LAL
95131,Shot Chart Detail,21500031,15,200765,Rajon Rondo,1610612758,Sacramento Kings,1,10,16,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,16,1,1,20151030,SAC,LAL
