,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
180961,Shot Chart Detail,21500004,76,201196,Ramon Sessions,1610612764,Washington Wizards,1,3,54,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,4,1,0,20151028,ORL,WAS,180961
180962,Shot Chart Detail,21500004,144,201196,Ramon Sessions,1610612764,Washington Wizards,2,10,56,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-6,1,0,20151028,ORL,WAS,180962
180963,Shot Chart Detail,21500027,109,201196,Ramon Sessions,1610612764,Washington Wizards,1,2,47,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,127,-15,1,1,20151030,MIL,WAS,180963
180964,Shot Chart Detail,21500027,142,201196,Ramon Sessions,1610612764,Washington Wizards,1,0,24,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,11,1,0,20151030,MIL,WAS,180964
180965,Shot Chart Detail,21500027,164,201196,Ramon Sessions,1610612764,Washington Wizards,2,10,34,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,16,1,1,20151030,MIL,WAS,180965
180966,Shot Chart Detail,21500027,167,201196,Ramon Sessions,1610612764,Washington Wizards,2,10,15,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,3,1,1,20151030,MIL,WAS,180966
180967,Shot Chart Detail,21500027,201,201196,Ramon Sessions,1610612764,Washington Wizards,2,7,17,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,16,1,1,20151030,MIL,WAS,180967
180968,Shot Chart Detail,21500027,219,201196,Ramon Sessions,1610612764,Washington Wizards,2,5,58,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,MIL,WAS,180968
180969,Shot Chart Detail,21500027,239,201196,Ramon Sessions,1610612764,Washington Wizards,2,3,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-176,203,1,0,20151030,MIL,WAS,180969
180970,Shot Chart Detail,21500027,449,201196,Ramon Sessions,1610612764,Washington Wizards,4,9,49,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,7,1,0,20151030,MIL,WAS,180970
