,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
156897,Shot Chart Detail,21500010,123,200751,Randy Foye,1610612743,Denver Nuggets,1,1,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-107,239,1,0,20151028,HOU,DEN
156898,Shot Chart Detail,21500010,170,200751,Randy Foye,1610612743,Denver Nuggets,2,8,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-156,214,1,0,20151028,HOU,DEN
156899,Shot Chart Detail,21500010,252,200751,Randy Foye,1610612743,Denver Nuggets,2,0,52,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,2,1,1,20151028,HOU,DEN
156900,Shot Chart Detail,21500010,400,200751,Randy Foye,1610612743,Denver Nuggets,4,11,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-181,183,1,0,20151028,HOU,DEN
156901,Shot Chart Detail,21500010,409,200751,Randy Foye,1610612743,Denver Nuggets,4,10,35,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,18,1,0,20151028,HOU,DEN
156902,Shot Chart Detail,21500010,443,200751,Randy Foye,1610612743,Denver Nuggets,4,6,42,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,11,1,0,20151028,HOU,DEN
156903,Shot Chart Detail,21500029,88,200751,Randy Foye,1610612743,Denver Nuggets,1,2,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-125,224,1,0,20151030,DEN,MIN
156904,Shot Chart Detail,21500029,115,200751,Randy Foye,1610612743,Denver Nuggets,1,0,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-186,205,1,0,20151030,DEN,MIN
156905,Shot Chart Detail,21500044,132,200751,Randy Foye,1610612743,Denver Nuggets,1,1,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-205,129,1,0,20151101,OKC,DEN
156906,Shot Chart Detail,21500044,140,200751,Randy Foye,1610612743,Denver Nuggets,1,0,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-115,228,1,0,20151101,OKC,DEN
