,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
62681,Shot Chart Detail,21500012,129,1626173,Rashad Vaughn,1610612749,Milwaukee Bucks,1,1,28,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,227,52,1,1,20151028,MIL,NYK
62682,Shot Chart Detail,21500012,483,1626173,Rashad Vaughn,1610612749,Milwaukee Bucks,4,9,29,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,7,1,1,20151028,MIL,NYK
62683,Shot Chart Detail,21500012,506,1626173,Rashad Vaughn,1610612749,Milwaukee Bucks,4,7,36,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-1,1,1,20151028,MIL,NYK
62684,Shot Chart Detail,21500012,603,1626173,Rashad Vaughn,1610612749,Milwaukee Bucks,4,1,9,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,9,1,0,20151028,MIL,NYK
62685,Shot Chart Detail,21500042,481,1626173,Rashad Vaughn,1610612749,Milwaukee Bucks,4,2,28,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,86,185,1,0,20151101,TOR,MIL
62686,Shot Chart Detail,21500042,512,1626173,Rashad Vaughn,1610612749,Milwaukee Bucks,4,0,49,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,-24,1,0,20151101,TOR,MIL
62687,Shot Chart Detail,21500065,95,1626173,Rashad Vaughn,1610612749,Milwaukee Bucks,1,2,31,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,-6,1,1,20151104,MIL,PHI
62688,Shot Chart Detail,21500065,142,1626173,Rashad Vaughn,1610612749,Milwaukee Bucks,2,10,26,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,-5,1,0,20151104,MIL,PHI
62689,Shot Chart Detail,21500065,163,1626173,Rashad Vaughn,1610612749,Milwaukee Bucks,2,9,10,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,8,1,0,20151104,MIL,PHI
62690,Shot Chart Detail,21500089,493,1626173,Rashad Vaughn,1610612749,Milwaukee Bucks,4,0,56,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-155,62,1,1,20151107,MIL,BKN
