,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
141689,Shot Chart Detail,21500014,17,101109,Raymond Felton,1610612742,Dallas Mavericks,1,9,35,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,76,41,1,0,20151028,PHX,DAL,141689
141690,Shot Chart Detail,21500014,39,101109,Raymond Felton,1610612742,Dallas Mavericks,1,8,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-6,1,1,20151028,PHX,DAL,141690
141691,Shot Chart Detail,21500014,89,101109,Raymond Felton,1610612742,Dallas Mavericks,1,4,58,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,135,159,1,1,20151028,PHX,DAL,141691
141692,Shot Chart Detail,21500014,91,101109,Raymond Felton,1610612742,Dallas Mavericks,1,4,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,99,100,1,0,20151028,PHX,DAL,141692
141693,Shot Chart Detail,21500014,241,101109,Raymond Felton,1610612742,Dallas Mavericks,2,5,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,132,146,1,0,20151028,PHX,DAL,141693
141694,Shot Chart Detail,21500014,269,101109,Raymond Felton,1610612742,Dallas Mavericks,2,3,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-5,1,1,20151028,PHX,DAL,141694
141695,Shot Chart Detail,21500014,317,101109,Raymond Felton,1610612742,Dallas Mavericks,2,0,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,92,164,1,0,20151028,PHX,DAL,141695
141696,Shot Chart Detail,21500014,377,101109,Raymond Felton,1610612742,Dallas Mavericks,3,8,13,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,3,1,0,20151028,PHX,DAL,141696
141697,Shot Chart Detail,21500014,399,101109,Raymond Felton,1610612742,Dallas Mavericks,3,6,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,2,1,1,20151028,PHX,DAL,141697
141698,Shot Chart Detail,21500014,407,101109,Raymond Felton,1610612742,Dallas Mavericks,3,5,44,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,60,65,1,1,20151028,PHX,DAL,141698
