,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
101534,Shot Chart Detail,21500031,553,203135,Robert Sacre,1610612747,Los Angeles Lakers,4,3,46,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-1,57,1,0,20151030,SAC,LAL
101535,Shot Chart Detail,21500031,575,203135,Robert Sacre,1610612747,Los Angeles Lakers,4,2,16,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,SAC,LAL
101536,Shot Chart Detail,21500031,582,203135,Robert Sacre,1610612747,Los Angeles Lakers,4,1,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-7,195,1,0,20151030,SAC,LAL
101537,Shot Chart Detail,21500301,499,203135,Robert Sacre,1610612747,Los Angeles Lakers,4,5,51,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-2,67,1,1,20151206,DET,LAL
101538,Shot Chart Detail,21500301,504,203135,Robert Sacre,1610612747,Los Angeles Lakers,4,5,7,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,86,18,1,0,20151206,DET,LAL
101539,Shot Chart Detail,21500301,520,203135,Robert Sacre,1610612747,Los Angeles Lakers,4,3,40,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,66,3,1,0,20151206,DET,LAL
101540,Shot Chart Detail,21500308,95,203135,Robert Sacre,1610612747,Los Angeles Lakers,1,2,37,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,37,92,1,0,20151207,TOR,LAL
101541,Shot Chart Detail,21500308,140,203135,Robert Sacre,1610612747,Los Angeles Lakers,2,10,46,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-20,41,1,0,20151207,TOR,LAL
101542,Shot Chart Detail,21500308,183,203135,Robert Sacre,1610612747,Los Angeles Lakers,2,7,29,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,17,1,0,20151207,TOR,LAL
101543,Shot Chart Detail,21500325,120,203135,Robert Sacre,1610612747,Los Angeles Lakers,2,11,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-160,33,1,1,20151209,MIN,LAL
101544,Shot Chart Detail,21500325,162,203135,Robert Sacre,1610612747,Los Angeles Lakers,2,7,37,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-14,111,1,1,20151209,MIN,LAL
101545,Shot Chart Detail,21500325,407,203135,Robert Sacre,1610612747,Los Angeles Lakers,4,9,39,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151209,MIN,LAL
101546,Shot Chart Detail,21500325,438,203135,Robert Sacre,1610612747,Los Angeles Lakers,4,6,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-83,75,1,0,20151209,MIN,LAL
101547,Shot Chart Detail,21500325,453,203135,Robert Sacre,1610612747,Los Angeles Lakers,4,4,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,16,1,1,20151209,MIN,LAL
101548,Shot Chart Detail,21500342,110,203135,Robert Sacre,1610612747,Los Angeles Lakers,2,11,6,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,71,129,1,0,20151211,SAS,LAL
