,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
118836,Shot Chart Detail,21500012,2,201577,Robin Lopez,1610612752,New York Knicks,1,11,46,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,MIL,NYK
118837,Shot Chart Detail,21500012,221,201577,Robin Lopez,1610612752,New York Knicks,2,5,31,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-12,92,1,1,20151028,MIL,NYK
118838,Shot Chart Detail,21500012,261,201577,Robin Lopez,1610612752,New York Knicks,2,3,3,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,5,1,0,20151028,MIL,NYK
118839,Shot Chart Detail,21500012,339,201577,Robin Lopez,1610612752,New York Knicks,3,9,57,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,2,1,1,20151028,MIL,NYK
118840,Shot Chart Detail,21500012,382,201577,Robin Lopez,1610612752,New York Knicks,3,6,41,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,48,-6,1,0,20151028,MIL,NYK
118841,Shot Chart Detail,21500019,8,201577,Robin Lopez,1610612752,New York Knicks,1,11,4,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,19,41,1,1,20151029,NYK,ATL
118842,Shot Chart Detail,21500019,42,201577,Robin Lopez,1610612752,New York Knicks,1,7,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,18,1,1,20151029,NYK,ATL
118843,Shot Chart Detail,21500019,47,201577,Robin Lopez,1610612752,New York Knicks,1,6,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,141,16,1,1,20151029,NYK,ATL
118844,Shot Chart Detail,21500019,208,201577,Robin Lopez,1610612752,New York Knicks,2,2,46,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-20,26,1,1,20151029,NYK,ATL
118845,Shot Chart Detail,21500019,223,201577,Robin Lopez,1610612752,New York Knicks,2,1,24,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-24,23,1,1,20151029,NYK,ATL
118846,Shot Chart Detail,21500019,248,201577,Robin Lopez,1610612752,New York Knicks,3,11,45,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,27,16,1,0,20151029,NYK,ATL
118847,Shot Chart Detail,21500019,250,201577,Robin Lopez,1610612752,New York Knicks,3,11,42,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151029,NYK,ATL
118848,Shot Chart Detail,21500019,278,201577,Robin Lopez,1610612752,New York Knicks,3,8,33,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,50,95,1,0,20151029,NYK,ATL
118849,Shot Chart Detail,21500019,319,201577,Robin Lopez,1610612752,New York Knicks,3,5,52,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,32,62,1,0,20151029,NYK,ATL
118850,Shot Chart Detail,21500019,510,201577,Robin Lopez,1610612752,New York Knicks,4,3,27,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151029,NYK,ATL
118851,Shot Chart Detail,21500019,525,201577,Robin Lopez,1610612752,New York Knicks,4,2,14,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,20,46,1,1,20151029,NYK,ATL
118852,Shot Chart Detail,21500034,42,201577,Robin Lopez,1610612752,New York Knicks,1,7,44,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,-21,1,0,20151031,WAS,NYK
118853,Shot Chart Detail,21500034,44,201577,Robin Lopez,1610612752,New York Knicks,1,7,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-10,1,1,20151031,WAS,NYK
118854,Shot Chart Detail,21500034,65,201577,Robin Lopez,1610612752,New York Knicks,1,6,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,150,41,1,0,20151031,WAS,NYK
118855,Shot Chart Detail,21500034,199,201577,Robin Lopez,1610612752,New York Knicks,2,7,16,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,0,20151031,WAS,NYK
118856,Shot Chart Detail,21500034,244,201577,Robin Lopez,1610612752,New York Knicks,2,4,37,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,9,41,1,0,20151031,WAS,NYK
118857,Shot Chart Detail,21500034,305,201577,Robin Lopez,1610612752,New York Knicks,2,0,39,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151031,WAS,NYK
118858,Shot Chart Detail,21500034,318,201577,Robin Lopez,1610612752,New York Knicks,3,10,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,174,-15,1,0,20151031,WAS,NYK
118859,Shot Chart Detail,21500034,496,201577,Robin Lopez,1610612752,New York Knicks,4,11,24,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-32,80,1,0,20151031,WAS,NYK
