,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
46405,Shot Chart Detail,21500017,9,201579,Roy Hibbert,1610612747,Los Angeles Lakers,1,10,19,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,138,-16,1,0,20151028,LAL,MIN,46405
46406,Shot Chart Detail,21500017,74,201579,Roy Hibbert,1610612747,Los Angeles Lakers,1,4,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,-5,1,1,20151028,LAL,MIN,46406
46407,Shot Chart Detail,21500017,300,201579,Roy Hibbert,1610612747,Los Angeles Lakers,3,9,56,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,0,1,0,20151028,LAL,MIN,46407
46408,Shot Chart Detail,21500017,522,201579,Roy Hibbert,1610612747,Los Angeles Lakers,4,5,33,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,13,1,0,20151028,LAL,MIN,46408
46409,Shot Chart Detail,21500031,217,201579,Roy Hibbert,1610612747,Los Angeles Lakers,2,6,52,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,13,1,0,20151030,SAC,LAL,46409
46410,Shot Chart Detail,21500031,220,201579,Roy Hibbert,1610612747,Los Angeles Lakers,2,6,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,1,254,1,0,20151030,SAC,LAL,46410
46411,Shot Chart Detail,21500031,221,201579,Roy Hibbert,1610612747,Los Angeles Lakers,2,6,23,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,SAC,LAL,46411
46412,Shot Chart Detail,21500031,335,201579,Roy Hibbert,1610612747,Los Angeles Lakers,3,10,42,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151030,SAC,LAL,46412
46413,Shot Chart Detail,21500031,382,201579,Roy Hibbert,1610612747,Los Angeles Lakers,3,6,30,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,SAC,LAL,46413
46414,Shot Chart Detail,21500031,399,201579,Roy Hibbert,1610612747,Los Angeles Lakers,3,4,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,10,1,1,20151030,SAC,LAL,46414
46415,Shot Chart Detail,21500045,286,201579,Roy Hibbert,1610612747,Los Angeles Lakers,2,0,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,7,1,1,20151101,LAL,DAL,46415
46416,Shot Chart Detail,21500045,323,201579,Roy Hibbert,1610612747,Los Angeles Lakers,3,8,15,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,0,20151101,LAL,DAL,46416
46417,Shot Chart Detail,21500059,346,201579,Roy Hibbert,1610612747,Los Angeles Lakers,3,7,54,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151103,LAL,DEN,46417
46418,Shot Chart Detail,21500059,366,201579,Roy Hibbert,1610612747,Los Angeles Lakers,3,5,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-37,180,1,0,20151103,LAL,DEN,46418
46419,Shot Chart Detail,21500059,370,201579,Roy Hibbert,1610612747,Los Angeles Lakers,3,5,44,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151103,LAL,DEN,46419
46420,Shot Chart Detail,21500077,3,201579,Roy Hibbert,1610612747,Los Angeles Lakers,1,11,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-97,154,1,0,20151106,BKN,LAL,46420
46421,Shot Chart Detail,21500077,39,201579,Roy Hibbert,1610612747,Los Angeles Lakers,1,8,11,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,30,0,1,0,20151106,BKN,LAL,46421
46422,Shot Chart Detail,21500077,383,201579,Roy Hibbert,1610612747,Los Angeles Lakers,3,2,12,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151106,BKN,LAL,46422
46423,Shot Chart Detail,21500077,483,201579,Roy Hibbert,1610612747,Los Angeles Lakers,4,6,20,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,2,1,0,20151106,BKN,LAL,46423
46424,Shot Chart Detail,21500095,13,201579,Roy Hibbert,1610612747,Los Angeles Lakers,1,10,5,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,89,18,1,1,20151108,NYK,LAL,46424
46425,Shot Chart Detail,21500095,15,201579,Roy Hibbert,1610612747,Los Angeles Lakers,1,9,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-24,188,1,0,20151108,NYK,LAL,46425
46426,Shot Chart Detail,21500095,233,201579,Roy Hibbert,1610612747,Los Angeles Lakers,2,3,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-1,180,1,1,20151108,NYK,LAL,46426
46427,Shot Chart Detail,21500095,268,201579,Roy Hibbert,1610612747,Los Angeles Lakers,3,11,39,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-34,56,1,0,20151108,NYK,LAL,46427
46428,Shot Chart Detail,21500095,271,201579,Roy Hibbert,1610612747,Los Angeles Lakers,3,11,5,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151108,NYK,LAL,46428
46429,Shot Chart Detail,21500095,286,201579,Roy Hibbert,1610612747,Los Angeles Lakers,3,9,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-97,159,1,0,20151108,NYK,LAL,46429
46430,Shot Chart Detail,21500095,329,201579,Roy Hibbert,1610612747,Los Angeles Lakers,3,6,26,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,0,20151108,NYK,LAL,46430
46431,Shot Chart Detail,21500095,331,201579,Roy Hibbert,1610612747,Los Angeles Lakers,3,6,23,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-52,33,1,1,20151108,NYK,LAL,46431
46432,Shot Chart Detail,21500095,571,201579,Roy Hibbert,1610612747,Los Angeles Lakers,4,0,24,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,8,1,1,20151108,NYK,LAL,46432
46433,Shot Chart Detail,21500108,60,201579,Roy Hibbert,1610612747,Los Angeles Lakers,1,6,14,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151110,MIA,LAL,46433
46434,Shot Chart Detail,21500108,63,201579,Roy Hibbert,1610612747,Los Angeles Lakers,1,5,40,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,61,-5,1,0,20151110,MIA,LAL,46434
46435,Shot Chart Detail,21500108,286,201579,Roy Hibbert,1610612747,Los Angeles Lakers,3,7,47,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,68,61,1,0,20151110,MIA,LAL,46435
46436,Shot Chart Detail,21500114,9,201579,Roy Hibbert,1610612747,Los Angeles Lakers,1,10,53,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-137,77,1,0,20151111,ORL,LAL,46436
46437,Shot Chart Detail,21500114,32,201579,Roy Hibbert,1610612747,Los Angeles Lakers,1,8,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,12,185,1,0,20151111,ORL,LAL,46437
