,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
89729,Shot Chart Detail,21500016,3,200752,Rudy Gay,1610612758,Sacramento Kings,1,11,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,8,1,1,20151028,SAC,LAC
89730,Shot Chart Detail,21500016,42,200752,Rudy Gay,1610612758,Sacramento Kings,1,7,19,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-27,51,1,0,20151028,SAC,LAC
89731,Shot Chart Detail,21500016,198,200752,Rudy Gay,1610612758,Sacramento Kings,2,6,51,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-40,51,1,0,20151028,SAC,LAC
89732,Shot Chart Detail,21500016,209,200752,Rudy Gay,1610612758,Sacramento Kings,2,6,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-166,193,1,0,20151028,SAC,LAC
89733,Shot Chart Detail,21500016,241,200752,Rudy Gay,1610612758,Sacramento Kings,2,3,39,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-45,28,1,0,20151028,SAC,LAC
89734,Shot Chart Detail,21500016,252,200752,Rudy Gay,1610612758,Sacramento Kings,2,2,40,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,46,31,1,0,20151028,SAC,LAC
89735,Shot Chart Detail,21500016,253,200752,Rudy Gay,1610612758,Sacramento Kings,2,2,38,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20151028,SAC,LAC
89736,Shot Chart Detail,21500016,307,200752,Rudy Gay,1610612758,Sacramento Kings,3,11,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,89,121,1,1,20151028,SAC,LAC
89737,Shot Chart Detail,21500016,316,200752,Rudy Gay,1610612758,Sacramento Kings,3,10,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,148,43,1,0,20151028,SAC,LAC
89738,Shot Chart Detail,21500016,348,200752,Rudy Gay,1610612758,Sacramento Kings,3,7,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-196,16,1,0,20151028,SAC,LAC
89739,Shot Chart Detail,21500016,356,200752,Rudy Gay,1610612758,Sacramento Kings,3,6,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20151028,SAC,LAC
89740,Shot Chart Detail,21500016,508,200752,Rudy Gay,1610612758,Sacramento Kings,4,6,51,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-7,80,1,1,20151028,SAC,LAC
89741,Shot Chart Detail,21500016,525,200752,Rudy Gay,1610612758,Sacramento Kings,4,4,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-174,180,1,1,20151028,SAC,LAC
89742,Shot Chart Detail,21500016,532,200752,Rudy Gay,1610612758,Sacramento Kings,4,4,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-58,247,1,0,20151028,SAC,LAC
89743,Shot Chart Detail,21500016,549,200752,Rudy Gay,1610612758,Sacramento Kings,4,1,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,169,56,1,0,20151028,SAC,LAC
89744,Shot Chart Detail,21500016,578,200752,Rudy Gay,1610612758,Sacramento Kings,4,0,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,182,70,1,1,20151028,SAC,LAC
89745,Shot Chart Detail,21500031,4,200752,Rudy Gay,1610612758,Sacramento Kings,1,11,24,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,156,46,1,1,20151030,SAC,LAL
89746,Shot Chart Detail,21500031,20,200752,Rudy Gay,1610612758,Sacramento Kings,1,9,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,117,120,1,1,20151030,SAC,LAL
89747,Shot Chart Detail,21500031,42,200752,Rudy Gay,1610612758,Sacramento Kings,1,7,45,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,19,26,1,1,20151030,SAC,LAL
89748,Shot Chart Detail,21500031,89,200752,Rudy Gay,1610612758,Sacramento Kings,1,4,22,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,22,70,1,1,20151030,SAC,LAL
89749,Shot Chart Detail,21500031,178,200752,Rudy Gay,1610612758,Sacramento Kings,2,9,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,9,267,1,1,20151030,SAC,LAL
89750,Shot Chart Detail,21500031,194,200752,Rudy Gay,1610612758,Sacramento Kings,2,8,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-220,120,1,0,20151030,SAC,LAL
89751,Shot Chart Detail,21500031,215,200752,Rudy Gay,1610612758,Sacramento Kings,2,7,0,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,171,7,1,0,20151030,SAC,LAL
89752,Shot Chart Detail,21500031,233,200752,Rudy Gay,1610612758,Sacramento Kings,2,5,18,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,20,31,1,0,20151030,SAC,LAL
89753,Shot Chart Detail,21500031,343,200752,Rudy Gay,1610612758,Sacramento Kings,3,9,38,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,23,1,1,20151030,SAC,LAL
89754,Shot Chart Detail,21500031,355,200752,Rudy Gay,1610612758,Sacramento Kings,3,8,40,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,43,193,1,1,20151030,SAC,LAL
89755,Shot Chart Detail,21500031,450,200752,Rudy Gay,1610612758,Sacramento Kings,3,0,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,87,120,1,0,20151030,SAC,LAL
89756,Shot Chart Detail,21500031,489,200752,Rudy Gay,1610612758,Sacramento Kings,4,8,47,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,SAC,LAL
89757,Shot Chart Detail,21500038,3,200752,Rudy Gay,1610612758,Sacramento Kings,1,11,23,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-233,61,1,1,20151031,LAC,SAC
89758,Shot Chart Detail,21500038,141,200752,Rudy Gay,1610612758,Sacramento Kings,1,0,1,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-165,106,1,1,20151031,LAC,SAC
89759,Shot Chart Detail,21500038,149,200752,Rudy Gay,1610612758,Sacramento Kings,2,11,41,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,2,1,0,20151031,LAC,SAC
89760,Shot Chart Detail,21500038,151,200752,Rudy Gay,1610612758,Sacramento Kings,2,11,38,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,21,1,0,20151031,LAC,SAC
89761,Shot Chart Detail,21500038,163,200752,Rudy Gay,1610612758,Sacramento Kings,2,10,4,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-84,51,1,1,20151031,LAC,SAC
89762,Shot Chart Detail,21500038,189,200752,Rudy Gay,1610612758,Sacramento Kings,2,8,27,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,13,1,1,20151031,LAC,SAC
89763,Shot Chart Detail,21500038,225,200752,Rudy Gay,1610612758,Sacramento Kings,2,6,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,16,1,1,20151031,LAC,SAC
89764,Shot Chart Detail,21500038,355,200752,Rudy Gay,1610612758,Sacramento Kings,2,0,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-42,264,1,0,20151031,LAC,SAC
89765,Shot Chart Detail,21500038,364,200752,Rudy Gay,1610612758,Sacramento Kings,3,11,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,16,1,0,20151031,LAC,SAC
89766,Shot Chart Detail,21500038,392,200752,Rudy Gay,1610612758,Sacramento Kings,3,9,9,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-58,77,1,1,20151031,LAC,SAC
89767,Shot Chart Detail,21500038,401,200752,Rudy Gay,1610612758,Sacramento Kings,3,7,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,104,149,1,0,20151031,LAC,SAC
89768,Shot Chart Detail,21500038,418,200752,Rudy Gay,1610612758,Sacramento Kings,3,6,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,10,252,1,0,20151031,LAC,SAC
89769,Shot Chart Detail,21500038,426,200752,Rudy Gay,1610612758,Sacramento Kings,3,5,21,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-56,46,1,0,20151031,LAC,SAC
89770,Shot Chart Detail,21500038,437,200752,Rudy Gay,1610612758,Sacramento Kings,3,4,15,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,28,31,1,0,20151031,LAC,SAC
89771,Shot Chart Detail,21500038,570,200752,Rudy Gay,1610612758,Sacramento Kings,4,6,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-178,180,1,1,20151031,LAC,SAC
89772,Shot Chart Detail,21500038,579,200752,Rudy Gay,1610612758,Sacramento Kings,4,5,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-148,169,1,0,20151031,LAC,SAC
89773,Shot Chart Detail,21500038,586,200752,Rudy Gay,1610612758,Sacramento Kings,4,5,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,179,62,1,0,20151031,LAC,SAC
89774,Shot Chart Detail,21500038,600,200752,Rudy Gay,1610612758,Sacramento Kings,4,4,5,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-24,47,1,0,20151031,LAC,SAC
