,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
23880,Shot Chart Detail,21500007,18,203497,Rudy Gobert,1610612762,Utah Jazz,1,8,51,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-2,31,1,0,20151028,DET,UTA
23881,Shot Chart Detail,21500007,27,203497,Rudy Gobert,1610612762,Utah Jazz,1,7,47,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-6,1,1,20151028,DET,UTA
23882,Shot Chart Detail,21500007,48,203497,Rudy Gobert,1610612762,Utah Jazz,1,4,29,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-74,7,1,0,20151028,DET,UTA
23883,Shot Chart Detail,21500007,93,203497,Rudy Gobert,1610612762,Utah Jazz,1,0,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-88,-1,1,0,20151028,DET,UTA
23884,Shot Chart Detail,21500007,149,203497,Rudy Gobert,1610612762,Utah Jazz,2,6,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-5,1,1,20151028,DET,UTA
23885,Shot Chart Detail,21500007,261,203497,Rudy Gobert,1610612762,Utah Jazz,3,7,56,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,DET,UTA
23886,Shot Chart Detail,21500023,31,203497,Rudy Gobert,1610612762,Utah Jazz,1,9,39,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-37,80,1,0,20151030,PHI,UTA
23887,Shot Chart Detail,21500023,171,203497,Rudy Gobert,1610612762,Utah Jazz,2,9,58,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,PHI,UTA
23888,Shot Chart Detail,21500023,176,203497,Rudy Gobert,1610612762,Utah Jazz,2,9,20,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,11,1,0,20151030,PHI,UTA
23889,Shot Chart Detail,21500023,309,203497,Rudy Gobert,1610612762,Utah Jazz,3,8,23,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,PHI,UTA
