,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
124194,Shot Chart Detail,21500013,18,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,10,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-47,247,1,0,20151028,OKC,SAS
124195,Shot Chart Detail,21500013,23,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,9,45,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-58,97,1,1,20151028,OKC,SAS
124196,Shot Chart Detail,21500013,26,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,9,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-181,169,1,0,20151028,OKC,SAS
124197,Shot Chart Detail,21500013,58,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,6,37,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,16,1,0,20151028,OKC,SAS
124198,Shot Chart Detail,21500013,60,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,6,29,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-117,223,1,1,20151028,OKC,SAS
124199,Shot Chart Detail,21500013,64,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,6,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-1,1,1,20151028,OKC,SAS
124200,Shot Chart Detail,21500013,77,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,5,15,Made Shot,Pullup Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-117,80,1,1,20151028,OKC,SAS
124201,Shot Chart Detail,21500013,91,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,3,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,-1,1,1,20151028,OKC,SAS
124202,Shot Chart Detail,21500013,106,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,1,2,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-110,218,1,0,20151028,OKC,SAS
124203,Shot Chart Detail,21500013,215,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,2,4,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,0,1,1,20151028,OKC,SAS
124204,Shot Chart Detail,21500013,217,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,2,3,44,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-1,134,1,0,20151028,OKC,SAS
124205,Shot Chart Detail,21500013,225,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,2,2,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-1,1,1,20151028,OKC,SAS
124206,Shot Chart Detail,21500013,233,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,2,1,54,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,43,126,1,0,20151028,OKC,SAS
124207,Shot Chart Detail,21500013,248,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,2,0,34,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,7,1,0,20151028,OKC,SAS
124208,Shot Chart Detail,21500013,250,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,2,0,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-210,126,1,1,20151028,OKC,SAS
124209,Shot Chart Detail,21500013,322,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,3,6,15,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,OKC,SAS
124210,Shot Chart Detail,21500013,363,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,3,2,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-5,1,1,20151028,OKC,SAS
124211,Shot Chart Detail,21500013,375,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,3,0,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-29,149,1,0,20151028,OKC,SAS
124212,Shot Chart Detail,21500013,377,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,3,0,26,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,7,1,0,20151028,OKC,SAS
124213,Shot Chart Detail,21500013,476,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,5,15,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,61,144,1,1,20151028,OKC,SAS
124214,Shot Chart Detail,21500013,494,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,53,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,2,1,0,20151028,OKC,SAS
