,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
65061,Shot Chart Detail,21500020,527,1626257,Salah Mejri,1610612742,Dallas Mavericks,4,4,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-133,164,1,0,20151029,LAC,DAL,65061
65062,Shot Chart Detail,21500582,168,1626257,Salah Mejri,1610612742,Dallas Mavericks,2,8,16,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160113,OKC,DAL,65062
65063,Shot Chart Detail,21500582,264,1626257,Salah Mejri,1610612742,Dallas Mavericks,2,2,23,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160113,OKC,DAL,65063
65064,Shot Chart Detail,21500582,275,1626257,Salah Mejri,1610612742,Dallas Mavericks,2,1,57,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160113,OKC,DAL,65064
65065,Shot Chart Detail,21500582,434,1626257,Salah Mejri,1610612742,Dallas Mavericks,3,2,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-1,1,1,20160113,OKC,DAL,65065
65066,Shot Chart Detail,21500582,475,1626257,Salah Mejri,1610612742,Dallas Mavericks,4,10,48,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160113,OKC,DAL,65066
65067,Shot Chart Detail,21500582,509,1626257,Salah Mejri,1610612742,Dallas Mavericks,4,6,48,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,21,1,1,20160113,OKC,DAL,65067
65068,Shot Chart Detail,21500582,521,1626257,Salah Mejri,1610612742,Dallas Mavericks,4,6,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,7,1,0,20160113,OKC,DAL,65068
65069,Shot Chart Detail,21500582,583,1626257,Salah Mejri,1610612742,Dallas Mavericks,4,0,48,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160113,OKC,DAL,65069
65070,Shot Chart Detail,21500651,441,1626257,Salah Mejri,1610612742,Dallas Mavericks,4,6,23,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20160122,DAL,OKC,65070
65071,Shot Chart Detail,21500665,4,1626257,Salah Mejri,1610612742,Dallas Mavericks,1,11,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,0,1,1,20160124,HOU,DAL,65071
65072,Shot Chart Detail,21500665,12,1626257,Salah Mejri,1610612742,Dallas Mavericks,1,9,59,Made Shot,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160124,HOU,DAL,65072
65073,Shot Chart Detail,21500665,44,1626257,Salah Mejri,1610612742,Dallas Mavericks,1,5,56,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160124,HOU,DAL,65073
