,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
118559,Shot Chart Detail,21500012,29,2756,Sasha Vujacic,1610612752,New York Knicks,1,9,4,Missed Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,13,1,0,20151028,MIL,NYK,118559
118560,Shot Chart Detail,21500012,182,2756,Sasha Vujacic,1610612752,New York Knicks,2,8,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,145,124,1,1,20151028,MIL,NYK,118560
118561,Shot Chart Detail,21500012,241,2756,Sasha Vujacic,1610612752,New York Knicks,2,4,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-133,244,1,1,20151028,MIL,NYK,118561
118562,Shot Chart Detail,21500012,260,2756,Sasha Vujacic,1610612752,New York Knicks,2,3,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,119,-6,1,0,20151028,MIL,NYK,118562
118563,Shot Chart Detail,21500012,358,2756,Sasha Vujacic,1610612752,New York Knicks,3,8,25,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,2,1,1,20151028,MIL,NYK,118563
118564,Shot Chart Detail,21500012,539,2756,Sasha Vujacic,1610612752,New York Knicks,4,5,16,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,11,1,1,20151028,MIL,NYK,118564
118565,Shot Chart Detail,21500019,37,2756,Sasha Vujacic,1610612752,New York Knicks,1,8,3,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,-21,1,1,20151029,NYK,ATL,118565
118566,Shot Chart Detail,21500019,63,2756,Sasha Vujacic,1610612752,New York Knicks,1,5,37,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,197,149,1,0,20151029,NYK,ATL,118566
118567,Shot Chart Detail,21500019,182,2756,Sasha Vujacic,1610612752,New York Knicks,2,5,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,218,124,1,0,20151029,NYK,ATL,118567
118568,Shot Chart Detail,21500019,280,2756,Sasha Vujacic,1610612752,New York Knicks,3,8,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-186,164,1,0,20151029,NYK,ATL,118568
118569,Shot Chart Detail,21500019,330,2756,Sasha Vujacic,1610612752,New York Knicks,3,5,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,215,134,1,1,20151029,NYK,ATL,118569
118570,Shot Chart Detail,21500019,345,2756,Sasha Vujacic,1610612752,New York Knicks,3,4,14,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,2,1,0,20151029,NYK,ATL,118570
118571,Shot Chart Detail,21500019,347,2756,Sasha Vujacic,1610612752,New York Knicks,3,4,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,163,-16,1,0,20151029,NYK,ATL,118571
118572,Shot Chart Detail,21500019,464,2756,Sasha Vujacic,1610612752,New York Knicks,4,6,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,194,146,1,0,20151029,NYK,ATL,118572
118573,Shot Chart Detail,21500034,19,2756,Sasha Vujacic,1610612752,New York Knicks,1,9,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-192,164,1,0,20151031,WAS,NYK,118573
118574,Shot Chart Detail,21500034,21,2756,Sasha Vujacic,1610612752,New York Knicks,1,9,4,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-245,-1,1,0,20151031,WAS,NYK,118574
118575,Shot Chart Detail,21500034,37,2756,Sasha Vujacic,1610612752,New York Knicks,1,8,2,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,102,169,1,1,20151031,WAS,NYK,118575
118576,Shot Chart Detail,21500034,208,2756,Sasha Vujacic,1610612752,New York Knicks,2,6,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,4,247,1,0,20151031,WAS,NYK,118576
