,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
55853,Shot Chart Detail,21500013,30,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,1,8,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,135,159,1,0,20151028,OKC,SAS
55854,Shot Chart Detail,21500013,48,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,1,7,13,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,238,41,1,0,20151028,OKC,SAS
55855,Shot Chart Detail,21500013,50,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,1,7,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,127,149,1,0,20151028,OKC,SAS
55856,Shot Chart Detail,21500013,119,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,1,0,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-63,169,1,1,20151028,OKC,SAS
55857,Shot Chart Detail,21500013,159,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,2,8,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-125,46,1,1,20151028,OKC,SAS
55858,Shot Chart Detail,21500013,163,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,2,7,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,92,159,1,0,20151028,OKC,SAS
55859,Shot Chart Detail,21500013,277,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,3,9,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-117,131,1,1,20151028,OKC,SAS
55860,Shot Chart Detail,21500013,310,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,3,7,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-1,183,1,1,20151028,OKC,SAS
55861,Shot Chart Detail,21500013,319,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,3,6,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-68,160,1,0,20151028,OKC,SAS
55862,Shot Chart Detail,21500022,2,201586,Serge Ibaka,1610612760,Oklahoma City Thunder,1,11,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,105,90,1,1,20151030,ORL,OKC
