,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
193956,Shot Chart Detail,21500031,581,203552,Seth Curry,1610612758,Sacramento Kings,4,1,27,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-79,62,1,1,20151030,SAC,LAL,193956
193957,Shot Chart Detail,21500031,594,203552,Seth Curry,1610612758,Sacramento Kings,4,0,13,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,25,46,1,0,20151030,SAC,LAL,193957
193958,Shot Chart Detail,21500058,578,203552,Seth Curry,1610612758,Sacramento Kings,4,1,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,22,186,126,1,1,20151103,SAC,MEM,193958
193959,Shot Chart Detail,21500058,588,203552,Seth Curry,1610612758,Sacramento Kings,4,0,32,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,138,120,1,1,20151103,SAC,MEM,193959
193960,Shot Chart Detail,21500067,448,203552,Seth Curry,1610612758,Sacramento Kings,4,4,46,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,-24,1,1,20151104,PHX,SAC,193960
193961,Shot Chart Detail,21500067,487,203552,Seth Curry,1610612758,Sacramento Kings,4,1,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,168,174,1,0,20151104,PHX,SAC,193961
193962,Shot Chart Detail,21500084,457,203552,Seth Curry,1610612758,Sacramento Kings,4,11,14,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,227,38,1,1,20151106,SAC,HOU,193962
193963,Shot Chart Detail,21500084,460,203552,Seth Curry,1610612758,Sacramento Kings,4,10,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,8,1,1,20151106,SAC,HOU,193963
193964,Shot Chart Detail,21500084,468,203552,Seth Curry,1610612758,Sacramento Kings,4,10,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-138,205,1,1,20151106,SAC,HOU,193964
193965,Shot Chart Detail,21500084,512,203552,Seth Curry,1610612758,Sacramento Kings,4,6,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-7,164,1,0,20151106,SAC,HOU,193965
