,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
95904,Shot Chart Detail,21500062,114,202714,Shelvin Mack,1610612737,Atlanta Hawks,1,0,40,Missed Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,2,1,0,20151104,ATL,BKN
95905,Shot Chart Detail,21500062,508,202714,Shelvin Mack,1610612737,Atlanta Hawks,4,1,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,181,7,1,0,20151104,ATL,BKN
95906,Shot Chart Detail,21500148,96,202714,Shelvin Mack,1610612737,Atlanta Hawks,1,3,3,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-47,169,1,0,20151115,ATL,UTA
95907,Shot Chart Detail,21500148,142,202714,Shelvin Mack,1610612737,Atlanta Hawks,2,10,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,117,115,1,1,20151115,ATL,UTA
95908,Shot Chart Detail,21500148,160,202714,Shelvin Mack,1610612737,Atlanta Hawks,2,9,34,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,4,110,1,1,20151115,ATL,UTA
95909,Shot Chart Detail,21500148,400,202714,Shelvin Mack,1610612737,Atlanta Hawks,4,11,17,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,53,80,1,0,20151115,ATL,UTA
95910,Shot Chart Detail,21500148,403,202714,Shelvin Mack,1610612737,Atlanta Hawks,4,11,9,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,17,56,1,0,20151115,ATL,UTA
95911,Shot Chart Detail,21500148,420,202714,Shelvin Mack,1610612737,Atlanta Hawks,4,10,9,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,2,1,1,20151115,ATL,UTA
95912,Shot Chart Detail,21500148,430,202714,Shelvin Mack,1610612737,Atlanta Hawks,4,9,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,177,185,1,0,20151115,ATL,UTA
95913,Shot Chart Detail,21500159,77,202714,Shelvin Mack,1610612737,Atlanta Hawks,1,2,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,0,252,1,0,20151117,BKN,ATL
95914,Shot Chart Detail,21500159,92,202714,Shelvin Mack,1610612737,Atlanta Hawks,1,0,29,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,11,1,0,20151117,BKN,ATL
