,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
191452,Shot Chart Detail,21500001,117,2581,Steve Blake,1610612765,Detroit Pistons,1,0,0,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,35,28,355,1,0,20151027,ATL,DET,191452
191453,Shot Chart Detail,21500001,137,2581,Steve Blake,1610612765,Detroit Pistons,2,10,20,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,238,11,1,1,20151027,ATL,DET,191453
191454,Shot Chart Detail,21500001,154,2581,Steve Blake,1610612765,Detroit Pistons,2,8,22,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,3,1,0,20151027,ATL,DET,191454
191455,Shot Chart Detail,21500001,163,2581,Steve Blake,1610612765,Detroit Pistons,2,7,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,101,224,1,0,20151027,ATL,DET,191455
191456,Shot Chart Detail,21500001,175,2581,Steve Blake,1610612765,Detroit Pistons,2,6,31,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,7,1,0,20151027,ATL,DET,191456
191457,Shot Chart Detail,21500001,405,2581,Steve Blake,1610612765,Detroit Pistons,4,7,52,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,7,1,0,20151027,ATL,DET,191457
191458,Shot Chart Detail,21500007,95,2581,Steve Blake,1610612765,Detroit Pistons,1,0,8,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-45,3,1,0,20151028,DET,UTA,191458
191459,Shot Chart Detail,21500007,356,2581,Steve Blake,1610612765,Detroit Pistons,4,11,17,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-76,87,1,1,20151028,DET,UTA,191459
191460,Shot Chart Detail,21500007,403,2581,Steve Blake,1610612765,Detroit Pistons,4,6,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,45,249,1,0,20151028,DET,UTA,191460
191461,Shot Chart Detail,21500025,133,2581,Steve Blake,1610612765,Detroit Pistons,2,11,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-156,129,1,0,20151030,DET,CHI,191461
191462,Shot Chart Detail,21500025,144,2581,Steve Blake,1610612765,Detroit Pistons,2,11,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-202,166,1,0,20151030,DET,CHI,191462
191463,Shot Chart Detail,21500025,149,2581,Steve Blake,1610612765,Detroit Pistons,2,9,32,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-2,62,1,0,20151030,DET,CHI,191463
191464,Shot Chart Detail,21500025,159,2581,Steve Blake,1610612765,Detroit Pistons,2,8,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,42,252,1,0,20151030,DET,CHI,191464
