,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
113760,Shot Chart Detail,21500013,368,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,2,0,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,43,47,1,1,20151028,OKC,SAS
113761,Shot Chart Detail,21500013,370,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,1,30,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,33,80,1,1,20151028,OKC,SAS
113762,Shot Chart Detail,21500013,435,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,8,44,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,OKC,SAS
113763,Shot Chart Detail,21500013,527,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,0,22,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,11,1,0,20151028,OKC,SAS
113764,Shot Chart Detail,21500022,38,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,7,19,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,ORL,OKC
113765,Shot Chart Detail,21500022,347,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,5,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,ORL,OKC
113766,Shot Chart Detail,21500022,653,203500,Steven Adams,1610612760,Oklahoma City Thunder,5,1,1,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,16,1,0,20151030,ORL,OKC
113767,Shot Chart Detail,21500022,715,203500,Steven Adams,1610612760,Oklahoma City Thunder,6,2,38,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,ORL,OKC
113768,Shot Chart Detail,21500022,724,203500,Steven Adams,1610612760,Oklahoma City Thunder,6,1,9,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,33,65,1,0,20151030,ORL,OKC
113769,Shot Chart Detail,21500044,111,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,2,47,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151101,OKC,DEN
113770,Shot Chart Detail,21500044,318,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,10,29,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,7,1,0,20151101,OKC,DEN
113771,Shot Chart Detail,21500044,346,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,8,14,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,143,16,1,0,20151101,OKC,DEN
113772,Shot Chart Detail,21500049,287,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,0,37,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-30,75,1,0,20151102,HOU,OKC
113773,Shot Chart Detail,21500049,309,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,11,0,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151102,HOU,OKC
113774,Shot Chart Detail,21500049,342,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,8,34,Made Shot,Turnaround Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,63,31,1,1,20151102,HOU,OKC
113775,Shot Chart Detail,21500066,11,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,10,54,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,86,21,1,1,20151104,OKC,TOR
113776,Shot Chart Detail,21500066,17,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,9,55,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151104,OKC,TOR
113777,Shot Chart Detail,21500066,27,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,8,41,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-7,36,1,0,20151104,OKC,TOR
113778,Shot Chart Detail,21500066,62,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,5,29,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,17,46,1,1,20151104,OKC,TOR
113779,Shot Chart Detail,21500066,221,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,4,28,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,11,1,1,20151104,OKC,TOR
113780,Shot Chart Detail,21500066,270,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,0,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,128,120,1,0,20151104,OKC,TOR
113781,Shot Chart Detail,21500066,325,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,6,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-6,1,1,20151104,OKC,TOR
113782,Shot Chart Detail,21500070,60,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,4,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,16,1,1,20151105,CHI,OKC
113783,Shot Chart Detail,21500070,83,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,1,50,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-7,65,1,0,20151105,CHI,OKC
113784,Shot Chart Detail,21500070,223,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,4,20,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-29,82,1,1,20151105,CHI,OKC
113785,Shot Chart Detail,21500070,283,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,10,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,8,1,1,20151105,CHI,OKC
113786,Shot Chart Detail,21500097,20,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,9,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,8,1,1,20151108,OKC,PHX
113787,Shot Chart Detail,21500097,210,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,7,22,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,0,20151108,OKC,PHX
113788,Shot Chart Detail,21500097,266,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,3,5,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,7,1,0,20151108,OKC,PHX
113789,Shot Chart Detail,21500097,285,203500,Steven Adams,1610612760,Oklahoma City Thunder,2,1,30,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151108,OKC,PHX
113790,Shot Chart Detail,21500097,330,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,10,16,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,16,1,0,20151108,OKC,PHX
113791,Shot Chart Detail,21500097,345,203500,Steven Adams,1610612760,Oklahoma City Thunder,3,8,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,1,20151108,OKC,PHX
113792,Shot Chart Detail,21500107,33,203500,Steven Adams,1610612760,Oklahoma City Thunder,1,7,28,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,9,95,1,1,20151110,WAS,OKC
113793,Shot Chart Detail,21500107,443,203500,Steven Adams,1610612760,Oklahoma City Thunder,4,10,52,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151110,WAS,OKC
