,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
28799,Shot Chart Detail,21500005,108,204456,T.J. McConnell,1610612755,Philadelphia 76ers,1,1,39,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,58,13,1,0,20151028,BOS,PHI,28799
28800,Shot Chart Detail,21500005,129,204456,T.J. McConnell,1610612755,Philadelphia 76ers,2,11,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,176,203,1,0,20151028,BOS,PHI,28800
28801,Shot Chart Detail,21500005,178,204456,T.J. McConnell,1610612755,Philadelphia 76ers,2,7,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,115,56,1,0,20151028,BOS,PHI,28801
28802,Shot Chart Detail,21500005,271,204456,T.J. McConnell,1610612755,Philadelphia 76ers,2,0,44,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,-11,1,1,20151028,BOS,PHI,28802
28803,Shot Chart Detail,21500005,397,204456,T.J. McConnell,1610612755,Philadelphia 76ers,3,2,12,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,53,23,1,1,20151028,BOS,PHI,28803
28804,Shot Chart Detail,21500023,101,204456,T.J. McConnell,1610612755,Philadelphia 76ers,1,4,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,2,43,1,0,20151030,PHI,UTA,28804
28805,Shot Chart Detail,21500023,302,204456,T.J. McConnell,1610612755,Philadelphia 76ers,3,8,53,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,37,70,1,0,20151030,PHI,UTA,28805
28806,Shot Chart Detail,21500023,411,204456,T.J. McConnell,1610612755,Philadelphia 76ers,3,0,4,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,16,1,0,20151030,PHI,UTA,28806
28807,Shot Chart Detail,21500023,545,204456,T.J. McConnell,1610612755,Philadelphia 76ers,4,1,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,7,1,1,20151030,PHI,UTA,28807
28808,Shot Chart Detail,21500046,101,204456,T.J. McConnell,1610612755,Philadelphia 76ers,1,3,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,2,1,1,20151102,PHI,CLE,28808
28809,Shot Chart Detail,21500046,174,204456,T.J. McConnell,1610612755,Philadelphia 76ers,2,10,14,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,0,120,1,0,20151102,PHI,CLE,28809
28810,Shot Chart Detail,21500046,512,204456,T.J. McConnell,1610612755,Philadelphia 76ers,4,4,24,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,38,23,1,1,20151102,PHI,CLE,28810
28811,Shot Chart Detail,21500046,521,204456,T.J. McConnell,1610612755,Philadelphia 76ers,4,2,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,2,1,1,20151102,PHI,CLE,28811
28812,Shot Chart Detail,21500065,55,204456,T.J. McConnell,1610612755,Philadelphia 76ers,1,5,33,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,29,1,1,20151104,MIL,PHI,28812
28813,Shot Chart Detail,21500065,149,204456,T.J. McConnell,1610612755,Philadelphia 76ers,2,9,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,4,254,1,1,20151104,MIL,PHI,28813
28814,Shot Chart Detail,21500065,296,204456,T.J. McConnell,1610612755,Philadelphia 76ers,3,9,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,11,1,1,20151104,MIL,PHI,28814
28815,Shot Chart Detail,21500065,334,204456,T.J. McConnell,1610612755,Philadelphia 76ers,3,4,50,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,3,1,0,20151104,MIL,PHI,28815
28816,Shot Chart Detail,21500078,6,204456,T.J. McConnell,1610612755,Philadelphia 76ers,1,11,14,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,119,36,1,1,20151106,CLE,PHI,28816
28817,Shot Chart Detail,21500078,25,204456,T.J. McConnell,1610612755,Philadelphia 76ers,1,9,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,146,193,1,1,20151106,CLE,PHI,28817
28818,Shot Chart Detail,21500078,131,204456,T.J. McConnell,1610612755,Philadelphia 76ers,1,0,34,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-35,61,1,0,20151106,CLE,PHI,28818
28819,Shot Chart Detail,21500078,139,204456,T.J. McConnell,1610612755,Philadelphia 76ers,1,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,166,174,1,1,20151106,CLE,PHI,28819
28820,Shot Chart Detail,21500078,311,204456,T.J. McConnell,1610612755,Philadelphia 76ers,3,9,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-56,244,1,0,20151106,CLE,PHI,28820
28821,Shot Chart Detail,21500078,325,204456,T.J. McConnell,1610612755,Philadelphia 76ers,3,7,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-219,129,1,0,20151106,CLE,PHI,28821
28822,Shot Chart Detail,21500087,34,204456,T.J. McConnell,1610612755,Philadelphia 76ers,1,7,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,0,1,1,20151107,PHI,ORL,28822
28823,Shot Chart Detail,21500087,247,204456,T.J. McConnell,1610612755,Philadelphia 76ers,3,10,36,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,26,1,1,20151107,PHI,ORL,28823
28824,Shot Chart Detail,21500087,298,204456,T.J. McConnell,1610612755,Philadelphia 76ers,3,5,27,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-130,65,1,1,20151107,PHI,ORL,28824
28825,Shot Chart Detail,21500087,369,204456,T.J. McConnell,1610612755,Philadelphia 76ers,3,0,26,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,26,1,0,20151107,PHI,ORL,28825
28826,Shot Chart Detail,21500087,404,204456,T.J. McConnell,1610612755,Philadelphia 76ers,4,10,6,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,35,21,1,0,20151107,PHI,ORL,28826
28827,Shot Chart Detail,21500087,424,204456,T.J. McConnell,1610612755,Philadelphia 76ers,4,9,2,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,8,0,80,1,0,20151107,PHI,ORL,28827
28828,Shot Chart Detail,21500087,428,204456,T.J. McConnell,1610612755,Philadelphia 76ers,4,8,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,99,90,1,0,20151107,PHI,ORL,28828
28829,Shot Chart Detail,21500087,465,204456,T.J. McConnell,1610612755,Philadelphia 76ers,4,5,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-161,219,1,0,20151107,PHI,ORL,28829
28830,Shot Chart Detail,21500087,502,204456,T.J. McConnell,1610612755,Philadelphia 76ers,4,1,46,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,46,26,1,0,20151107,PHI,ORL,28830
28831,Shot Chart Detail,21500100,44,204456,T.J. McConnell,1610612755,Philadelphia 76ers,1,7,39,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,145,-15,1,1,20151109,PHI,CHI,28831
28832,Shot Chart Detail,21500100,69,204456,T.J. McConnell,1610612755,Philadelphia 76ers,1,6,22,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-73,31,1,0,20151109,PHI,CHI,28832
28833,Shot Chart Detail,21500100,244,204456,T.J. McConnell,1610612755,Philadelphia 76ers,2,4,21,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,13,1,0,20151109,PHI,CHI,28833
28834,Shot Chart Detail,21500100,260,204456,T.J. McConnell,1610612755,Philadelphia 76ers,2,3,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-202,146,1,0,20151109,PHI,CHI,28834
28835,Shot Chart Detail,21500100,295,204456,T.J. McConnell,1610612755,Philadelphia 76ers,2,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,69,257,1,0,20151109,PHI,CHI,28835
