,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
175319,Shot Chart Detail,21500014,74,203933,TJ Warren,1610612756,Phoenix Suns,1,5,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-138,101,1,0,20151028,PHX,DAL,175319
175320,Shot Chart Detail,21500014,103,203933,TJ Warren,1610612756,Phoenix Suns,1,4,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-237,92,1,1,20151028,PHX,DAL,175320
175321,Shot Chart Detail,21500014,126,203933,TJ Warren,1610612756,Phoenix Suns,1,2,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,-1,1,0,20151028,PHX,DAL,175321
175322,Shot Chart Detail,21500014,140,203933,TJ Warren,1610612756,Phoenix Suns,1,1,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-165,85,1,1,20151028,PHX,DAL,175322
175323,Shot Chart Detail,21500014,150,203933,TJ Warren,1610612756,Phoenix Suns,1,0,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,168,90,1,0,20151028,PHX,DAL,175323
175324,Shot Chart Detail,21500014,181,203933,TJ Warren,1610612756,Phoenix Suns,2,10,27,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-238,51,1,0,20151028,PHX,DAL,175324
175325,Shot Chart Detail,21500014,198,203933,TJ Warren,1610612756,Phoenix Suns,2,9,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-120,87,1,0,20151028,PHX,DAL,175325
175326,Shot Chart Detail,21500014,398,203933,TJ Warren,1610612756,Phoenix Suns,3,7,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-27,139,1,1,20151028,PHX,DAL,175326
175327,Shot Chart Detail,21500014,406,203933,TJ Warren,1610612756,Phoenix Suns,3,6,4,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,78,-1,1,1,20151028,PHX,DAL,175327
175328,Shot Chart Detail,21500014,420,203933,TJ Warren,1610612756,Phoenix Suns,3,4,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,179,11,1,0,20151028,PHX,DAL,175328
