,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
84875,Shot Chart Detail,21500029,235,2419,Tayshaun Prince,1610612750,Minnesota Timberwolves,2,3,40,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,23,1,0,20151030,DEN,MIN,84875
84876,Shot Chart Detail,21500029,361,2419,Tayshaun Prince,1610612750,Minnesota Timberwolves,3,6,52,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-246,16,1,0,20151030,DEN,MIN,84876
84877,Shot Chart Detail,21500029,601,2419,Tayshaun Prince,1610612750,Minnesota Timberwolves,4,0,38,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,151,18,1,1,20151030,DEN,MIN,84877
84878,Shot Chart Detail,21500050,54,2419,Tayshaun Prince,1610612750,Minnesota Timberwolves,1,6,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,1,146,1,0,20151102,MIN,POR,84878
84879,Shot Chart Detail,21500050,247,2419,Tayshaun Prince,1610612750,Minnesota Timberwolves,2,1,36,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,18,1,0,20151102,MIN,POR,84879
84880,Shot Chart Detail,21500050,281,2419,Tayshaun Prince,1610612750,Minnesota Timberwolves,3,9,56,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,8,1,0,20151102,MIN,POR,84880
84881,Shot Chart Detail,21500071,47,2419,Tayshaun Prince,1610612750,Minnesota Timberwolves,1,6,17,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-4,51,1,0,20151105,MIN,MIA,84881
84882,Shot Chart Detail,21500071,302,2419,Tayshaun Prince,1610612750,Minnesota Timberwolves,3,7,59,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,-6,1,1,20151105,MIN,MIA,84882
84883,Shot Chart Detail,21500071,323,2419,Tayshaun Prince,1610612750,Minnesota Timberwolves,3,5,39,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-22,105,1,0,20151105,MIN,MIA,84883
84884,Shot Chart Detail,21500085,35,2419,Tayshaun Prince,1610612750,Minnesota Timberwolves,1,9,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,148,95,1,0,20151107,CHI,MIN,84884
84885,Shot Chart Detail,21500085,53,2419,Tayshaun Prince,1610612750,Minnesota Timberwolves,1,7,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-210,-1,1,1,20151107,CHI,MIN,84885
84886,Shot Chart Detail,21500085,270,2419,Tayshaun Prince,1610612750,Minnesota Timberwolves,3,11,3,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,31,1,0,20151107,CHI,MIN,84886
84887,Shot Chart Detail,21500085,387,2419,Tayshaun Prince,1610612750,Minnesota Timberwolves,3,1,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,202,-19,1,1,20151107,CHI,MIN,84887
84888,Shot Chart Detail,21500085,444,2419,Tayshaun Prince,1610612750,Minnesota Timberwolves,4,7,58,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-99,2,1,0,20151107,CHI,MIN,84888
84889,Shot Chart Detail,21500085,495,2419,Tayshaun Prince,1610612750,Minnesota Timberwolves,4,4,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-169,3,1,0,20151107,CHI,MIN,84889
