,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
176808,Shot Chart Detail,21500010,18,203093,Terrence Jones,1610612745,Houston Rockets,1,9,44,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-71,21,1,0,20151028,HOU,DEN
176809,Shot Chart Detail,21500010,32,203093,Terrence Jones,1610612745,Houston Rockets,1,8,42,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,11,1,0,20151028,HOU,DEN
176810,Shot Chart Detail,21500010,168,203093,Terrence Jones,1610612745,Houston Rockets,2,8,16,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,36,1,0,20151028,HOU,DEN
176811,Shot Chart Detail,21500010,175,203093,Terrence Jones,1610612745,Houston Rockets,2,7,38,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-20,51,1,1,20151028,HOU,DEN
176812,Shot Chart Detail,21500010,177,203093,Terrence Jones,1610612745,Houston Rockets,2,7,13,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN
176813,Shot Chart Detail,21500010,234,203093,Terrence Jones,1610612745,Houston Rockets,2,2,45,Made Shot,Turnaround Bank shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,16,1,1,20151028,HOU,DEN
176814,Shot Chart Detail,21500010,274,203093,Terrence Jones,1610612745,Houston Rockets,3,10,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-52,239,1,0,20151028,HOU,DEN
176815,Shot Chart Detail,21500010,300,203093,Terrence Jones,1610612745,Houston Rockets,3,7,39,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,11,1,1,20151028,HOU,DEN
176816,Shot Chart Detail,21500010,303,203093,Terrence Jones,1610612745,Houston Rockets,3,7,12,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,16,1,0,20151028,HOU,DEN
176817,Shot Chart Detail,21500010,307,203093,Terrence Jones,1610612745,Houston Rockets,3,6,50,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,11,1,1,20151028,HOU,DEN
176818,Shot Chart Detail,21500010,469,203093,Terrence Jones,1610612745,Houston Rockets,4,5,0,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,-6,1,0,20151028,HOU,DEN
176819,Shot Chart Detail,21500010,493,203093,Terrence Jones,1610612745,Houston Rockets,4,3,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,11,1,1,20151028,HOU,DEN
176820,Shot Chart Detail,21500010,558,203093,Terrence Jones,1610612745,Houston Rockets,4,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-1,267,1,0,20151028,HOU,DEN
176821,Shot Chart Detail,21500030,19,203093,Terrence Jones,1610612745,Houston Rockets,1,10,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-150,134,1,1,20151030,HOU,GSW
176822,Shot Chart Detail,21500030,29,203093,Terrence Jones,1610612745,Houston Rockets,1,9,33,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-58,28,1,0,20151030,HOU,GSW
176823,Shot Chart Detail,21500030,165,203093,Terrence Jones,1610612745,Houston Rockets,2,11,36,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-60,126,1,0,20151030,HOU,GSW
