,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
45196,Shot Chart Detail,21500009,131,203082,Terrence Ross,1610612761,Toronto Raptors,1,1,13,Missed Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,16,1,0,20151028,TOR,IND,45196
45197,Shot Chart Detail,21500009,420,203082,Terrence Ross,1610612761,Toronto Raptors,4,11,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,86,232,1,1,20151028,TOR,IND,45197
45198,Shot Chart Detail,21500009,427,203082,Terrence Ross,1610612761,Toronto Raptors,4,11,18,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,21,1,0,20151028,TOR,IND,45198
45199,Shot Chart Detail,21500009,446,203082,Terrence Ross,1610612761,Toronto Raptors,4,9,55,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,169,51,1,0,20151028,TOR,IND,45199
45200,Shot Chart Detail,21500024,136,203082,Terrence Ross,1610612761,Toronto Raptors,1,1,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-217,134,1,0,20151030,BOS,TOR,45200
45202,Shot Chart Detail,21500024,176,203082,Terrence Ross,1610612761,Toronto Raptors,2,10,1,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,56,43,1,1,20151030,BOS,TOR,45202
45203,Shot Chart Detail,21500024,195,203082,Terrence Ross,1610612761,Toronto Raptors,2,8,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,159,203,1,1,20151030,BOS,TOR,45203
45204,Shot Chart Detail,21500024,221,203082,Terrence Ross,1610612761,Toronto Raptors,2,6,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,128,218,1,0,20151030,BOS,TOR,45204
45205,Shot Chart Detail,21500024,504,203082,Terrence Ross,1610612761,Toronto Raptors,4,11,18,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-60,41,1,1,20151030,BOS,TOR,45205
45206,Shot Chart Detail,21500024,506,203082,Terrence Ross,1610612761,Toronto Raptors,4,10,45,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-122,61,1,1,20151030,BOS,TOR,45206
