,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
201025,Shot Chart Detail,21500005,563,1626179,Terry Rozier,1610612738,Boston Celtics,4,1,28,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,35,13,1,0,20151028,BOS,PHI,201025
201026,Shot Chart Detail,21500005,564,1626179,Terry Rozier,1610612738,Boston Celtics,4,1,27,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,-11,1,0,20151028,BOS,PHI,201026
201027,Shot Chart Detail,21500060,111,1626179,Terry Rozier,1610612738,Boston Celtics,1,0,44,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,36,1,0,20151104,IND,BOS,201027
201028,Shot Chart Detail,21500060,134,1626179,Terry Rozier,1610612738,Boston Celtics,2,10,39,Missed Shot,Driving Bank shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,84,41,1,0,20151104,IND,BOS,201028
201029,Shot Chart Detail,21500060,145,1626179,Terry Rozier,1610612738,Boston Celtics,2,9,58,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,3,1,0,20151104,IND,BOS,201029
201030,Shot Chart Detail,21500060,150,1626179,Terry Rozier,1610612738,Boston Celtics,2,9,34,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,2,1,0,20151104,IND,BOS,201030
201031,Shot Chart Detail,21500076,171,1626179,Terry Rozier,1610612738,Boston Celtics,2,7,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-168,85,1,0,20151106,BOS,WAS,201031
201032,Shot Chart Detail,21500076,173,1626179,Terry Rozier,1610612738,Boston Celtics,2,7,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-161,90,1,1,20151106,BOS,WAS,201032
201033,Shot Chart Detail,21500076,196,1626179,Terry Rozier,1610612738,Boston Celtics,2,5,33,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,-1,1,1,20151106,BOS,WAS,201033
201034,Shot Chart Detail,21500076,210,1626179,Terry Rozier,1610612738,Boston Celtics,2,4,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-114,57,1,0,20151106,BOS,WAS,201034
201035,Shot Chart Detail,21500076,479,1626179,Terry Rozier,1610612738,Boston Celtics,4,6,43,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,63,57,1,0,20151106,BOS,WAS,201035
201036,Shot Chart Detail,21500076,522,1626179,Terry Rozier,1610612738,Boston Celtics,4,3,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-109,224,1,0,20151106,BOS,WAS,201036
201037,Shot Chart Detail,21500076,533,1626179,Terry Rozier,1610612738,Boston Celtics,4,3,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-212,115,1,0,20151106,BOS,WAS,201037
201038,Shot Chart Detail,21500076,569,1626179,Terry Rozier,1610612738,Boston Celtics,4,0,40,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,127,3,1,0,20151106,BOS,WAS,201038
201039,Shot Chart Detail,21500110,505,1626179,Terry Rozier,1610612738,Boston Celtics,4,0,8,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-94,33,1,0,20151110,MIL,BOS,201039
201040,Shot Chart Detail,21500116,177,1626179,Terry Rozier,1610612738,Boston Celtics,2,7,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,7,1,1,20151111,BOS,IND,201040
201041,Shot Chart Detail,21500116,187,1626179,Terry Rozier,1610612738,Boston Celtics,2,6,14,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,3,1,0,20151111,BOS,IND,201041
201042,Shot Chart Detail,21500116,254,1626179,Terry Rozier,1610612738,Boston Celtics,2,1,49,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,8,1,0,20151111,BOS,IND,201042
201043,Shot Chart Detail,21500116,446,1626179,Terry Rozier,1610612738,Boston Celtics,3,1,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-97,234,1,0,20151111,BOS,IND,201043
201044,Shot Chart Detail,21500116,459,1626179,Terry Rozier,1610612738,Boston Celtics,3,0,21,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,7,1,0,20151111,BOS,IND,201044
201045,Shot Chart Detail,21500116,466,1626179,Terry Rozier,1610612738,Boston Celtics,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,37,-178,332,1,0,20151111,BOS,IND,201045
201046,Shot Chart Detail,21500116,472,1626179,Terry Rozier,1610612738,Boston Celtics,4,11,33,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,1,20151111,BOS,IND,201046
201047,Shot Chart Detail,21500116,480,1626179,Terry Rozier,1610612738,Boston Celtics,4,9,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,82,75,1,0,20151111,BOS,IND,201047
201048,Shot Chart Detail,21500116,574,1626179,Terry Rozier,1610612738,Boston Celtics,4,0,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,138,200,1,0,20151111,BOS,IND,201048
201049,Shot Chart Detail,21500154,525,1626179,Terry Rozier,1610612738,Boston Celtics,4,4,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,225,111,1,0,20151116,HOU,BOS,201049
201050,Shot Chart Detail,21500154,552,1626179,Terry Rozier,1610612738,Boston Celtics,4,2,48,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,7,1,0,20151116,HOU,BOS,201050
201051,Shot Chart Detail,21500154,577,1626179,Terry Rozier,1610612738,Boston Celtics,4,0,18,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,11,1,1,20151116,HOU,BOS,201051
201052,Shot Chart Detail,21500197,126,1626179,Terry Rozier,1610612738,Boston Celtics,2,10,50,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-92,28,1,0,20151122,BKN,BOS,201052
201053,Shot Chart Detail,21500197,128,1626179,Terry Rozier,1610612738,Boston Celtics,2,10,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-215,134,1,1,20151122,BKN,BOS,201053
201054,Shot Chart Detail,21500210,550,1626179,Terry Rozier,1610612738,Boston Celtics,4,2,3,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,37,169,1,1,20151124,ATL,BOS,201054
201055,Shot Chart Detail,21500217,113,1626179,Terry Rozier,1610612738,Boston Celtics,1,1,34,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,30,23,1,0,20151125,BOS,PHI,201055
201056,Shot Chart Detail,21500229,519,1626179,Terry Rozier,1610612738,Boston Celtics,4,2,24,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-92,188,1,0,20151127,BOS,WAS,201056
201057,Shot Chart Detail,21500229,549,1626179,Terry Rozier,1610612738,Boston Celtics,4,1,2,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,-1,1,0,20151127,BOS,WAS,201057
201058,Shot Chart Detail,21500229,559,1626179,Terry Rozier,1610612738,Boston Celtics,4,0,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-101,160,1,0,20151127,BOS,WAS,201058
201059,Shot Chart Detail,21500249,428,1626179,Terry Rozier,1610612738,Boston Celtics,4,6,52,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,21,1,0,20151129,ORL,BOS,201059
201060,Shot Chart Detail,21500249,434,1626179,Terry Rozier,1610612738,Boston Celtics,4,6,24,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,82,31,1,1,20151129,ORL,BOS,201060
201061,Shot Chart Detail,21500249,521,1626179,Terry Rozier,1610612738,Boston Celtics,4,1,41,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-124,120,1,1,20151129,ORL,BOS,201061
201062,Shot Chart Detail,21500249,540,1626179,Terry Rozier,1610612738,Boston Celtics,4,0,8,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,21,1,0,20151129,ORL,BOS,201062
201063,Shot Chart Detail,21500249,541,1626179,Terry Rozier,1610612738,Boston Celtics,4,0,8,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,16,1,1,20151129,ORL,BOS,201063
201064,Shot Chart Detail,21500282,552,1626179,Terry Rozier,1610612738,Boston Celtics,4,2,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,110,80,1,0,20151203,SAC,BOS,201064
201065,Shot Chart Detail,21500282,587,1626179,Terry Rozier,1610612738,Boston Celtics,4,0,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-12,188,1,1,20151203,SAC,BOS,201065
