,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
201131,Shot Chart Detail,21500006,8,201152,Thaddeus Young,1610612751,Brooklyn Nets,1,10,53,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-61,36,1,0,20151028,BKN,CHI
201132,Shot Chart Detail,21500006,21,201152,Thaddeus Young,1610612751,Brooklyn Nets,1,9,10,Made Shot,Turnaround Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-61,23,1,1,20151028,BKN,CHI
201133,Shot Chart Detail,21500006,31,201152,Thaddeus Young,1610612751,Brooklyn Nets,1,7,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,-1,1,1,20151028,BKN,CHI
201134,Shot Chart Detail,21500006,144,201152,Thaddeus Young,1610612751,Brooklyn Nets,2,8,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,42,170,1,1,20151028,BKN,CHI
201135,Shot Chart Detail,21500006,146,201152,Thaddeus Young,1610612751,Brooklyn Nets,2,8,4,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-16,65,1,0,20151028,BKN,CHI
201136,Shot Chart Detail,21500006,148,201152,Thaddeus Young,1610612751,Brooklyn Nets,2,8,2,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,8,1,1,20151028,BKN,CHI
201137,Shot Chart Detail,21500006,200,201152,Thaddeus Young,1610612751,Brooklyn Nets,2,3,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,4,200,1,1,20151028,BKN,CHI
201138,Shot Chart Detail,21500006,207,201152,Thaddeus Young,1610612751,Brooklyn Nets,2,2,35,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,0,1,0,20151028,BKN,CHI
201139,Shot Chart Detail,21500006,284,201152,Thaddeus Young,1610612751,Brooklyn Nets,3,8,3,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,12,51,1,1,20151028,BKN,CHI
201140,Shot Chart Detail,21500006,324,201152,Thaddeus Young,1610612751,Brooklyn Nets,3,5,21,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-14,198,1,0,20151028,BKN,CHI
201141,Shot Chart Detail,21500006,330,201152,Thaddeus Young,1610612751,Brooklyn Nets,3,5,3,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,16,1,0,20151028,BKN,CHI
201142,Shot Chart Detail,21500006,501,201152,Thaddeus Young,1610612751,Brooklyn Nets,4,3,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,184,-10,1,0,20151028,BKN,CHI
201143,Shot Chart Detail,21500028,2,201152,Thaddeus Young,1610612751,Brooklyn Nets,1,11,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,87,224,1,1,20151030,SAS,BKN
201144,Shot Chart Detail,21500028,13,201152,Thaddeus Young,1610612751,Brooklyn Nets,1,9,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-61,174,1,0,20151030,SAS,BKN
201145,Shot Chart Detail,21500028,26,201152,Thaddeus Young,1610612751,Brooklyn Nets,1,8,31,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-22,38,1,0,20151030,SAS,BKN
201146,Shot Chart Detail,21500028,38,201152,Thaddeus Young,1610612751,Brooklyn Nets,1,7,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,12,242,1,0,20151030,SAS,BKN
201147,Shot Chart Detail,21500028,97,201152,Thaddeus Young,1610612751,Brooklyn Nets,1,0,42,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,3,1,1,20151030,SAS,BKN
201148,Shot Chart Detail,21500028,190,201152,Thaddeus Young,1610612751,Brooklyn Nets,2,4,23,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,30,7,1,0,20151030,SAS,BKN
201149,Shot Chart Detail,21500028,196,201152,Thaddeus Young,1610612751,Brooklyn Nets,2,3,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-6,154,1,0,20151030,SAS,BKN
201150,Shot Chart Detail,21500028,201,201152,Thaddeus Young,1610612751,Brooklyn Nets,2,3,18,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-6,31,1,1,20151030,SAS,BKN
201151,Shot Chart Detail,21500028,231,201152,Thaddeus Young,1610612751,Brooklyn Nets,2,0,44,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-60,7,1,1,20151030,SAS,BKN
201152,Shot Chart Detail,21500028,270,201152,Thaddeus Young,1610612751,Brooklyn Nets,3,6,50,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,91,7,1,0,20151030,SAS,BKN
201153,Shot Chart Detail,21500028,448,201152,Thaddeus Young,1610612751,Brooklyn Nets,4,4,0,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-1,1,0,20151030,SAS,BKN
201154,Shot Chart Detail,21500036,17,201152,Thaddeus Young,1610612751,Brooklyn Nets,1,9,29,Made Shot,Turnaround Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-61,11,1,1,20151031,MEM,BKN
201155,Shot Chart Detail,21500036,43,201152,Thaddeus Young,1610612751,Brooklyn Nets,1,6,2,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,-6,1,1,20151031,MEM,BKN
201156,Shot Chart Detail,21500036,167,201152,Thaddeus Young,1610612751,Brooklyn Nets,2,8,57,Missed Shot,Pullup Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-58,36,1,0,20151031,MEM,BKN
201157,Shot Chart Detail,21500036,189,201152,Thaddeus Young,1610612751,Brooklyn Nets,2,6,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-14,174,1,0,20151031,MEM,BKN
201158,Shot Chart Detail,21500036,208,201152,Thaddeus Young,1610612751,Brooklyn Nets,2,5,26,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-61,61,1,0,20151031,MEM,BKN
201159,Shot Chart Detail,21500036,290,201152,Thaddeus Young,1610612751,Brooklyn Nets,3,10,11,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,43,46,1,1,20151031,MEM,BKN
201160,Shot Chart Detail,21500036,317,201152,Thaddeus Young,1610612751,Brooklyn Nets,3,7,11,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,-10,1,1,20151031,MEM,BKN
201161,Shot Chart Detail,21500036,485,201152,Thaddeus Young,1610612751,Brooklyn Nets,4,1,50,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-38,85,1,1,20151031,MEM,BKN
201162,Shot Chart Detail,21500047,39,201152,Thaddeus Young,1610612751,Brooklyn Nets,1,7,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,18,1,0,20151102,BKN,MIL
201163,Shot Chart Detail,21500047,41,201152,Thaddeus Young,1610612751,Brooklyn Nets,1,7,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,-1,1,1,20151102,BKN,MIL
201164,Shot Chart Detail,21500047,70,201152,Thaddeus Young,1610612751,Brooklyn Nets,1,4,30,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-42,65,1,1,20151102,BKN,MIL
201165,Shot Chart Detail,21500047,74,201152,Thaddeus Young,1610612751,Brooklyn Nets,1,4,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,-1,1,1,20151102,BKN,MIL
