,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
74821,Shot Chart Detail,21500001,62,201168,Tiago Splitter,1610612737,Atlanta Hawks,1,5,35,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-1,1,1,20151027,ATL,DET,74821
74822,Shot Chart Detail,21500001,74,201168,Tiago Splitter,1610612737,Atlanta Hawks,1,4,41,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,0,20151027,ATL,DET,74822
74823,Shot Chart Detail,21500001,201,201168,Tiago Splitter,1610612737,Atlanta Hawks,2,4,15,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-6,1,0,20151027,ATL,DET,74823
74824,Shot Chart Detail,21500001,212,201168,Tiago Splitter,1610612737,Atlanta Hawks,2,3,9,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-6,1,0,20151027,ATL,DET,74824
74825,Shot Chart Detail,21500001,317,201168,Tiago Splitter,1610612737,Atlanta Hawks,3,4,10,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,ATL,DET,74825
74826,Shot Chart Detail,21500019,57,201168,Tiago Splitter,1610612737,Atlanta Hawks,1,6,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,3,1,1,20151029,NYK,ATL,74826
74827,Shot Chart Detail,21500019,104,201168,Tiago Splitter,1610612737,Atlanta Hawks,1,1,56,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-37,28,1,0,20151029,NYK,ATL,74827
74828,Shot Chart Detail,21500019,224,201168,Tiago Splitter,1610612737,Atlanta Hawks,2,1,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,13,1,1,20151029,NYK,ATL,74828
74829,Shot Chart Detail,21500019,331,201168,Tiago Splitter,1610612737,Atlanta Hawks,3,4,49,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-24,41,1,0,20151029,NYK,ATL,74829
74830,Shot Chart Detail,21500019,469,201168,Tiago Splitter,1610612737,Atlanta Hawks,4,6,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,2,1,1,20151029,NYK,ATL,74830
74831,Shot Chart Detail,21500019,488,201168,Tiago Splitter,1610612737,Atlanta Hawks,4,5,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,2,1,1,20151029,NYK,ATL,74831
74832,Shot Chart Detail,21500026,112,201168,Tiago Splitter,1610612737,Atlanta Hawks,1,1,51,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,45,36,1,0,20151030,ATL,CHA,74832
74833,Shot Chart Detail,21500026,118,201168,Tiago Splitter,1610612737,Atlanta Hawks,1,1,30,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,-5,1,1,20151030,ATL,CHA,74833
