,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
17910,Shot Chart Detail,21500023,537,202353,Tibor Pleiss,1610612762,Utah Jazz,4,1,55,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-6,1,1,20151030,PHI,UTA,17910
17911,Shot Chart Detail,21500128,67,202353,Tibor Pleiss,1610612762,Utah Jazz,1,3,41,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151113,ORL,UTA,17911
17912,Shot Chart Detail,21500128,559,202353,Tibor Pleiss,1610612762,Utah Jazz,4,1,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,16,1,0,20151113,ORL,UTA,17912
17913,Shot Chart Detail,21500128,582,202353,Tibor Pleiss,1610612762,Utah Jazz,4,0,54,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,11,1,0,20151113,ORL,UTA,17913
17914,Shot Chart Detail,21500489,434,202353,Tibor Pleiss,1610612762,Utah Jazz,4,1,57,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-20,67,1,0,20151231,UTA,POR,17914
17915,Shot Chart Detail,21500503,83,202353,Tibor Pleiss,1610612762,Utah Jazz,1,2,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-205,2,1,1,20160102,UTA,MEM,17915
17916,Shot Chart Detail,21500503,110,202353,Tibor Pleiss,1610612762,Utah Jazz,2,11,12,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-6,1,1,20160102,UTA,MEM,17916
17917,Shot Chart Detail,21500503,368,202353,Tibor Pleiss,1610612762,Utah Jazz,4,11,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,187,2,1,1,20160102,UTA,MEM,17917
17918,Shot Chart Detail,21500503,531,202353,Tibor Pleiss,1610612762,Utah Jazz,5,1,46,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,-6,1,0,20160102,UTA,MEM,17918
17919,Shot Chart Detail,21500518,143,202353,Tibor Pleiss,1610612762,Utah Jazz,2,8,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,-60,232,1,0,20160104,UTA,HOU,17919
