,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
58596,Shot Chart Detail,21500210,130,203501,Tim Hardaway Jr.,1610612737,Atlanta Hawks,2,11,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-160,193,1,0,20151124,ATL,BOS,58596
58597,Shot Chart Detail,21500210,409,203501,Tim Hardaway Jr.,1610612737,Atlanta Hawks,4,11,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,177,139,1,0,20151124,ATL,BOS,58597
58598,Shot Chart Detail,21500210,549,203501,Tim Hardaway Jr.,1610612737,Atlanta Hawks,4,2,21,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-71,244,1,1,20151124,ATL,BOS,58598
58599,Shot Chart Detail,21500222,147,203501,Tim Hardaway Jr.,1610612737,Atlanta Hawks,2,9,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-156,183,1,0,20151125,MIN,ATL,58599
58600,Shot Chart Detail,21500222,447,203501,Tim Hardaway Jr.,1610612737,Atlanta Hawks,4,8,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-174,177,1,0,20151125,MIN,ATL,58600
58601,Shot Chart Detail,21500222,467,203501,Tim Hardaway Jr.,1610612737,Atlanta Hawks,4,7,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,137,149,1,0,20151125,MIN,ATL,58601
58602,Shot Chart Detail,21500233,153,203501,Tim Hardaway Jr.,1610612737,Atlanta Hawks,2,8,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-112,232,1,1,20151127,MEM,ATL,58602
58603,Shot Chart Detail,21500233,163,203501,Tim Hardaway Jr.,1610612737,Atlanta Hawks,2,6,13,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-187,-10,1,0,20151127,MEM,ATL,58603
58604,Shot Chart Detail,21500242,408,203501,Tim Hardaway Jr.,1610612737,Atlanta Hawks,4,9,13,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,8,1,0,20151128,SAS,ATL,58604
58605,Shot Chart Detail,21500242,424,203501,Tim Hardaway Jr.,1610612737,Atlanta Hawks,4,8,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,27,213,1,0,20151128,SAS,ATL,58605
