,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
33147,Shot Chart Detail,21500002,20,202389,Timofey Mozgov,1610612739,Cleveland Cavaliers,1,9,15,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,21,1,1,20151027,CHI,CLE,33147
33148,Shot Chart Detail,21500002,29,202389,Timofey Mozgov,1610612739,Cleveland Cavaliers,1,8,27,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,13,1,0,20151027,CHI,CLE,33148
33149,Shot Chart Detail,21500002,54,202389,Timofey Mozgov,1610612739,Cleveland Cavaliers,1,5,41,Missed Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-37,11,1,0,20151027,CHI,CLE,33149
33150,Shot Chart Detail,21500002,173,202389,Timofey Mozgov,1610612739,Cleveland Cavaliers,2,9,18,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-1,51,1,0,20151027,CHI,CLE,33150
33151,Shot Chart Detail,21500002,307,202389,Timofey Mozgov,1610612739,Cleveland Cavaliers,3,9,52,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,CHI,CLE,33151
33152,Shot Chart Detail,21500002,368,202389,Timofey Mozgov,1610612739,Cleveland Cavaliers,3,3,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,82,134,1,0,20151027,CHI,CLE,33152
33153,Shot Chart Detail,21500011,15,202389,Timofey Mozgov,1610612739,Cleveland Cavaliers,1,10,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-156,-15,1,0,20151028,MEM,CLE,33153
33154,Shot Chart Detail,21500011,37,202389,Timofey Mozgov,1610612739,Cleveland Cavaliers,1,6,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,135,2,1,0,20151028,MEM,CLE,33154
33155,Shot Chart Detail,21500011,43,202389,Timofey Mozgov,1610612739,Cleveland Cavaliers,1,6,27,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,MEM,CLE,33155
33156,Shot Chart Detail,21500011,187,202389,Timofey Mozgov,1610612739,Cleveland Cavaliers,2,6,54,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-1,1,1,20151028,MEM,CLE,33156
