,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
47169,Shot Chart Detail,21500035,76,201962,Toney Douglas,1610612740,New Orleans Pelicans,1,5,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,130,16,1,0,20151031,NOP,GSW
47170,Shot Chart Detail,21500035,93,201962,Toney Douglas,1610612740,New Orleans Pelicans,1,4,25,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-9,85,1,1,20151031,NOP,GSW
47171,Shot Chart Detail,21500035,111,201962,Toney Douglas,1610612740,New Orleans Pelicans,1,2,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-97,23,1,0,20151031,NOP,GSW
47172,Shot Chart Detail,21500035,127,201962,Toney Douglas,1610612740,New Orleans Pelicans,1,1,35,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,8,1,1,20151031,NOP,GSW
47173,Shot Chart Detail,21500035,155,201962,Toney Douglas,1610612740,New Orleans Pelicans,2,10,46,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-24,97,1,0,20151031,NOP,GSW
47174,Shot Chart Detail,21500035,174,201962,Toney Douglas,1610612740,New Orleans Pelicans,2,9,26,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,9,67,1,0,20151031,NOP,GSW
47175,Shot Chart Detail,21500035,209,201962,Toney Douglas,1610612740,New Orleans Pelicans,2,6,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-140,210,1,1,20151031,NOP,GSW
47176,Shot Chart Detail,21500035,392,201962,Toney Douglas,1610612740,New Orleans Pelicans,3,4,29,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,24,43,1,1,20151031,NOP,GSW
47177,Shot Chart Detail,21500035,397,201962,Toney Douglas,1610612740,New Orleans Pelicans,3,3,38,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-197,16,1,1,20151031,NOP,GSW
47178,Shot Chart Detail,21500035,425,201962,Toney Douglas,1610612740,New Orleans Pelicans,3,0,30,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,9,146,1,1,20151031,NOP,GSW
47179,Shot Chart Detail,21500035,428,201962,Toney Douglas,1610612740,New Orleans Pelicans,3,0,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,181,70,1,0,20151031,NOP,GSW
47180,Shot Chart Detail,21500035,585,201962,Toney Douglas,1610612740,New Orleans Pelicans,4,0,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,19,2,1,1,20151031,NOP,GSW
47181,Shot Chart Detail,21500056,81,201962,Toney Douglas,1610612740,New Orleans Pelicans,1,4,17,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-20,229,1,1,20151103,NOP,ORL
47182,Shot Chart Detail,21500056,100,201962,Toney Douglas,1610612740,New Orleans Pelicans,1,2,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,210,124,1,0,20151103,NOP,ORL
47183,Shot Chart Detail,21500056,107,201962,Toney Douglas,1610612740,New Orleans Pelicans,1,1,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,2,1,1,20151103,NOP,ORL
47184,Shot Chart Detail,21500056,124,201962,Toney Douglas,1610612740,New Orleans Pelicans,2,11,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,21,1,1,20151103,NOP,ORL
47185,Shot Chart Detail,21500056,389,201962,Toney Douglas,1610612740,New Orleans Pelicans,3,0,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,16,1,1,20151103,NOP,ORL
47186,Shot Chart Detail,21500056,411,201962,Toney Douglas,1610612740,New Orleans Pelicans,4,9,36,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,243,11,1,0,20151103,NOP,ORL
47187,Shot Chart Detail,21500081,147,201962,Toney Douglas,1610612740,New Orleans Pelicans,2,9,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,107,23,1,0,20151106,NOP,ATL
47188,Shot Chart Detail,21500081,159,201962,Toney Douglas,1610612740,New Orleans Pelicans,2,8,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,166,190,1,0,20151106,NOP,ATL
47189,Shot Chart Detail,21500081,343,201962,Toney Douglas,1610612740,New Orleans Pelicans,3,2,58,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,7,1,1,20151106,NOP,ATL
