,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
24234,Shot Chart Detail,21500011,75,2754,Tony Allen,1610612763,Memphis Grizzlies,1,3,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,140,120,1,0,20151028,MEM,CLE,24234
24235,Shot Chart Detail,21500011,77,2754,Tony Allen,1610612763,Memphis Grizzlies,1,3,17,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-1,1,0,20151028,MEM,CLE,24235
24236,Shot Chart Detail,21500011,102,2754,Tony Allen,1610612763,Memphis Grizzlies,1,1,21,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,15,52,1,0,20151028,MEM,CLE,24236
24237,Shot Chart Detail,21500011,197,2754,Tony Allen,1610612763,Memphis Grizzlies,2,5,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,3,1,1,20151028,MEM,CLE,24237
24238,Shot Chart Detail,21500011,261,2754,Tony Allen,1610612763,Memphis Grizzlies,3,8,53,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,10,75,1,1,20151028,MEM,CLE,24238
24239,Shot Chart Detail,21500011,291,2754,Tony Allen,1610612763,Memphis Grizzlies,3,4,39,Made Shot,Pullup Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,63,18,1,1,20151028,MEM,CLE,24239
24240,Shot Chart Detail,21500018,16,2754,Tony Allen,1610612763,Memphis Grizzlies,1,10,17,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-6,1,0,20151029,IND,MEM,24240
24241,Shot Chart Detail,21500018,18,2754,Tony Allen,1610612763,Memphis Grizzlies,1,10,14,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,1,20151029,IND,MEM,24241
24242,Shot Chart Detail,21500018,29,2754,Tony Allen,1610612763,Memphis Grizzlies,1,8,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,2,1,1,20151029,IND,MEM,24242
24243,Shot Chart Detail,21500018,173,2754,Tony Allen,1610612763,Memphis Grizzlies,2,8,29,Missed Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,69,2,1,0,20151029,IND,MEM,24243
24244,Shot Chart Detail,21500018,201,2754,Tony Allen,1610612763,Memphis Grizzlies,2,5,15,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,2,1,1,20151029,IND,MEM,24244
24245,Shot Chart Detail,21500018,214,2754,Tony Allen,1610612763,Memphis Grizzlies,2,3,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,220,124,1,0,20151029,IND,MEM,24245
24246,Shot Chart Detail,21500018,228,2754,Tony Allen,1610612763,Memphis Grizzlies,2,2,5,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,0,20151029,IND,MEM,24246
