,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
11323,Shot Chart Detail,21500289,63,203100,Tony Wroten,1610612755,Philadelphia 76ers,1,3,52,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,13,1,1,20151205,PHI,DEN,11323
11324,Shot Chart Detail,21500289,75,203100,Tony Wroten,1610612755,Philadelphia 76ers,1,3,17,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,7,1,0,20151205,PHI,DEN,11324
11325,Shot Chart Detail,21500289,96,203100,Tony Wroten,1610612755,Philadelphia 76ers,1,1,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,11,1,0,20151205,PHI,DEN,11325
11326,Shot Chart Detail,21500289,120,203100,Tony Wroten,1610612755,Philadelphia 76ers,1,0,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,1,46,1,0,20151205,PHI,DEN,11326
11327,Shot Chart Detail,21500289,193,203100,Tony Wroten,1610612755,Philadelphia 76ers,2,5,9,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,18,1,0,20151205,PHI,DEN,11327
11328,Shot Chart Detail,21500289,363,203100,Tony Wroten,1610612755,Philadelphia 76ers,3,5,15,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,4,1,1,20151205,PHI,DEN,11328
11329,Shot Chart Detail,21500289,370,203100,Tony Wroten,1610612755,Philadelphia 76ers,3,4,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-102,82,1,0,20151205,PHI,DEN,11329
11330,Shot Chart Detail,21500305,52,203100,Tony Wroten,1610612755,Philadelphia 76ers,1,6,40,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,-16,1,0,20151207,PHI,SAS,11330
11331,Shot Chart Detail,21500305,65,203100,Tony Wroten,1610612755,Philadelphia 76ers,1,5,13,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,-10,1,0,20151207,PHI,SAS,11331
11332,Shot Chart Detail,21500305,68,203100,Tony Wroten,1610612755,Philadelphia 76ers,1,4,44,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,-1,1,0,20151207,PHI,SAS,11332
