,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
126567,Shot Chart Detail,21500002,73,202684,Tristan Thompson,1610612739,Cleveland Cavaliers,1,4,37,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-4,131,1,0,20151027,CHI,CLE
126568,Shot Chart Detail,21500002,86,202684,Tristan Thompson,1610612739,Cleveland Cavaliers,1,3,20,Missed Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-155,0,1,0,20151027,CHI,CLE
126569,Shot Chart Detail,21500002,144,202684,Tristan Thompson,1610612739,Cleveland Cavaliers,1,0,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-174,23,1,0,20151027,CHI,CLE
126570,Shot Chart Detail,21500002,479,202684,Tristan Thompson,1610612739,Cleveland Cavaliers,4,6,1,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,CHI,CLE
126571,Shot Chart Detail,21500011,166,202684,Tristan Thompson,1610612739,Cleveland Cavaliers,2,7,28,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,MEM,CLE
126572,Shot Chart Detail,21500011,343,202684,Tristan Thompson,1610612739,Cleveland Cavaliers,3,0,35,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,MEM,CLE
126573,Shot Chart Detail,21500021,121,202684,Tristan Thompson,1610612739,Cleveland Cavaliers,1,1,52,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,CLE,MIA
126574,Shot Chart Detail,21500021,133,202684,Tristan Thompson,1610612739,Cleveland Cavaliers,1,0,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,33,144,1,1,20151030,CLE,MIA
126575,Shot Chart Detail,21500021,191,202684,Tristan Thompson,1610612739,Cleveland Cavaliers,2,7,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,2,1,1,20151030,CLE,MIA
126576,Shot Chart Detail,21500021,372,202684,Tristan Thompson,1610612739,Cleveland Cavaliers,3,1,36,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,CLE,MIA
