,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
180715,Shot Chart Detail,21500053,429,203584,Troy Daniels,1610612766,Charlotte Hornets,4,5,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,135,213,1,1,20151103,CHA,CHI
180716,Shot Chart Detail,21500053,441,203584,Troy Daniels,1610612766,Charlotte Hornets,4,3,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,209,124,1,0,20151103,CHA,CHI
180717,Shot Chart Detail,21500053,445,203584,Troy Daniels,1610612766,Charlotte Hornets,4,3,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,189,65,1,0,20151103,CHA,CHI
180718,Shot Chart Detail,21500072,522,203584,Troy Daniels,1610612766,Charlotte Hornets,4,1,8,Missed Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,51,1,0,20151105,DAL,CHA
180719,Shot Chart Detail,21500072,529,203584,Troy Daniels,1610612766,Charlotte Hornets,4,0,11,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-38,121,1,0,20151105,DAL,CHA
180720,Shot Chart Detail,21500132,255,203584,Troy Daniels,1610612766,Charlotte Hornets,2,0,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-133,210,1,1,20151113,CHI,CHA
180721,Shot Chart Detail,21500268,445,203584,Troy Daniels,1610612766,Charlotte Hornets,4,5,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,145,237,1,0,20151202,CHA,GSW
180722,Shot Chart Detail,21500268,453,203584,Troy Daniels,1610612766,Charlotte Hornets,4,4,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,169,232,1,0,20151202,CHA,GSW
180723,Shot Chart Detail,21500268,463,203584,Troy Daniels,1610612766,Charlotte Hornets,4,3,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,228,90,1,1,20151202,CHA,GSW
180724,Shot Chart Detail,21500268,486,203584,Troy Daniels,1610612766,Charlotte Hornets,4,2,15,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,164,75,1,0,20151202,CHA,GSW
180725,Shot Chart Detail,21500268,509,203584,Troy Daniels,1610612766,Charlotte Hornets,4,0,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,189,13,1,0,20151202,CHA,GSW
